segment_id,booking_id,flight_number,origin_airport,destination_airport,scheduled_departure,actual_departure,status
40,BKG00012648,GA879,SIN,HKG,2025-01-05 21:06:58,2025-01-05 23:20:58,Flown
41,BKG00012021,GA399,UPG,DPS,2023-10-23 05:36:12,2023-10-23 06:55:12,Cancelled
42,BKG00000948,GA848,HKG,BKK,2024-01-19 21:11:42,2024-01-19 23:46:42,Flown
43,BKG00008687,GA271,UPG,MDC,2026-03-24 09:25:08,2026-03-24 10:53:08,Flown
44,BKG00004192,GA699,BDO,SIN,2024-08-20 00:02:00,2024-08-20 02:03:00,No-Show
45,BKG00005371,GA163,DXB,HKG,2024-08-25 02:47:23,2024-08-25 04:52:23,Flown
46,BKG00014121,GA756,DXB,SIN,2025-01-28 17:26:34,2025-01-28 19:29:34,Flown
47,BKG00002971,GA881,DXB,SYD,2024-11-27 07:58:34,2024-11-27 09:51:34,Flown
48,BKG00001753,GA441,CGK,LHR,2025-07-16 07:02:24,2025-07-16 09:02:24,Flown
49,BKG00007194,GA634,KUL,DXB,2023-06-05 22:23:05,2023-06-05 23:56:05,Flown
50,BKG00006114,GA210,DXB,BKK,2025-07-20 14:38:58,2025-07-20 15:34:58,Flown
51,BKG00011131,GA976,DXB,BKK,2025-03-24 22:05:46,2025-03-24 22:51:46,Flown
52,BKG00001164,GA761,UPG,SIN,2025-09-21 15:41:58,2025-09-21 17:34:58,Flown
53,BKG00002529,GA575,BKK,HKG,2024-01-21 03:52:08,2024-01-21 06:13:08,Flown
54,BKG00000333,GA998,MDC,KUL,2023-11-12 10:59:18,2023-11-12 11:16:18,Flown
55,BKG00012976,GA476,DPS,SYD,2025-01-22 15:53:14,2025-01-22 18:22:14,Flown
56,BKG00005213,GA175,HKG,PLM,2026-01-21 18:07:31,2026-01-21 18:45:31,Flown
57,BKG00005749,GA563,KUL,DXB,2023-11-12 17:40:59,2023-11-12 19:34:59,Flown
58,BKG00000681,GA676,MDC,DXB,2024-03-15 06:01:11,2024-03-15 06:37:11,Flown
59,BKG00011207,GA746,PLM,SUB,2024-10-24 23:40:56,2024-10-25 00:26:56,Flown
60,BKG00004483,GA909,UPG,BDO,2024-01-27 20:56:05,2024-01-27 22:30:05,No-Show
61,BKG00011634,GA677,BKK,SIN,2026-04-07 10:54:20,2026-04-07 11:24:20,Flown
62,BKG00010777,GA158,HKG,UPG,2025-01-13 03:44:09,2025-01-13 03:52:09,Flown
63,BKG00000233,GA496,SIN,BDO,2024-09-15 08:08:24,2024-09-15 10:13:24,Flown
64,BKG00011619,GA847,NRT,MDC,2024-01-11 14:51:34,2024-01-11 15:20:34,Flown
65,BKG00004361,GA140,NRT,KUL,2024-11-22 04:49:55,2024-11-22 07:10:55,Flown
66,BKG00013640,GA294,SUB,KUL,2026-01-02 10:20:13,2026-01-02 10:29:13,Cancelled
67,BKG00007939,GA128,SYD,MDC,2023-11-01 20:26:17,2023-11-01 23:16:17,Flown
68,BKG00006752,GA953,SUB,BKK,2024-10-24 03:36:54,2024-10-24 04:33:54,Flown
69,BKG00007801,GA918,CGK,BKK,2026-03-18 18:57:54,2026-03-18 20:46:54,Flown
70,BKG00001730,GA526,SIN,MDC,2024-08-17 15:56:50,2024-08-17 18:29:50,Flown
71,BKG00005654,GA724,SYD,DPS,2024-04-01 04:14:03,2024-04-01 05:58:03,Flown
72,BKG00001382,GA144,UPG,SIN,2024-03-24 19:09:50,2024-03-24 19:11:50,Flown
73,BKG00014944,GA767,PLM,NRT,2025-11-12 11:16:03,2025-11-12 13:41:03,Flown
74,BKG00000027,GA708,SIN,UPG,2025-06-01 19:19:13,2025-06-01 19:22:13,Flown
75,BKG00003530,GA235,CGK,DPS,2024-07-02 19:27:03,2024-07-02 21:28:03,Flown
76,BKG00006247,GA861,HKG,SYD,2025-09-07 08:52:36,2025-09-07 10:23:36,Flown
77,BKG00001537,GA103,KUL,CGK,2026-05-20 19:28:16,2026-05-20 20:54:16,Flown
78,BKG00013284,GA564,BDO,LHR,2023-07-09 22:45:30,2023-07-09 23:37:30,Flown
79,BKG00001643,GA106,SIN,CGK,2025-09-07 02:52:47,2025-09-07 02:47:47,Cancelled
80,BKG00011877,GA219,SYD,DPS,2026-05-23 01:11:39,2026-05-23 01:34:39,Flown
81,BKG00014320,GA728,PLM,BKK,2025-07-10 05:27:39,2025-07-10 06:12:39,Flown
82,BKG00000586,GA224,SUB,DXB,2025-04-09 01:05:45,2025-04-09 04:05:45,Cancelled
83,BKG00014888,GA169,LHR,SUB,2023-06-04 05:53:30,2023-06-04 08:02:30,Flown
84,BKG00011900,GA702,BKK,MDC,2026-05-06 01:34:47,2026-05-06 02:32:47,Flown
85,BKG00007150,GA730,SYD,PLM,2023-07-20 04:27:16,2023-07-20 06:15:16,Flown
86,BKG00000650,GA958,SIN,DXB,2025-02-11 13:09:37,2025-02-11 13:15:37,Diverted
87,BKG00001301,GA183,UPG,HKG,2026-01-01 22:11:34,2026-01-01 23:19:34,Flown
88,BKG00013697,GA283,SYD,PLM,2023-09-16 00:50:49,2023-09-16 01:38:49,Flown
89,BKG00001837,GA681,NRT,DPS,2026-04-01 08:53:16,2026-04-01 10:15:16,Flown
90,BKG00005397,GA619,SYD,DPS,2025-07-11 19:42:39,2025-07-11 22:03:39,Flown
91,BKG00002390,GA211,SUB,SIN,2024-07-22 18:44:04,2024-07-22 20:28:04,Flown
92,BKG00014216,GA901,LHR,SIN,2024-05-09 04:03:33,2024-05-09 03:58:33,Flown
93,BKG00012890,GA934,BDO,UPG,2024-08-25 13:08:02,2024-08-25 14:15:02,Flown
94,BKG00002574,GA823,BDO,PLM,2024-11-02 13:27:03,2024-11-02 13:26:03,Flown
95,BKG00001371,GA964,NRT,DPS,2023-10-09 03:06:50,2023-10-09 05:59:50,Flown
96,BKG00013662,GA918,SYD,DPS,2025-06-27 07:55:01,2025-06-27 09:08:01,Flown
97,BKG00011393,GA577,KUL,CGK,2025-11-01 10:50:14,2025-11-01 12:04:14,No-Show
98,BKG00000033,GA274,BKK,DXB,2026-03-26 05:29:05,2026-03-26 06:43:05,Flown
99,BKG00006864,GA320,UPG,NRT,2024-02-25 04:18:58,2024-02-25 04:43:58,Flown
100,BKG00001891,GA775,BDO,DPS,2025-10-25 19:03:43,2025-10-25 19:51:43,Flown
101,BKG00007253,GA609,BDO,UPG,2025-02-21 22:40:19,2025-02-22 00:38:19,No-Show
102,BKG00002518,GA102,LHR,HKG,2025-09-02 04:57:52,2025-09-02 05:36:52,Flown
103,BKG00003381,GA730,PLM,SUB,2025-06-17 02:57:39,2025-06-17 05:43:39,Flown
104,BKG00001735,GA896,DPS,CGK,2025-04-14 16:00:29,2025-04-14 16:50:29,Flown
105,BKG00012876,GA936,SIN,PLM,2023-12-18 11:02:28,2023-12-18 13:59:28,Flown
106,BKG00002915,GA622,UPG,BKK,2025-10-20 11:11:57,2025-10-20 11:43:57,Flown
107,BKG00014943,GA299,KUL,CGK,2023-09-01 05:45:21,2023-09-01 07:42:21,Flown
108,BKG00010030,GA542,CGK,DXB,2025-09-23 17:21:55,2025-09-23 18:27:55,Flown
109,BKG00006839,GA500,NRT,BKK,2025-08-16 03:48:19,2025-08-16 05:16:19,Flown
110,BKG00002862,GA681,SYD,DXB,2024-08-25 18:45:54,2024-08-25 20:26:54,Flown
111,BKG00009973,GA969,HKG,DPS,2024-06-30 23:56:44,2024-07-01 02:47:44,Flown
112,BKG00009802,GA171,HKG,UPG,2024-03-21 10:51:50,2024-03-21 13:17:50,Cancelled
113,BKG00012977,GA831,HKG,CGK,2025-04-11 04:51:58,2025-04-11 05:46:58,Flown
114,BKG00005369,GA985,PLM,UPG,2025-01-11 17:34:17,2025-01-11 19:56:17,Flown
115,BKG00008227,GA969,LHR,BDO,2025-01-03 22:59:24,2025-01-04 01:32:24,Flown
116,BKG00007665,GA572,UPG,SIN,2024-01-13 20:27:39,2024-01-13 21:45:39,Flown
117,BKG00013357,GA748,SUB,UPG,2025-05-11 21:06:50,2025-05-11 23:52:50,Flown
118,BKG00002742,GA576,BDO,MDC,2025-05-19 21:11:18,2025-05-19 22:06:18,Flown
119,BKG00013801,GA278,BKK,MDC,2024-01-06 03:21:58,2024-01-06 05:53:58,Flown
120,BKG00002393,GA901,LHR,SIN,2025-07-24 03:27:55,2025-07-24 04:12:55,Flown
121,BKG00006984,GA428,SYD,SIN,2025-01-21 11:11:37,2025-01-21 12:37:37,Flown
122,BKG00004744,GA231,NRT,KUL,2024-08-18 19:33:40,2024-08-18 22:04:40,Flown
123,BKG00012623,GA918,UPG,LHR,2023-06-28 01:49:03,2023-06-28 04:11:03,Flown
124,BKG00005616,GA743,PLM,SYD,2026-02-02 11:19:32,2026-02-02 12:27:32,Flown
125,BKG00000493,GA837,CGK,UPG,2025-11-08 23:44:37,2025-11-09 02:40:37,Flown
126,BKG00003829,GA493,HKG,SUB,2024-04-19 23:55:20,2024-04-20 01:01:20,Flown
127,BKG00004816,GA467,SYD,DXB,2024-01-09 00:39:35,2024-01-09 02:53:35,Cancelled
128,BKG00002822,GA320,MDC,BKK,2024-02-01 06:02:23,2024-02-01 08:13:23,Flown
129,BKG00011850,GA350,MDC,BDO,2024-05-25 19:40:28,2024-05-25 20:55:28,Flown
130,BKG00013256,GA265,PLM,SIN,2024-09-15 21:29:11,2024-09-15 23:30:11,Diverted
131,BKG00009809,GA851,SYD,LHR,2026-01-10 08:23:11,2026-01-10 10:27:11,Flown
132,BKG00010992,GA477,LHR,BDO,2023-12-31 09:57:00,2023-12-31 11:50:00,Flown
133,BKG00010888,GA105,DXB,HKG,2025-03-11 13:09:05,2025-03-11 13:37:05,No-Show
134,BKG00010073,GA660,MDC,DXB,2025-07-19 08:57:08,2025-07-19 11:46:08,Flown
135,BKG00007647,GA754,MDC,UPG,2023-11-06 06:59:51,2023-11-06 09:31:51,Flown
136,BKG00014749,GA474,SYD,BKK,2024-04-28 18:55:49,2024-04-28 19:04:49,Flown
137,BKG00014979,GA418,SIN,CGK,2024-01-04 23:22:49,2024-01-04 23:37:49,Flown
138,BKG00012267,GA890,SUB,DPS,2024-01-26 11:48:54,2024-01-26 13:09:54,Flown
139,BKG00003472,GA170,HKG,PLM,2024-06-26 12:20:38,2024-06-26 12:49:38,Flown
140,BKG00008992,GA175,BKK,UPG,2023-10-12 04:43:49,2023-10-12 05:14:49,Flown
141,BKG00006636,GA445,KUL,SIN,2023-11-10 19:26:20,2023-11-10 22:20:20,Flown
142,BKG00003310,GA714,SYD,SUB,2025-10-11 10:58:24,2025-10-11 12:24:24,Flown
143,BKG00006048,GA549,HKG,BDO,2026-04-20 23:40:59,2026-04-20 23:35:59,Flown
144,BKG00001979,GA992,BKK,LHR,2026-03-15 15:30:23,2026-03-15 15:55:23,Flown
145,BKG00009890,GA670,SUB,CGK,2025-07-24 17:17:30,2025-07-24 19:54:30,Flown
146,BKG00009475,GA975,CGK,SUB,2026-04-23 07:41:02,2026-04-23 10:15:02,Flown
147,BKG00002280,GA570,MDC,CGK,2024-05-01 00:28:36,2024-05-01 00:27:36,Flown
148,BKG00011098,GA484,DPS,LHR,2024-01-01 13:54:15,2024-01-01 13:47:15,Flown
149,BKG00007315,GA758,BKK,UPG,2024-08-19 23:57:16,2024-08-20 00:24:16,Flown
150,BKG00013668,GA748,MDC,BKK,2024-11-04 07:41:35,2024-11-04 07:33:35,Flown
151,BKG00002703,GA992,PLM,DXB,2023-12-30 23:01:22,2023-12-30 23:41:22,Flown
152,BKG00003709,GA811,SIN,PLM,2026-02-07 05:48:51,2026-02-07 08:46:51,Flown
153,BKG00001297,GA864,SUB,BDO,2025-01-18 17:03:12,2025-01-18 17:56:12,Flown
154,BKG00008241,GA985,BDO,MDC,2024-10-30 18:43:20,2024-10-30 21:05:20,Flown
155,BKG00004528,GA211,LHR,SIN,2025-01-09 03:55:42,2025-01-09 04:05:42,Flown
156,BKG00014667,GA398,DPS,SIN,2024-02-04 04:51:01,2024-02-04 07:45:01,Flown
157,BKG00010982,GA920,MDC,CGK,2025-08-22 08:45:55,2025-08-22 10:11:55,Flown
158,BKG00003257,GA618,PLM,SUB,2024-09-12 18:04:20,2024-09-12 19:06:20,Flown
159,BKG00014289,GA863,LHR,NRT,2023-07-13 17:29:16,2023-07-13 19:28:16,Flown
160,BKG00011866,GA237,SIN,UPG,2025-08-25 07:07:37,2025-08-25 09:58:37,Flown
161,BKG00014882,GA418,NRT,BKK,2025-10-06 02:48:36,2025-10-06 03:58:36,Flown
162,BKG00010759,GA585,BDO,BKK,2025-05-02 00:01:26,2025-05-02 01:03:26,Flown
163,BKG00004798,GA600,KUL,LHR,2025-03-21 12:41:17,2025-03-21 15:00:17,Flown
164,BKG00009658,GA595,DPS,LHR,2026-04-02 22:23:52,2026-04-03 00:23:52,Flown
165,BKG00005468,GA936,DPS,NRT,2024-08-07 18:12:50,2024-08-07 19:20:50,Flown
166,BKG00009661,GA656,DXB,BKK,2025-06-21 03:22:26,2025-06-21 05:34:26,Flown
167,BKG00005569,GA453,DXB,SYD,2024-08-31 06:57:24,2024-08-31 08:00:24,Flown
168,BKG00004581,GA255,CGK,SYD,2025-12-22 12:20:38,2025-12-22 14:56:38,Flown
169,BKG00010424,GA705,CGK,DPS,2024-08-26 03:08:16,2024-08-26 04:14:16,Flown
170,BKG00007300,GA639,SUB,DPS,2025-03-12 23:53:57,2025-03-13 01:44:57,Flown
171,BKG00009272,GA856,UPG,PLM,2024-11-08 11:06:53,2024-11-08 11:49:53,Flown
172,BKG00007212,GA820,CGK,SYD,2025-12-07 04:11:39,2025-12-07 05:29:39,Flown
173,BKG00012191,GA541,PLM,SIN,2024-11-27 19:21:15,2024-11-27 19:43:15,Flown
174,BKG00003882,GA680,LHR,SYD,2025-10-28 19:19:28,2025-10-28 20:04:28,Flown
175,BKG00000533,GA863,MDC,SYD,2024-04-15 23:39:26,2024-04-15 23:31:26,Flown
176,BKG00005676,GA855,DXB,DPS,2023-08-28 13:32:16,2023-08-28 16:09:16,Flown
177,BKG00014101,GA774,MDC,HKG,2023-08-09 06:49:15,2023-08-09 08:04:15,Flown
178,BKG00011358,GA311,HKG,BDO,2025-04-01 12:30:36,2025-04-01 14:02:36,Flown
179,BKG00012229,GA323,LHR,SIN,2025-12-18 20:44:54,2025-12-18 23:25:54,Flown
180,BKG00005103,GA470,LHR,BDO,2025-08-16 16:45:54,2025-08-16 17:15:54,Flown
181,BKG00002016,GA326,LHR,SIN,2024-10-29 22:27:02,2024-10-29 22:25:02,Diverted
182,BKG00001025,GA555,NRT,DXB,2025-10-12 04:41:14,2025-10-12 05:00:14,Flown
183,BKG00003380,GA473,SIN,MDC,2025-10-12 09:35:17,2025-10-12 12:15:17,Flown
184,BKG00013637,GA676,PLM,DPS,2025-04-05 02:50:43,2025-04-05 03:55:43,Flown
185,BKG00005568,GA539,SUB,PLM,2023-11-28 08:51:48,2023-11-28 09:03:48,Flown
186,BKG00008118,GA660,UPG,MDC,2024-04-21 03:32:18,2024-04-21 05:43:18,Flown
187,BKG00005303,GA800,SIN,SUB,2025-08-13 03:10:06,2025-08-13 03:59:06,Cancelled
188,BKG00010962,GA625,MDC,PLM,2023-11-20 12:06:04,2023-11-20 14:54:04,Flown
189,BKG00012837,GA940,SUB,CGK,2023-11-11 15:13:45,2023-11-11 16:32:45,Flown
190,BKG00005420,GA543,DXB,SYD,2023-10-27 15:43:42,2023-10-27 16:17:42,Flown
191,BKG00010010,GA534,DXB,SIN,2025-08-25 08:01:16,2025-08-25 08:45:16,Flown
192,BKG00014019,GA227,MDC,NRT,2024-08-21 17:26:33,2024-08-21 18:07:33,Flown
193,BKG00010554,GA713,SYD,DPS,2024-07-31 13:57:40,2024-07-31 13:47:40,Flown
194,BKG00010829,GA646,DXB,KUL,2025-12-14 09:41:18,2025-12-14 11:18:18,Flown
195,BKG00004805,GA256,NRT,SIN,2026-05-04 06:23:16,2026-05-04 08:35:16,Flown
196,BKG00001686,GA422,SIN,KUL,2026-01-27 11:32:30,2026-01-27 12:46:30,Flown
197,BKG00000773,GA809,HKG,SIN,2024-02-16 04:47:30,2024-02-16 05:12:30,Flown
198,BKG00000592,GA946,LHR,NRT,2024-03-27 03:35:33,2024-03-27 04:55:33,Flown
199,BKG00011208,GA757,BKK,HKG,2024-05-11 21:01:56,2024-05-11 21:17:56,Flown
200,BKG00014013,GA855,NRT,KUL,2025-03-21 14:53:25,2025-03-21 16:03:25,Flown
201,BKG00004773,GA180,BDO,HKG,2024-10-13 06:18:41,2024-10-13 07:18:41,Flown
202,BKG00003367,GA201,LHR,BKK,2024-10-01 08:43:40,2024-10-01 09:33:40,Flown
203,BKG00006251,GA874,SUB,DPS,2023-07-19 09:02:08,2023-07-19 10:13:08,Flown
204,BKG00000467,GA274,KUL,BDO,2025-07-28 12:31:10,2025-07-28 13:40:10,Flown
205,BKG00008486,GA142,LHR,DPS,2023-11-12 22:14:21,2023-11-12 22:29:21,Flown
206,BKG00011728,GA351,NRT,HKG,2024-12-20 23:58:12,2024-12-20 23:50:12,Flown
207,BKG00003783,GA801,PLM,MDC,2024-06-16 08:28:47,2024-06-16 09:01:47,Flown
208,BKG00014205,GA275,SUB,BKK,2024-06-19 07:37:08,2024-06-19 08:50:08,Flown
209,BKG00013421,GA462,HKG,SUB,2023-11-24 12:21:23,2023-11-24 14:00:23,Flown
210,BKG00013706,GA550,MDC,SYD,2024-04-15 00:08:22,2024-04-15 00:13:22,Flown
211,BKG00008447,GA548,MDC,LHR,2023-07-13 07:50:56,2023-07-13 10:18:56,Flown
212,BKG00004738,GA797,HKG,UPG,2023-11-03 10:10:49,2023-11-03 12:10:49,Flown
213,BKG00000486,GA104,UPG,BDO,2025-01-26 18:32:04,2025-01-26 19:12:04,Flown
214,BKG00013351,GA791,UPG,LHR,2025-04-12 11:03:11,2025-04-12 12:19:11,Flown
215,BKG00007683,GA397,SIN,SYD,2024-02-14 19:37:12,2024-02-14 21:32:12,Flown
216,BKG00013465,GA961,DXB,UPG,2024-10-20 11:11:47,2024-10-20 12:48:47,Flown
217,BKG00008216,GA315,SYD,BDO,2023-08-04 13:50:29,2023-08-04 14:05:29,Flown
218,BKG00014511,GA475,MDC,UPG,2025-05-20 06:29:11,2025-05-20 07:03:11,Flown
219,BKG00007104,GA301,SYD,MDC,2024-05-09 17:15:50,2024-05-09 20:05:50,Flown
220,BKG00007592,GA804,SIN,SYD,2026-02-02 22:42:54,2026-02-03 00:02:54,Flown
221,BKG00007426,GA159,PLM,SIN,2025-10-29 19:36:29,2025-10-29 19:40:29,Flown
222,BKG00000381,GA567,DXB,LHR,2024-03-26 06:40:42,2024-03-26 07:56:42,Flown
223,BKG00000731,GA495,PLM,SIN,2023-09-16 01:06:15,2023-09-16 02:45:15,Flown
224,BKG00008448,GA469,HKG,BDO,2025-08-15 15:29:57,2025-08-15 15:23:57,Flown
225,BKG00006896,GA625,PLM,SUB,2024-03-12 22:57:24,2024-03-12 22:59:24,Flown
226,BKG00003428,GA239,BDO,PLM,2025-03-31 21:58:29,2025-04-01 00:56:29,Flown
227,BKG00014183,GA209,UPG,KUL,2024-10-07 18:00:33,2024-10-07 18:59:33,Flown
228,BKG00011019,GA378,UPG,SUB,2023-10-20 20:03:37,2023-10-20 20:39:37,Flown
229,BKG00003203,GA682,SYD,DXB,2024-11-10 04:15:31,2024-11-10 05:11:31,Flown
230,BKG00005216,GA697,UPG,BKK,2025-03-12 01:06:50,2025-03-12 01:49:50,Flown
231,BKG00000088,GA168,PLM,CGK,2024-01-07 18:24:32,2024-01-07 18:15:32,Flown
232,BKG00014774,GA625,HKG,DPS,2024-04-12 08:36:29,2024-04-12 08:27:29,Flown
233,BKG00008703,GA664,PLM,NRT,2025-08-23 11:09:02,2025-08-23 11:54:02,Flown
234,BKG00009531,GA746,MDC,SYD,2025-07-09 00:13:10,2025-07-09 02:56:10,Flown
235,BKG00001558,GA618,SIN,SUB,2023-08-11 02:15:16,2023-08-11 04:29:16,Flown
236,BKG00013780,GA976,SYD,MDC,2026-04-29 06:29:14,2026-04-29 08:42:14,Flown
237,BKG00014341,GA718,BKK,KUL,2025-06-11 01:28:48,2025-06-11 03:20:48,Flown
238,BKG00001595,GA968,PLM,BDO,2026-03-28 17:25:32,2026-03-28 17:15:32,Flown
239,BKG00005932,GA567,SUB,KUL,2023-06-05 01:44:26,2023-06-05 04:42:26,Flown
240,BKG00000525,GA632,CGK,DPS,2024-04-22 13:27:55,2024-04-22 15:27:55,Flown
241,BKG00012279,GA228,SIN,NRT,2024-04-06 14:58:18,2024-04-06 16:09:18,Flown
242,BKG00012824,GA188,DPS,BDO,2025-03-30 06:06:12,2025-03-30 08:28:12,Flown
243,BKG00003684,GA272,HKG,KUL,2025-10-24 12:53:15,2025-10-24 15:20:15,Flown
244,BKG00014292,GA546,DXB,SYD,2024-01-24 11:44:07,2024-01-24 13:17:07,Flown
245,BKG00008016,GA305,NRT,SUB,2024-02-02 10:20:58,2024-02-02 12:14:58,Flown
246,BKG00012579,GA923,SUB,DXB,2026-04-09 10:20:44,2026-04-09 12:47:44,Flown
247,BKG00001896,GA345,UPG,HKG,2024-07-11 14:13:24,2024-07-11 15:05:24,Flown
248,BKG00008011,GA792,NRT,LHR,2026-04-29 05:23:19,2026-04-29 08:23:19,No-Show
249,BKG00005615,GA731,SYD,DPS,2025-11-02 07:38:32,2025-11-02 08:56:32,Flown
250,BKG00006061,GA164,SIN,PLM,2024-09-19 06:39:39,2024-09-19 09:17:39,Flown
251,BKG00007165,GA871,KUL,DPS,2025-04-21 12:01:50,2025-04-21 13:13:50,Flown
252,BKG00001807,GA492,HKG,LHR,2026-05-02 23:05:54,2026-05-03 00:21:54,Flown
253,BKG00007681,GA197,SUB,KUL,2024-01-15 06:09:05,2024-01-15 06:42:05,Flown
254,BKG00003184,GA523,UPG,BKK,2025-09-10 18:42:01,2025-09-10 21:29:01,Flown
255,BKG00003199,GA394,SUB,DXB,2026-03-27 10:36:33,2026-03-27 13:34:33,Flown
256,BKG00003078,GA306,SYD,BDO,2025-01-08 18:05:21,2025-01-08 18:01:21,Flown
257,BKG00005099,GA706,CGK,SYD,2024-12-13 16:00:16,2024-12-13 17:51:16,Flown
258,BKG00005338,GA556,HKG,KUL,2023-05-29 23:30:13,2023-05-30 01:12:13,Flown
259,BKG00011467,GA422,NRT,UPG,2023-11-17 08:34:19,2023-11-17 10:13:19,Flown
260,BKG00001883,GA627,UPG,BKK,2026-03-01 01:37:06,2026-03-01 02:03:06,Flown
261,BKG00010073,GA671,LHR,SIN,2025-08-07 00:02:47,2025-08-07 00:47:47,Flown
262,BKG00014653,GA437,SUB,LHR,2025-09-16 06:33:44,2025-09-16 06:55:44,Cancelled
263,BKG00007719,GA386,KUL,BKK,2024-11-07 22:10:42,2024-11-08 00:05:42,Flown
264,BKG00000952,GA323,DXB,SYD,2023-07-31 02:22:51,2023-07-31 03:41:51,Flown
265,BKG00005085,GA882,BDO,SUB,2024-12-20 06:42:15,2024-12-20 07:25:15,Flown
266,BKG00011545,GA778,BDO,CGK,2024-06-13 18:23:49,2024-06-13 20:32:49,Flown
267,BKG00009219,GA539,NRT,PLM,2024-12-21 13:52:21,2024-12-21 16:20:21,Flown
268,BKG00012931,GA372,MDC,BKK,2024-07-16 12:32:33,2024-07-16 14:27:33,Flown
269,BKG00003744,GA415,DXB,SIN,2024-12-13 21:17:23,2024-12-13 21:27:23,Flown
270,BKG00010506,GA920,BDO,SYD,2024-02-14 07:18:52,2024-02-14 08:09:52,Flown
271,BKG00004079,GA369,NRT,LHR,2024-12-08 01:44:59,2024-12-08 04:17:59,Flown
272,BKG00006040,GA895,SUB,CGK,2024-12-11 04:21:18,2024-12-11 05:59:18,Flown
