registration_number,aircraft_type,manufacturer,seat_capacity,operating_airline
PK-YXW41,Airbus A320,Airbus,180,AirAsia Indonesia
PK-TQA80,Airbus A330-300,Airbus,335,Lion Air
PK-IEG57,Boeing 787-9,Boeing,296,Lion Air
PK-ZJG87,Airbus A321,Airbus,220,Sriwijaya Air
PK-NVN84,Boeing 737-800,Boeing,162,Batik Air
PK-XQD79,Boeing 787-9,Boeing,296,Garuda Indonesia
PK-YWH35,Boeing 777-300ER,Boeing,396,Batik Air
PK-MMG16,Boeing 737 MAX 8,Boeing,172,Sriwijaya Air
PK-FZF60,ATR 72-600,ATR,72,Sriwijaya Air
PK-WBO84,ATR 72-600,ATR,72,Citilink
PK-XTM10,Airbus A330-300,Airbus,335,Batik Air
PK-LXS53,Boeing 787-9,Boeing,296,AirAsia Indonesia
PK-RXH08,Airbus A330-300,Airbus,335,AirAsia Indonesia
PK-QIY04,Boeing 787-9,Boeing,296,Garuda Indonesia
PK-BLA72,Airbus A320,Airbus,180,Citilink
PK-IVT68,Airbus A330-300,Airbus,335,Batik Air
PK-ZDR94,Airbus A320,Airbus,180,AirAsia Indonesia
PK-LUN69,Airbus A320,Airbus,180,AirAsia Indonesia
PK-KIQ76,Airbus A330-300,Airbus,335,Citilink
PK-HRD65,Boeing 777-300ER,Boeing,396,Sriwijaya Air
PK-JAI35,Airbus A330-300,Airbus,335,Sriwijaya Air
PK-DSA12,Boeing 777-300ER,Boeing,396,Sriwijaya Air
PK-TRP78,Boeing 737 MAX 8,Boeing,172,Garuda Indonesia
PK-DBO71,Boeing 737 MAX 8,Boeing,172,Garuda Indonesia
PK-ONF15,Boeing 737-800,Boeing,162,AirAsia Indonesia
PK-QCU20,Airbus A330-300,Airbus,335,Garuda Indonesia
PK-ZMY80,ATR 72-600,ATR,72,Sriwijaya Air
PK-OEV76,Boeing 737 MAX 8,Boeing,172,Sriwijaya Air
PK-YMB86,ATR 72-600,ATR,72,AirAsia Indonesia
PK-FPK45,Boeing 737-800,Boeing,162,Sriwijaya Air
PK-HFP93,Boeing 777-300ER,Boeing,396,Citilink
PK-JRP71,Airbus A321,Airbus,220,Lion Air
PK-QPC48,ATR 72-600,ATR,72,AirAsia Indonesia
PK-VPE86,Airbus A330-300,Airbus,335,Garuda Indonesia
PK-JBF01,Airbus A321,Airbus,220,Citilink
PK-CMR70,Boeing 737 MAX 8,Boeing,172,Batik Air
PK-XIH14,ATR 72-600,ATR,72,Citilink
PK-IIP24,Airbus A330-300,Airbus,335,Garuda Indonesia
PK-RRB14,Boeing 787-9,Boeing,296,Lion Air
PK-RRU82,Boeing 777-300ER,Boeing,396,Batik Air
PK-BFI04,Boeing 777-300ER,Boeing,396,Batik Air
PK-NRM07,Airbus A330-300,Airbus,335,Sriwijaya Air
