booking_id,customer_id,booking_date,booking_channel,fare_basis_code
BKG00000151,CUS0004885,2024-10-25,OTA,YOWUS
BKG00000152,CUS0000773,2025-05-12,MOB,GRPECO
BKG00000153,CUS0002502,2023-08-16,AGT,WOWBUS
BKG00000154,CUS0001395,2023-07-25,OTA,YOWRS
BKG00000155,CUS0001366,2024-01-21,MOB,CLXSAV
BKG00000156,CUS0003730,2024-07-29,MOB,YOWUS
BKG00000157,CUS0003888,2025-01-30,GDS,CLXSAV
BKG00000158,CUS0000171,2024-01-17,MOB,CLXBUS
BKG00000159,CUS0000631,2025-11-16,MOB,YOWUS
BKG00000160,CUS0004867,2024-12-14,OTA,GRPECO
BKG00000161,CUS0004778,2026-03-20,WEB,GRPECO
BKG00000162,CUS0002028,2025-01-06,GDS,YOWRS
BKG00000163,CUS0000371,2025-01-03,WEB,CLXBUS
BKG00000164,CUS0001871,2025-07-19,CTR,BSSAVE
BKG00000165,CUS0001201,2023-07-02,WEB,YOWRS
BKG00000166,CUS0002496,2024-12-04,AGT,CLXSAV
BKG00000167,CUS0003708,2023-09-14,GDS,CLXSAV
BKG00000168,CUS0004471,2023-09-08,OTA,GRPECO
BKG00000169,CUS0002077,2026-01-27,OTA,GRPECO
BKG00000170,CUS0000112,2025-11-09,OTA,CLXBUS
BKG00000171,CUS0002734,2024-09-07,CTR,GRPECO
BKG00000172,CUS0000924,2025-05-02,OTA,YOWUS
BKG00000173,CUS0001212,2024-01-12,GDS,WOWBUS
BKG00000174,CUS0001161,2024-09-29,OTA,GRPECO
BKG00000175,CUS0000254,2026-03-13,MOB,FLXFST
BKG00000176,CUS0002945,2025-12-01,MOB,YOWRS
BKG00000177,CUS0001588,2024-08-16,GDS,YOWRS
BKG00000178,CUS0002244,2025-08-02,AGT,GRPECO
BKG00000179,CUS0004317,2025-04-12,MOB,CLXBUS
BKG00000180,CUS0002858,2025-06-13,OTA,FLXFST
BKG00000181,CUS0004827,2025-01-12,GDS,CLXBUS
BKG00000182,CUS0002534,2023-11-25,MOB,YOWUS
BKG00000183,CUS0004748,2024-02-08,CTR,CLXSAV
BKG00000184,CUS0001008,2025-03-28,GDS,GRPECO
BKG00000185,CUS0004643,2026-04-01,OTA,CLXBUS
BKG00000186,CUS0000903,2025-07-30,WEB,GRPECO
BKG00000187,CUS0001206,2024-11-05,GDS,BSSAVE
BKG00000188,CUS0004286,2024-05-07,OTA,BSSAVE
BKG00000189,CUS0002488,2023-09-14,GDS,CLXBUS
BKG00000190,CUS0000530,2024-08-06,OTA,YOWUS
BKG00000191,CUS0003719,2026-04-30,WEB,WOWBUS
BKG00000192,CUS0002319,2026-05-21,CTR,YOWRS
BKG00000193,CUS0000436,2023-05-30,GDS,CLXBUS
BKG00000194,CUS0000042,2026-05-04,GDS,CLXSAV
BKG00000195,CUS0000006,2023-05-29,WEB,CLXBUS
BKG00000196,CUS0001129,2023-07-13,OTA,CLXBUS
BKG00000197,CUS0004113,2024-02-29,AGT,BSSAVE
BKG00000198,CUS0000705,2024-05-20,AGT,CLXBUS
BKG00000199,CUS0001169,2025-05-27,AGT,WOWBUS
BKG00000200,CUS0003540,2025-03-19,CTR,YOWRS
BKG00000201,CUS0002383,2025-06-03,MOB,YOWUS
BKG00000202,CUS0003877,2024-04-20,OTA,WOWBUS
BKG00000203,CUS0003165,2025-03-29,GDS,FLXFST
BKG00000204,CUS0000804,2023-07-08,OTA,CLXBUS
BKG00000205,CUS0004891,2024-12-17,OTA,BSSAVE
BKG00000206,CUS0004620,2023-10-04,GDS,CLXSAV
BKG00000207,CUS0004737,2025-04-14,MOB,WOWBUS
BKG00000208,CUS0002049,2023-09-07,MOB,FLXFST
BKG00000209,CUS0004541,2024-05-22,MOB,CLXBUS
BKG00000210,CUS0002499,2025-01-17,WEB,CLXBUS
BKG00000211,CUS0004643,2024-08-07,AGT,GRPECO
BKG00000212,CUS0004472,2024-07-27,MOB,FLXFST
BKG00000213,CUS0003580,2024-10-29,WEB,BSSAVE
BKG00000214,CUS0004314,2025-12-26,GDS,CLXSAV
BKG00000215,CUS0004128,2024-02-25,AGT,CLXSAV
BKG00000216,CUS0003837,2024-06-05,OTA,FLXFST
BKG00000217,CUS0003822,2025-03-14,GDS,FLXFST
BKG00000218,CUS0003779,2024-06-28,WEB,YOWUS
BKG00000219,CUS0003449,2025-10-20,WEB,BSSAVE
BKG00000220,CUS0002478,2025-12-16,MOB,CLXSAV
BKG00000221,CUS0001043,2025-06-21,CTR,CLXBUS
BKG00000222,CUS0000439,2025-11-24,GDS,BSSAVE
BKG00000223,CUS0003301,2025-09-09,AGT,YOWUS
BKG00000224,CUS0003792,2024-12-04,CTR,GRPECO
BKG00000225,CUS0000446,2023-09-27,WEB,YOWUS
BKG00000226,CUS0002214,2023-12-05,AGT,YOWRS
BKG00000227,CUS0002732,2024-08-29,CTR,YOWRS
BKG00000228,CUS0002381,2025-02-08,CTR,GRPECO
BKG00000229,CUS0002715,2023-09-08,WEB,YOWRS
BKG00000230,CUS0004790,2024-02-04,AGT,YOWUS
BKG00000231,CUS0001680,2024-11-07,CTR,BSSAVE
BKG00000232,CUS0004605,2024-11-13,AGT,GRPECO
BKG00000233,CUS0001118,2025-12-15,MOB,BSSAVE
BKG00000234,CUS0002465,2024-09-27,AGT,CLXBUS
BKG00000235,CUS0000053,2026-05-19,GDS,WOWBUS
BKG00000236,CUS0000940,2025-02-28,WEB,YOWUS
BKG00000237,CUS0001254,2025-12-06,CTR,YOWRS
BKG00000238,CUS0004259,2024-03-08,WEB,WOWBUS
BKG00000239,CUS0001674,2024-06-10,WEB,GRPECO
BKG00000240,CUS0000202,2023-09-06,CTR,GRPECO
BKG00000241,CUS0003201,2025-08-11,WEB,YOWRS
BKG00000242,CUS0002457,2024-05-11,GDS,GRPECO
BKG00000243,CUS0001508,2023-11-16,MOB,CLXBUS
BKG00000244,CUS0003598,2024-07-15,AGT,YOWRS
BKG00000245,CUS0003542,2024-02-20,MOB,YOWUS
BKG00000246,CUS0001514,2024-12-25,MOB,WOWBUS
BKG00000247,CUS0001399,2025-01-08,CTR,WOWBUS
BKG00000248,CUS0003901,2023-07-21,GDS,CLXBUS
BKG00000249,CUS0002372,2024-03-17,AGT,YOWRS
BKG00000250,CUS0004824,2024-12-03,GDS,CLXSAV
BKG00000251,CUS0002255,2023-10-22,GDS,FLXFST
BKG00000252,CUS0000880,2025-10-14,GDS,FLXFST
BKG00000253,CUS0003481,2024-04-25,MOB,YOWUS
BKG00000254,CUS0002322,2025-05-27,GDS,YOWRS
BKG00000255,CUS0004623,2024-04-05,GDS,YOWUS
BKG00000256,CUS0004756,2024-06-05,OTA,YOWUS
BKG00000257,CUS0003642,2026-01-11,WEB,CLXSAV
BKG00000258,CUS0001142,2023-11-01,GDS,GRPECO
BKG00000259,CUS0002269,2025-07-12,WEB,BSSAVE
BKG00000260,CUS0002931,2024-06-27,CTR,WOWBUS
BKG00000261,CUS0002858,2026-02-28,AGT,FLXFST
BKG00000262,CUS0004203,2026-04-04,WEB,BSSAVE
BKG00000263,CUS0001241,2025-08-20,OTA,CLXSAV
BKG00000264,CUS0003765,2025-02-26,AGT,BSSAVE
BKG00000265,CUS0002281,2023-06-27,AGT,CLXBUS
BKG00000266,CUS0003228,2025-03-25,WEB,GRPECO
BKG00000267,CUS0003085,2023-09-07,GDS,BSSAVE
BKG00000268,CUS0004719,2026-04-14,AGT,CLXBUS
BKG00000269,CUS0001061,2024-10-16,AGT,CLXSAV
BKG00000270,CUS0004824,2026-02-17,CTR,CLXSAV
BKG00000271,CUS0004789,2023-06-20,CTR,FLXFST
BKG00000272,CUS0000554,2024-07-25,WEB,YOWUS
BKG00000273,CUS0001304,2025-08-15,MOB,YOWRS
BKG00000274,CUS0000871,2024-12-05,GDS,GRPECO
BKG00000275,CUS0002652,2024-09-13,MOB,WOWBUS
BKG00000276,CUS0000864,2025-07-29,MOB,FLXFST
BKG00000277,CUS0003442,2025-06-07,WEB,YOWUS
BKG00000278,CUS0002052,2024-09-20,WEB,YOWUS
BKG00000279,CUS0000598,2024-04-12,GDS,CLXSAV
BKG00000280,CUS0004969,2025-11-25,AGT,YOWUS
BKG00000281,CUS0001426,2023-07-25,OTA,YOWRS
BKG00000282,CUS0003683,2023-07-11,GDS,BSSAVE
BKG00000283,CUS0004701,2024-01-31,CTR,WOWBUS
BKG00000284,CUS0001604,2023-08-24,OTA,GRPECO
BKG00000285,CUS0003585,2025-07-17,AGT,CLXBUS
BKG00000286,CUS0001848,2026-05-02,MOB,BSSAVE
BKG00000287,CUS0003556,2025-12-19,CTR,WOWBUS
BKG00000288,CUS0000705,2023-11-06,CTR,YOWUS
BKG00000289,CUS0000789,2024-06-30,MOB,YOWUS
BKG00000290,CUS0001152,2023-08-22,WEB,CLXSAV
BKG00000291,CUS0003343,2025-11-29,CTR,YOWRS
BKG00000292,CUS0002792,2025-03-02,MOB,GRPECO
BKG00000293,CUS0001558,2024-07-30,MOB,GRPECO
BKG00000294,CUS0004103,2025-02-09,OTA,CLXSAV
BKG00000295,CUS0004577,2024-12-29,MOB,YOWRS
BKG00000296,CUS0003596,2024-07-27,GDS,FLXFST
BKG00000297,CUS0000581,2024-03-01,CTR,YOWRS
BKG00000298,CUS0001042,2024-09-10,CTR,CLXBUS
BKG00000299,CUS0000827,2025-10-15,WEB,GRPECO
BKG00000300,CUS0001889,2024-08-07,WEB,CLXSAV
BKG00000301,CUS0000185,2023-09-12,MOB,CLXBUS
BKG00000302,CUS0002060,2025-09-14,GDS,CLXSAV
BKG00000303,CUS0000557,2024-02-12,MOB,CLXBUS
BKG00000304,CUS0000613,2025-06-03,CTR,WOWBUS
BKG00000305,CUS0004242,2024-10-07,CTR,CLXBUS
BKG00000306,CUS0003271,2024-08-26,CTR,YOWUS
BKG00000307,CUS0004473,2026-04-28,AGT,YOWRS
BKG00000308,CUS0004775,2024-04-26,GDS,CLXBUS
BKG00000309,CUS0000246,2023-07-29,WEB,CLXSAV
BKG00000310,CUS0003453,2025-05-17,OTA,WOWBUS
BKG00000311,CUS0002741,2023-11-13,WEB,BSSAVE
BKG00000312,CUS0001674,2024-09-03,CTR,CLXSAV
BKG00000313,CUS0000511,2026-01-27,MOB,GRPECO
BKG00000314,CUS0000598,2023-09-30,CTR,YOWUS
BKG00000315,CUS0002834,2025-04-19,WEB,FLXFST
BKG00000316,CUS0004901,2024-09-09,AGT,YOWRS
BKG00000317,CUS0004518,2025-07-08,GDS,BSSAVE
BKG00000318,CUS0002217,2026-02-02,AGT,YOWUS
BKG00000319,CUS0000853,2023-11-05,WEB,GRPECO
BKG00000320,CUS0004159,2024-12-12,MOB,CLXSAV
BKG00000321,CUS0003535,2025-05-10,GDS,CLXBUS
BKG00000322,CUS0001866,2024-07-24,WEB,YOWUS
BKG00000323,CUS0000216,2025-11-21,MOB,FLXFST
BKG00000324,CUS0000149,2025-12-01,CTR,GRPECO
BKG00000325,CUS0000428,2025-02-03,GDS,FLXFST
BKG00000326,CUS0001026,2024-07-09,GDS,FLXFST
BKG00000327,CUS0004502,2025-05-08,MOB,YOWRS
BKG00000328,CUS0003588,2024-02-04,WEB,CLXSAV
BKG00000329,CUS0002882,2024-04-26,MOB,CLXSAV
BKG00000330,CUS0003577,2025-03-29,WEB,WOWBUS
BKG00000331,CUS0001901,2025-01-22,WEB,YOWUS
BKG00000332,CUS0001861,2023-09-30,GDS,YOWUS
BKG00000333,CUS0000123,2023-09-19,AGT,WOWBUS
BKG00000334,CUS0000466,2025-05-08,WEB,YOWUS
BKG00000335,CUS0001039,2025-02-07,GDS,BSSAVE
BKG00000336,CUS0002316,2023-09-13,WEB,CLXSAV
BKG00000337,CUS0002865,2024-07-19,CTR,WOWBUS
BKG00000338,CUS0002396,2025-06-29,MOB,FLXFST
BKG00000339,CUS0003922,2023-06-17,AGT,YOWRS
BKG00000340,CUS0000630,2024-02-09,WEB,CLXBUS
BKG00000341,CUS0004454,2025-04-16,MOB,GRPECO
BKG00000342,CUS0002925,2025-12-26,MOB,GRPECO
BKG00000343,CUS0002480,2026-04-16,OTA,CLXBUS
BKG00000344,CUS0002001,2026-04-04,CTR,CLXBUS
BKG00000345,CUS0002613,2024-07-01,AGT,YOWRS
BKG00000346,CUS0000443,2026-02-15,OTA,FLXFST
BKG00000347,CUS0003984,2023-08-29,OTA,YOWRS
BKG00000348,CUS0001668,2024-06-23,MOB,WOWBUS
BKG00000349,CUS0002499,2025-11-24,AGT,WOWBUS
BKG00000350,CUS0001006,2025-08-16,OTA,BSSAVE
BKG00000351,CUS0000294,2026-03-20,MOB,GRPECO
BKG00000352,CUS0003718,2025-01-16,WEB,YOWUS
BKG00000353,CUS0004088,2023-09-13,WEB,CLXBUS
BKG00000354,CUS0002278,2023-10-24,CTR,FLXFST
BKG00000355,CUS0002461,2023-11-02,WEB,YOWUS
BKG00000356,CUS0002287,2025-04-19,CTR,FLXFST
BKG00000357,CUS0004058,2024-02-10,WEB,FLXFST
BKG00000358,CUS0003152,2024-07-12,GDS,YOWUS
BKG00000359,CUS0001839,2025-04-23,MOB,FLXFST
BKG00000360,CUS0001511,2026-04-15,AGT,FLXFST
BKG00000361,CUS0004363,2025-09-27,WEB,CLXBUS
BKG00000362,CUS0000257,2026-01-06,CTR,CLXSAV
BKG00000363,CUS0000213,2023-11-29,CTR,CLXSAV
BKG00000364,CUS0002151,2024-06-25,CTR,WOWBUS
BKG00000365,CUS0000225,2026-03-22,OTA,FLXFST
BKG00000366,CUS0003503,2025-03-03,AGT,YOWUS
BKG00000367,CUS0000895,2024-11-19,CTR,FLXFST
BKG00000368,CUS0002355,2024-05-31,CTR,GRPECO
BKG00000369,CUS0003473,2024-07-23,CTR,CLXBUS
BKG00000370,CUS0001332,2025-01-03,GDS,GRPECO
BKG00000371,CUS0001952,2023-09-28,MOB,YOWUS
BKG00000372,CUS0002300,2026-01-19,AGT,CLXBUS
BKG00000373,CUS0000701,2026-02-13,MOB,CLXBUS
BKG00000374,CUS0002766,2024-02-16,CTR,FLXFST
BKG00000375,CUS0000317,2024-06-16,CTR,CLXBUS
BKG00000376,CUS0002964,2023-07-17,OTA,CLXBUS
BKG00000377,CUS0004981,2023-05-28,WEB,YOWRS
BKG00000378,CUS0002515,2023-10-13,CTR,CLXSAV
BKG00000379,CUS0002167,2023-12-27,MOB,GRPECO
BKG00000380,CUS0003791,2023-08-09,WEB,GRPECO
BKG00000381,CUS0000073,2024-01-20,GDS,YOWUS
BKG00000382,CUS0002939,2025-11-08,GDS,WOWBUS
BKG00000383,CUS0003348,2025-07-13,WEB,YOWRS
BKG00000384,CUS0002265,2025-11-19,CTR,CLXSAV
BKG00000385,CUS0000525,2026-02-06,GDS,BSSAVE
BKG00000386,CUS0002114,2024-11-19,OTA,CLXBUS
BKG00000387,CUS0004055,2024-12-01,MOB,WOWBUS
BKG00000388,CUS0001430,2024-09-14,MOB,YOWUS
BKG00000389,CUS0001907,2025-08-17,WEB,YOWUS
BKG00000390,CUS0001510,2023-11-29,AGT,GRPECO
BKG00000391,CUS0004751,2025-05-09,OTA,YOWUS
BKG00000392,CUS0004534,2024-02-21,AGT,WOWBUS
BKG00000393,CUS0000499,2025-02-12,AGT,CLXBUS
BKG00000394,CUS0002109,2025-06-03,WEB,CLXSAV
BKG00000395,CUS0004428,2026-04-30,AGT,YOWUS
BKG00000396,CUS0004920,2024-05-11,MOB,CLXSAV
BKG00000397,CUS0000895,2023-09-11,WEB,GRPECO
BKG00000398,CUS0000928,2026-03-24,CTR,YOWRS
BKG00000399,CUS0001942,2024-01-02,MOB,CLXSAV
BKG00000400,CUS0004673,2025-10-29,OTA,FLXFST
BKG00000401,CUS0000585,2024-04-09,AGT,FLXFST
BKG00000402,CUS0002320,2024-08-07,MOB,YOWUS
BKG00000403,CUS0002676,2023-07-30,CTR,CLXSAV
BKG00000404,CUS0002745,2024-06-21,GDS,CLXSAV
BKG00000405,CUS0003856,2025-04-30,OTA,YOWUS
BKG00000406,CUS0001314,2024-02-05,OTA,YOWUS
BKG00000407,CUS0002383,2023-10-16,MOB,YOWUS
BKG00000408,CUS0000871,2023-09-14,CTR,WOWBUS
BKG00000409,CUS0002565,2025-05-22,CTR,CLXSAV
BKG00000410,CUS0001761,2024-06-20,GDS,YOWUS
BKG00000411,CUS0001230,2024-12-21,GDS,YOWRS
BKG00000412,CUS0000634,2026-02-02,MOB,FLXFST
BKG00000413,CUS0004416,2026-03-07,AGT,YOWRS
BKG00000414,CUS0004324,2025-03-14,WEB,GRPECO
BKG00000415,CUS0004297,2023-08-26,CTR,GRPECO
BKG00000416,CUS0002597,2024-01-05,OTA,WOWBUS
BKG00000417,CUS0004713,2025-02-26,OTA,WOWBUS
BKG00000418,CUS0002693,2025-05-27,MOB,CLXSAV
BKG00000419,CUS0001892,2023-09-05,GDS,CLXSAV
BKG00000420,CUS0000946,2024-09-18,AGT,WOWBUS
BKG00000421,CUS0003646,2023-07-18,AGT,FLXFST
BKG00000422,CUS0002965,2025-02-05,WEB,CLXSAV
BKG00000423,CUS0004592,2024-01-12,CTR,YOWRS
BKG00000424,CUS0002968,2023-07-01,AGT,GRPECO
BKG00000425,CUS0004958,2026-01-09,MOB,GRPECO
BKG00000426,CUS0003432,2025-01-12,MOB,BSSAVE
BKG00000427,CUS0004405,2026-01-25,MOB,FLXFST
BKG00000428,CUS0004791,2024-04-03,AGT,BSSAVE
BKG00000429,CUS0004961,2023-08-31,OTA,CLXBUS
BKG00000430,CUS0002799,2025-04-10,OTA,YOWRS
BKG00000431,CUS0000668,2026-04-07,GDS,FLXFST
BKG00000432,CUS0004138,2025-10-02,MOB,GRPECO
BKG00000433,CUS0001623,2025-01-05,MOB,GRPECO
BKG00000434,CUS0000128,2024-06-21,MOB,YOWRS
BKG00000435,CUS0003430,2025-09-28,OTA,GRPECO
BKG00000436,CUS0000828,2025-12-13,MOB,YOWUS
BKG00000437,CUS0003535,2025-04-23,WEB,BSSAVE
BKG00000438,CUS0000599,2023-10-22,MOB,FLXFST
BKG00000439,CUS0003460,2024-06-20,OTA,BSSAVE
BKG00000440,CUS0003296,2024-06-16,AGT,WOWBUS
BKG00000441,CUS0002404,2025-12-11,WEB,CLXSAV
BKG00000442,CUS0002758,2025-03-31,CTR,YOWRS
BKG00000443,CUS0000371,2025-02-23,WEB,CLXSAV
