room_inventory_id,hotel_id,room_type_code,room_type_name,room_count,base_rate_usd
52,HTL00009,EXC,Executive,32,110.58
53,HTL00009,SUT,Suite,41,127.57
54,HTL00009,FAM,Family,42,125.53
55,HTL00010,STD,Standard,76,352.51
56,HTL00010,SUP,Superior,74,462.69
57,HTL00010,DLX,Deluxe,79,84.76
58,HTL00010,EXC,Executive,40,286.02
59,HTL00010,SUT,Suite,63,227.94
60,HTL00010,FAM,Family,19,158.73
61,HTL00011,STD,Standard,51,395.2
62,HTL00011,SUP,Superior,52,273.06
63,HTL00011,DLX,Deluxe,22,407.06
64,HTL00011,EXC,Executive,13,474.49
65,HTL00011,SUT,Suite,65,77.97
66,HTL00011,FAM,Family,34,466.34
67,HTL00012,STD,Standard,47,133.3
68,HTL00012,SUP,Superior,42,54.56
69,HTL00012,DLX,Deluxe,77,182.9
70,HTL00012,EXC,Executive,56,101.33
71,HTL00012,SUT,Suite,54,225.16
72,HTL00012,FAM,Family,49,288.89
73,HTL00013,STD,Standard,35,253.58
74,HTL00013,SUP,Superior,13,209.73
75,HTL00013,DLX,Deluxe,28,323.72
76,HTL00013,EXC,Executive,58,58.13
77,HTL00013,SUT,Suite,50,450.43
78,HTL00013,FAM,Family,41,292.24
79,HTL00014,STD,Standard,19,59.69
80,HTL00014,SUP,Superior,32,145.35
81,HTL00014,DLX,Deluxe,53,329.33
82,HTL00014,EXC,Executive,19,340.25
83,HTL00014,SUT,Suite,65,101.28
84,HTL00014,FAM,Family,65,86.43
85,HTL00015,STD,Standard,57,273.73
86,HTL00015,SUP,Superior,58,395.45
87,HTL00015,DLX,Deluxe,43,197.19
88,HTL00015,EXC,Executive,54,413.78
89,HTL00015,SUT,Suite,44,289.03
90,HTL00015,FAM,Family,18,468.64
91,HTL00016,STD,Standard,38,170.18
92,HTL00016,SUP,Superior,23,171.94
93,HTL00016,DLX,Deluxe,49,329.61
94,HTL00016,EXC,Executive,41,145.69
95,HTL00016,SUT,Suite,66,284.9
96,HTL00016,FAM,Family,43,84.94
97,HTL00017,STD,Standard,59,104.88
98,HTL00017,SUP,Superior,12,177.03
99,HTL00017,DLX,Deluxe,66,241.62
100,HTL00017,EXC,Executive,51,279.34
101,HTL00017,SUT,Suite,40,322.24
102,HTL00017,FAM,Family,78,465.17
103,HTL00018,STD,Standard,23,462.26
104,HTL00018,SUP,Superior,60,398.81
105,HTL00018,DLX,Deluxe,18,315.96
106,HTL00018,EXC,Executive,45,254.2
107,HTL00018,SUT,Suite,72,202.32
108,HTL00018,FAM,Family,20,363.44
109,HTL00019,STD,Standard,16,303.4
110,HTL00019,SUP,Superior,26,438.1
111,HTL00019,DLX,Deluxe,34,240.51
112,HTL00019,EXC,Executive,12,58.82
113,HTL00019,SUT,Suite,51,148.13
114,HTL00019,FAM,Family,23,55.72
115,HTL00020,STD,Standard,65,423.66
116,HTL00020,SUP,Superior,46,132.42
117,HTL00020,DLX,Deluxe,27,418.53
118,HTL00020,EXC,Executive,46,499.24
119,HTL00020,SUT,Suite,63,97.11
120,HTL00020,FAM,Family,33,388.29
121,HTL00021,STD,Standard,59,334.31
122,HTL00021,SUP,Superior,19,171.04
123,HTL00021,DLX,Deluxe,77,186.75
124,HTL00021,EXC,Executive,30,388.82
125,HTL00021,SUT,Suite,25,65.81
126,HTL00021,FAM,Family,18,162.87
127,HTL00022,STD,Standard,60,107.79
128,HTL00022,SUP,Superior,47,318.98
129,HTL00022,DLX,Deluxe,37,430.72
130,HTL00022,EXC,Executive,74,187.98
131,HTL00022,SUT,Suite,67,163.53
132,HTL00022,FAM,Family,42,335.53
133,HTL00023,STD,Standard,68,177.45
134,HTL00023,SUP,Superior,34,198.1
135,HTL00023,DLX,Deluxe,26,410.89
136,HTL00023,EXC,Executive,39,326.14
137,HTL00023,SUT,Suite,76,81.76
138,HTL00023,FAM,Family,65,401.61
139,HTL00024,STD,Standard,10,201.99
140,HTL00024,SUP,Superior,61,311.32
141,HTL00024,DLX,Deluxe,20,54.74
142,HTL00024,EXC,Executive,21,241.59
143,HTL00024,SUT,Suite,23,87.65
144,HTL00024,FAM,Family,34,441.21
145,HTL00025,STD,Standard,21,399.51
146,HTL00025,SUP,Superior,48,136.25
147,HTL00025,DLX,Deluxe,28,379.13
148,HTL00025,EXC,Executive,49,127.95
149,HTL00025,SUT,Suite,34,90.05
150,HTL00025,FAM,Family,24,195.64
151,HTL00026,STD,Standard,37,184.0
152,HTL00026,SUP,Superior,52,276.77
153,HTL00026,DLX,Deluxe,66,341.92
154,HTL00026,EXC,Executive,42,265.78
155,HTL00026,SUT,Suite,54,148.2
156,HTL00026,FAM,Family,26,69.36
157,HTL00027,STD,Standard,51,363.09
158,HTL00027,SUP,Superior,80,474.45
159,HTL00027,DLX,Deluxe,39,432.87
160,HTL00027,EXC,Executive,76,322.19
161,HTL00027,SUT,Suite,70,482.24
162,HTL00027,FAM,Family,54,300.82
163,HTL00028,STD,Standard,76,430.23
164,HTL00028,SUP,Superior,78,188.04
165,HTL00028,DLX,Deluxe,12,322.65
166,HTL00028,EXC,Executive,54,118.77
167,HTL00028,SUT,Suite,65,70.61
168,HTL00028,FAM,Family,78,193.8
169,HTL00029,STD,Standard,47,425.3
170,HTL00029,SUP,Superior,32,299.1
171,HTL00029,DLX,Deluxe,22,377.02
172,HTL00029,EXC,Executive,47,64.82
173,HTL00029,SUT,Suite,53,240.64
174,HTL00029,FAM,Family,30,68.12
175,HTL00030,STD,Standard,21,263.68
176,HTL00030,SUP,Superior,64,440.39
177,HTL00030,DLX,Deluxe,79,220.76
178,HTL00030,EXC,Executive,58,166.53
179,HTL00030,SUT,Suite,36,491.8
180,HTL00030,FAM,Family,55,110.58
181,HTL00031,STD,Standard,43,356.46
182,HTL00031,SUP,Superior,10,215.48
183,HTL00031,DLX,Deluxe,50,317.04
184,HTL00031,EXC,Executive,25,321.99
185,HTL00031,SUT,Suite,47,497.29
186,HTL00031,FAM,Family,45,233.52
187,HTL00032,STD,Standard,26,110.7
188,HTL00032,SUP,Superior,26,179.22
189,HTL00032,DLX,Deluxe,13,296.65
190,HTL00032,EXC,Executive,78,168.02
191,HTL00032,SUT,Suite,41,235.09
192,HTL00032,FAM,Family,80,107.75
193,HTL00033,STD,Standard,48,245.4
194,HTL00033,SUP,Superior,59,91.61
195,HTL00033,DLX,Deluxe,54,63.22
196,HTL00033,EXC,Executive,72,152.81
197,HTL00033,SUT,Suite,18,274.9
198,HTL00033,FAM,Family,48,158.75
199,HTL00034,STD,Standard,74,494.97
200,HTL00034,SUP,Superior,26,254.18
201,HTL00034,DLX,Deluxe,18,465.49
202,HTL00034,EXC,Executive,26,484.31
203,HTL00034,SUT,Suite,55,399.1
204,HTL00034,FAM,Family,78,489.72
205,HTL00035,STD,Standard,18,56.76
206,HTL00035,SUP,Superior,37,375.94
207,HTL00035,DLX,Deluxe,11,252.97
208,HTL00035,EXC,Executive,77,392.9
209,HTL00035,SUT,Suite,73,335.97
210,HTL00035,FAM,Family,10,147.48
211,HTL00036,STD,Standard,15,323.21
212,HTL00036,SUP,Superior,29,493.38
213,HTL00036,DLX,Deluxe,65,133.0
214,HTL00036,EXC,Executive,26,486.64
215,HTL00036,SUT,Suite,80,255.94
216,HTL00036,FAM,Family,12,396.59
217,HTL00037,STD,Standard,14,185.71
218,HTL00037,SUP,Superior,14,358.94
219,HTL00037,DLX,Deluxe,60,431.81
220,HTL00037,EXC,Executive,73,393.93
221,HTL00037,SUT,Suite,46,308.25
222,HTL00037,FAM,Family,29,361.12
223,HTL00038,STD,Standard,14,404.36
224,HTL00038,SUP,Superior,57,291.32
225,HTL00038,DLX,Deluxe,35,349.84
226,HTL00038,EXC,Executive,43,129.9
227,HTL00038,SUT,Suite,42,265.37
228,HTL00038,FAM,Family,20,225.12
229,HTL00039,STD,Standard,62,374.17
230,HTL00039,SUP,Superior,43,481.11
231,HTL00039,DLX,Deluxe,48,265.74
232,HTL00039,EXC,Executive,32,396.65
233,HTL00039,SUT,Suite,13,366.06
234,HTL00039,FAM,Family,39,127.8
235,HTL00040,STD,Standard,12,121.74
236,HTL00040,SUP,Superior,38,184.89
237,HTL00040,DLX,Deluxe,51,227.04
238,HTL00040,EXC,Executive,61,122.61
239,HTL00040,SUT,Suite,43,218.54
240,HTL00040,FAM,Family,31,52.72
241,HTL00041,STD,Standard,80,258.65
242,HTL00041,SUP,Superior,45,381.13
243,HTL00041,DLX,Deluxe,71,333.43
244,HTL00041,EXC,Executive,32,197.48
245,HTL00041,SUT,Suite,28,360.83
246,HTL00041,FAM,Family,16,276.52
247,HTL00042,STD,Standard,29,408.0
248,HTL00042,SUP,Superior,69,145.4
249,HTL00042,DLX,Deluxe,25,407.02
250,HTL00042,EXC,Executive,60,493.42
251,HTL00042,SUT,Suite,64,289.39
252,HTL00042,FAM,Family,52,489.82
253,HTL00043,STD,Standard,18,90.27
254,HTL00043,SUP,Superior,41,407.63
255,HTL00043,DLX,Deluxe,59,120.52
256,HTL00043,EXC,Executive,41,370.5
257,HTL00043,SUT,Suite,39,203.51
258,HTL00043,FAM,Family,33,76.79
259,HTL00044,STD,Standard,17,88.77
260,HTL00044,SUP,Superior,70,220.89
261,HTL00044,DLX,Deluxe,43,246.97
262,HTL00044,EXC,Executive,74,53.11
263,HTL00044,SUT,Suite,33,343.58
264,HTL00044,FAM,Family,64,318.4
265,HTL00045,STD,Standard,65,193.58
266,HTL00045,SUP,Superior,31,330.34
267,HTL00045,DLX,Deluxe,28,266.55
268,HTL00045,EXC,Executive,57,361.0
269,HTL00045,SUT,Suite,27,479.78
270,HTL00045,FAM,Family,66,258.84
271,HTL00046,STD,Standard,68,358.98
272,HTL00046,SUP,Superior,72,318.63
273,HTL00046,DLX,Deluxe,48,291.09
274,HTL00046,EXC,Executive,69,400.55
275,HTL00046,SUT,Suite,71,65.06
276,HTL00046,FAM,Family,68,136.74
277,HTL00047,STD,Standard,54,270.42
278,HTL00047,SUP,Superior,58,246.19
279,HTL00047,DLX,Deluxe,50,422.76
280,HTL00047,EXC,Executive,35,106.88
281,HTL00047,SUT,Suite,25,469.8
282,HTL00047,FAM,Family,80,243.34
283,HTL00048,STD,Standard,79,468.64
284,HTL00048,SUP,Superior,10,100.84
285,HTL00048,DLX,Deluxe,34,110.23
286,HTL00048,EXC,Executive,38,397.13
287,HTL00048,SUT,Suite,42,59.1
288,HTL00048,FAM,Family,17,481.18
289,HTL00049,STD,Standard,35,67.54
290,HTL00049,SUP,Superior,38,472.78
291,HTL00049,DLX,Deluxe,36,146.01
292,HTL00049,EXC,Executive,10,132.76
293,HTL00049,SUT,Suite,43,264.32
294,HTL00049,FAM,Family,56,206.05
295,HTL00050,STD,Standard,53,159.75
296,HTL00050,SUP,Superior,12,340.54
297,HTL00050,DLX,Deluxe,23,125.34
298,HTL00050,EXC,Executive,15,419.91
299,HTL00050,SUT,Suite,37,409.29
300,HTL00050,FAM,Family,61,461.35
