guest_id,customer_key,preferred_room_type,smoking_preference,special_request,created_at
CUS0000091,91,SUT,Smoking,Late Check-In,2026-01-07
CUS0000092,92,SUT,Smoking,High Floor,2026-02-11
CUS0000093,93,SUT,Smoking,High Floor,2025-11-27
CUS0000094,94,STD,Non-Smoking,High Floor,2025-10-29
CUS0000095,95,SUT,Smoking,Near Elevator,2025-11-27
CUS0000096,96,DLX,Non-Smoking,Late Check-In,2024-12-03
CUS0000097,97,STD,Non-Smoking,None,2025-03-17
CUS0000098,98,STD,Non-Smoking,Baby Cot,2025-01-09
CUS0000099,99,DLX,Smoking,Baby Cot,2025-04-29
CUS0000100,100,SUP,Non-Smoking,None,2025-12-28
CUS0000101,101,DLX,Non-Smoking,High Floor,2024-07-25
CUS0000102,102,DLX,Smoking,None,2026-04-09
CUS0000103,103,SUP,Non-Smoking,None,2025-04-29
CUS0000104,104,STD,Non-Smoking,Near Elevator,2025-04-16
CUS0000105,105,EXC,Non-Smoking,Baby Cot,2026-04-28
CUS0000106,106,SUP,Non-Smoking,Late Check-In,2024-12-09
CUS0000107,107,STD,Non-Smoking,None,2024-07-17
CUS0000108,108,DLX,Non-Smoking,Baby Cot,2025-06-18
CUS0000109,109,SUP,Non-Smoking,None,2025-01-06
CUS0000110,110,STD,Non-Smoking,Near Elevator,2026-04-28
CUS0000111,111,DLX,Non-Smoking,Near Elevator,2025-11-06
CUS0000112,112,DLX,Non-Smoking,Near Elevator,2026-04-03
CUS0000113,113,SUT,Non-Smoking,Baby Cot,2025-01-28
CUS0000114,114,EXC,Non-Smoking,Baby Cot,2026-01-26
CUS0000115,115,SUP,Non-Smoking,High Floor,2025-05-29
CUS0000116,116,DLX,Smoking,High Floor,2025-07-12
CUS0000117,117,DLX,Non-Smoking,Near Elevator,2024-08-30
CUS0000118,118,STD,Non-Smoking,Near Elevator,2026-05-16
CUS0000119,119,SUT,Non-Smoking,High Floor,2026-04-19
CUS0000120,120,SUT,Non-Smoking,Baby Cot,2024-12-09
CUS0000121,121,STD,Non-Smoking,High Floor,2025-04-23
CUS0000122,122,EXC,Non-Smoking,Baby Cot,2026-04-08
CUS0000123,123,STD,Non-Smoking,High Floor,2025-01-04
CUS0000124,124,SUP,Non-Smoking,Baby Cot,2025-04-06
CUS0000125,125,DLX,Non-Smoking,Late Check-In,2025-10-17
CUS0000126,126,STD,Non-Smoking,Near Elevator,2026-02-24
CUS0000127,127,EXC,Non-Smoking,Baby Cot,2025-09-10
CUS0000128,128,EXC,Non-Smoking,Baby Cot,2024-09-24
CUS0000129,129,STD,Smoking,Near Elevator,2024-12-29
CUS0000130,130,DLX,Non-Smoking,Late Check-In,2025-03-14
CUS0000131,131,STD,Non-Smoking,Late Check-In,2025-11-01
CUS0000132,132,EXC,Non-Smoking,High Floor,2025-11-01
CUS0000133,133,SUP,Smoking,None,2025-09-05
CUS0000134,134,STD,Non-Smoking,Near Elevator,2026-03-25
CUS0000135,135,SUT,Non-Smoking,Late Check-In,2025-09-16
CUS0000136,136,SUT,Non-Smoking,High Floor,2025-10-23
CUS0000137,137,STD,Smoking,None,2025-11-30
CUS0000138,138,EXC,Non-Smoking,Late Check-In,2025-04-30
CUS0000139,139,EXC,Non-Smoking,Baby Cot,2024-10-22
CUS0000140,140,DLX,Non-Smoking,Near Elevator,2025-03-15
CUS0000141,141,SUT,Non-Smoking,High Floor,2025-02-09
CUS0000142,142,STD,Non-Smoking,None,2026-04-13
CUS0000143,143,EXC,Non-Smoking,Baby Cot,2024-10-24
CUS0000144,144,SUP,Non-Smoking,High Floor,2025-02-16
CUS0000145,145,DLX,Non-Smoking,Near Elevator,2024-05-27
CUS0000146,146,STD,Non-Smoking,Near Elevator,2025-10-24
CUS0000147,147,SUT,Smoking,None,2025-02-23
CUS0000148,148,SUT,Non-Smoking,Baby Cot,2025-11-14
CUS0000149,149,SUP,Non-Smoking,Baby Cot,2025-01-08
CUS0000150,150,SUP,Non-Smoking,Late Check-In,2026-03-15
CUS0000151,151,DLX,Non-Smoking,Baby Cot,2024-10-21
CUS0000152,152,EXC,Non-Smoking,Late Check-In,2026-04-16
CUS0000153,153,STD,Non-Smoking,None,2025-10-22
CUS0000154,154,DLX,Non-Smoking,Baby Cot,2025-10-24
CUS0000155,155,DLX,Non-Smoking,Baby Cot,2024-10-04
CUS0000156,156,EXC,Non-Smoking,Late Check-In,2026-01-27
CUS0000157,157,SUT,Non-Smoking,High Floor,2025-10-03
CUS0000158,158,DLX,Smoking,None,2024-12-12
CUS0000159,159,DLX,Non-Smoking,Baby Cot,2025-10-16
CUS0000160,160,SUT,Smoking,None,2025-04-12
CUS0000161,161,STD,Non-Smoking,High Floor,2025-12-22
CUS0000162,162,STD,Non-Smoking,Late Check-In,2025-12-29
CUS0000163,163,DLX,Non-Smoking,None,2026-03-27
CUS0000164,164,SUP,Non-Smoking,Late Check-In,2025-11-23
CUS0000165,165,STD,Non-Smoking,Near Elevator,2024-11-19
CUS0000166,166,EXC,Non-Smoking,Late Check-In,2025-04-06
CUS0000167,167,SUT,Non-Smoking,High Floor,2026-03-23
CUS0000168,168,SUP,Non-Smoking,Baby Cot,2026-03-24
CUS0000169,169,DLX,Non-Smoking,Late Check-In,2025-02-16
CUS0000170,170,SUT,Non-Smoking,High Floor,2025-10-15
CUS0000171,171,STD,Non-Smoking,Near Elevator,2025-03-30
CUS0000172,172,EXC,Non-Smoking,Late Check-In,2024-05-26
CUS0000173,173,SUT,Non-Smoking,High Floor,2024-08-19
CUS0000174,174,STD,Non-Smoking,Baby Cot,2025-06-17
CUS0000175,175,SUT,Non-Smoking,Baby Cot,2025-07-11
CUS0000176,176,DLX,Non-Smoking,Near Elevator,2024-10-28
CUS0000177,177,SUP,Smoking,High Floor,2024-05-25
CUS0000178,178,EXC,Non-Smoking,High Floor,2025-07-03
CUS0000179,179,SUT,Non-Smoking,High Floor,2025-01-20
CUS0000180,180,STD,Non-Smoking,Near Elevator,2025-10-28
CUS0000181,181,STD,Non-Smoking,Late Check-In,2025-12-25
CUS0000182,182,SUP,Non-Smoking,None,2024-09-30
CUS0000183,183,SUP,Non-Smoking,None,2025-06-24
CUS0000184,184,DLX,Non-Smoking,Near Elevator,2026-01-23
CUS0000185,185,DLX,Non-Smoking,Baby Cot,2026-02-08
CUS0000186,186,SUP,Non-Smoking,High Floor,2025-05-03
CUS0000187,187,SUP,Non-Smoking,Near Elevator,2026-05-18
CUS0000188,188,STD,Non-Smoking,None,2024-10-30
CUS0000189,189,DLX,Non-Smoking,High Floor,2024-12-14
CUS0000190,190,EXC,Non-Smoking,Late Check-In,2025-12-26
CUS0000191,191,SUP,Non-Smoking,High Floor,2026-03-16
CUS0000192,192,SUP,Non-Smoking,Near Elevator,2025-12-18
CUS0000193,193,DLX,Smoking,Baby Cot,2025-04-12
CUS0000194,194,STD,Non-Smoking,None,2025-05-22
CUS0000195,195,STD,Non-Smoking,None,2025-08-02
CUS0000196,196,SUT,Non-Smoking,None,2025-07-10
CUS0000197,197,EXC,Non-Smoking,Near Elevator,2025-09-22
CUS0000198,198,SUT,Smoking,Near Elevator,2025-09-17
CUS0000199,199,SUP,Non-Smoking,Near Elevator,2026-01-10
CUS0000200,200,EXC,Non-Smoking,High Floor,2025-09-26
CUS0000201,201,SUP,Non-Smoking,High Floor,2026-02-28
CUS0000202,202,EXC,Non-Smoking,Late Check-In,2026-01-08
CUS0000203,203,DLX,Non-Smoking,Near Elevator,2025-09-06
CUS0000204,204,SUT,Non-Smoking,High Floor,2026-01-11
CUS0000205,205,SUT,Non-Smoking,Baby Cot,2025-01-02
CUS0000206,206,SUT,Non-Smoking,Near Elevator,2024-10-26
CUS0000207,207,EXC,Smoking,Late Check-In,2025-12-19
CUS0000208,208,EXC,Non-Smoking,Late Check-In,2024-06-09
CUS0000209,209,DLX,Non-Smoking,Late Check-In,2024-08-13
CUS0000210,210,SUP,Non-Smoking,Late Check-In,2026-02-09
CUS0000211,211,STD,Non-Smoking,High Floor,2025-01-17
CUS0000212,212,SUT,Non-Smoking,High Floor,2024-07-21
CUS0000213,213,STD,Non-Smoking,High Floor,2025-08-17
CUS0000214,214,STD,Smoking,Near Elevator,2024-06-17
CUS0000215,215,EXC,Non-Smoking,None,2024-07-08
CUS0000216,216,SUT,Non-Smoking,Near Elevator,2025-04-12
CUS0000217,217,SUT,Non-Smoking,None,2025-01-11
CUS0000218,218,STD,Non-Smoking,Near Elevator,2025-03-06
CUS0000219,219,SUP,Non-Smoking,Baby Cot,2025-07-30
CUS0000220,220,DLX,Non-Smoking,Late Check-In,2025-09-22
CUS0000221,221,SUT,Non-Smoking,None,2025-11-27
CUS0000222,222,STD,Non-Smoking,Baby Cot,2025-08-23
CUS0000223,223,SUP,Non-Smoking,None,2025-08-13
CUS0000224,224,SUP,Non-Smoking,Near Elevator,2025-01-08
CUS0000225,225,SUP,Non-Smoking,Late Check-In,2024-10-21
CUS0000226,226,SUP,Non-Smoking,None,2026-01-01
CUS0000227,227,DLX,Non-Smoking,None,2024-08-09
CUS0000228,228,STD,Non-Smoking,Late Check-In,2026-03-25
CUS0000229,229,DLX,Non-Smoking,Baby Cot,2026-01-30
CUS0000230,230,DLX,Non-Smoking,Late Check-In,2025-03-26
CUS0000231,231,SUT,Non-Smoking,High Floor,2025-03-29
CUS0000232,232,STD,Non-Smoking,None,2026-01-27
CUS0000233,233,EXC,Non-Smoking,None,2024-10-04
CUS0000234,234,DLX,Non-Smoking,High Floor,2024-12-15
CUS0000235,235,EXC,Non-Smoking,High Floor,2025-05-16
CUS0000236,236,SUP,Non-Smoking,High Floor,2025-02-03
CUS0000237,237,DLX,Non-Smoking,High Floor,2024-08-31
CUS0000238,238,SUP,Non-Smoking,Late Check-In,2026-04-05
CUS0000239,239,STD,Smoking,Near Elevator,2024-09-02
CUS0000240,240,SUP,Non-Smoking,Late Check-In,2026-04-24
CUS0000241,241,SUP,Non-Smoking,High Floor,2025-05-05
CUS0000242,242,SUT,Non-Smoking,None,2026-03-29
CUS0000243,243,SUT,Smoking,None,2026-03-15
CUS0000244,244,STD,Smoking,Near Elevator,2025-11-14
CUS0000245,245,STD,Non-Smoking,High Floor,2025-11-20
CUS0000246,246,DLX,Non-Smoking,High Floor,2025-03-22
CUS0000247,247,STD,Non-Smoking,Baby Cot,2025-04-13
CUS0000248,248,EXC,Non-Smoking,High Floor,2025-08-03
CUS0000249,249,EXC,Non-Smoking,Baby Cot,2025-11-30
CUS0000250,250,STD,Non-Smoking,None,2024-10-09
CUS0000251,251,DLX,Non-Smoking,None,2025-02-27
CUS0000252,252,STD,Non-Smoking,None,2024-12-04
CUS0000253,253,EXC,Non-Smoking,Late Check-In,2024-11-01
CUS0000254,254,SUP,Non-Smoking,Baby Cot,2024-12-22
CUS0000255,255,DLX,Non-Smoking,Late Check-In,2025-05-18
CUS0000256,256,SUT,Non-Smoking,Late Check-In,2025-08-11
CUS0000257,257,STD,Non-Smoking,Baby Cot,2026-03-10
CUS0000258,258,DLX,Non-Smoking,None,2026-04-15
CUS0000259,259,EXC,Non-Smoking,Near Elevator,2025-11-18
CUS0000260,260,SUP,Non-Smoking,None,2025-03-17
CUS0000261,261,STD,Non-Smoking,Baby Cot,2024-10-13
CUS0000262,262,STD,Smoking,High Floor,2026-02-25
CUS0000263,263,EXC,Non-Smoking,Late Check-In,2026-05-02
CUS0000264,264,DLX,Non-Smoking,Late Check-In,2026-05-21
CUS0000265,265,SUP,Non-Smoking,High Floor,2025-05-31
CUS0000266,266,STD,Non-Smoking,Near Elevator,2025-08-11
CUS0000267,267,SUT,Non-Smoking,Near Elevator,2026-04-17
CUS0000268,268,SUT,Non-Smoking,Near Elevator,2025-09-22
CUS0000269,269,SUT,Non-Smoking,None,2026-04-14
CUS0000270,270,SUP,Non-Smoking,Late Check-In,2026-05-05
CUS0000271,271,SUP,Non-Smoking,None,2025-05-28
CUS0000272,272,STD,Non-Smoking,High Floor,2025-10-22
CUS0000273,273,DLX,Smoking,Near Elevator,2024-10-02
CUS0000274,274,SUP,Smoking,High Floor,2024-07-21
CUS0000275,275,SUT,Smoking,Baby Cot,2025-07-10
CUS0000276,276,SUT,Non-Smoking,Late Check-In,2024-11-26
CUS0000277,277,DLX,Non-Smoking,Near Elevator,2025-05-16
CUS0000278,278,SUP,Non-Smoking,High Floor,2025-07-04
CUS0000279,279,EXC,Non-Smoking,Baby Cot,2024-06-04
CUS0000280,280,DLX,Non-Smoking,High Floor,2024-08-21
CUS0000281,281,SUT,Non-Smoking,None,2025-02-04
CUS0000282,282,SUP,Non-Smoking,None,2026-02-01
CUS0000283,283,STD,Non-Smoking,Baby Cot,2025-06-11
CUS0000284,284,SUT,Non-Smoking,Near Elevator,2024-07-19
CUS0000285,285,EXC,Smoking,High Floor,2025-02-08
CUS0000286,286,STD,Non-Smoking,Near Elevator,2025-10-14
CUS0000287,287,DLX,Non-Smoking,None,2025-12-14
CUS0000288,288,STD,Non-Smoking,None,2024-05-27
CUS0000289,289,SUT,Non-Smoking,Late Check-In,2025-08-09
CUS0000290,290,SUP,Non-Smoking,Baby Cot,2025-11-03
CUS0000291,291,EXC,Non-Smoking,Baby Cot,2025-07-12
CUS0000292,292,EXC,Non-Smoking,Baby Cot,2024-12-23
CUS0000293,293,EXC,Non-Smoking,High Floor,2025-09-28
CUS0000294,294,DLX,Non-Smoking,Baby Cot,2024-06-02
CUS0000295,295,SUP,Smoking,Baby Cot,2025-08-19
CUS0000296,296,STD,Non-Smoking,High Floor,2025-01-26
CUS0000297,297,DLX,Non-Smoking,Baby Cot,2025-04-10
CUS0000298,298,DLX,Smoking,None,2024-12-13
CUS0000299,299,SUT,Non-Smoking,Baby Cot,2024-09-29
CUS0000300,300,EXC,Non-Smoking,None,2024-09-06
CUS0000301,301,EXC,Non-Smoking,Near Elevator,2025-08-23
CUS0000302,302,EXC,Non-Smoking,Baby Cot,2026-05-08
CUS0000303,303,SUT,Non-Smoking,None,2024-06-29
CUS0000304,304,EXC,Non-Smoking,Late Check-In,2025-03-28
CUS0000305,305,DLX,Non-Smoking,None,2024-06-21
CUS0000306,306,SUP,Non-Smoking,None,2024-06-30
CUS0000307,307,EXC,Non-Smoking,Baby Cot,2025-02-13
CUS0000308,308,EXC,Smoking,High Floor,2025-06-25
CUS0000309,309,EXC,Non-Smoking,Late Check-In,2024-11-18
CUS0000310,310,SUT,Non-Smoking,None,2025-07-29
CUS0000311,311,STD,Non-Smoking,Near Elevator,2025-12-31
CUS0000312,312,SUP,Non-Smoking,Late Check-In,2025-01-05
CUS0000313,313,SUT,Smoking,Late Check-In,2024-09-24
CUS0000314,314,STD,Non-Smoking,Baby Cot,2026-03-05
CUS0000315,315,SUT,Non-Smoking,None,2025-04-30
CUS0000316,316,STD,Non-Smoking,Near Elevator,2024-07-07
CUS0000317,317,EXC,Non-Smoking,High Floor,2025-11-15
CUS0000318,318,SUT,Non-Smoking,Late Check-In,2026-01-15
CUS0000319,319,STD,Non-Smoking,None,2025-04-13
CUS0000320,320,SUP,Non-Smoking,High Floor,2024-11-18
CUS0000321,321,SUT,Non-Smoking,Near Elevator,2026-02-08
CUS0000322,322,DLX,Non-Smoking,High Floor,2024-10-17
CUS0000323,323,EXC,Non-Smoking,Late Check-In,2024-08-23
CUS0000324,324,STD,Non-Smoking,High Floor,2025-06-04
CUS0000325,325,SUP,Non-Smoking,Late Check-In,2024-10-04
CUS0000326,326,STD,Non-Smoking,Late Check-In,2024-12-21
CUS0000327,327,DLX,Non-Smoking,High Floor,2024-12-23
CUS0000328,328,EXC,Non-Smoking,Baby Cot,2025-10-16
CUS0000329,329,EXC,Non-Smoking,None,2025-03-03
CUS0000330,330,DLX,Non-Smoking,High Floor,2024-07-17
CUS0000331,331,SUP,Non-Smoking,Late Check-In,2025-08-01
CUS0000332,332,DLX,Non-Smoking,None,2026-05-07
CUS0000333,333,SUP,Non-Smoking,Near Elevator,2024-10-24
CUS0000334,334,DLX,Non-Smoking,Baby Cot,2026-01-16
CUS0000335,335,EXC,Non-Smoking,Late Check-In,2025-08-01
CUS0000336,336,STD,Non-Smoking,None,2024-10-05
CUS0000337,337,STD,Non-Smoking,Baby Cot,2025-11-20
CUS0000338,338,DLX,Smoking,Late Check-In,2025-02-22
CUS0000339,339,EXC,Non-Smoking,Near Elevator,2025-10-12
CUS0000340,340,SUT,Non-Smoking,Late Check-In,2026-02-16
CUS0000341,341,SUP,Non-Smoking,None,2025-07-13
CUS0000342,342,SUP,Non-Smoking,None,2024-07-26
CUS0000343,343,DLX,Non-Smoking,None,2025-12-22
CUS0000344,344,SUP,Non-Smoking,None,2025-11-01
CUS0000345,345,SUT,Non-Smoking,Late Check-In,2024-08-20
CUS0000346,346,SUT,Non-Smoking,None,2025-12-07
CUS0000347,347,DLX,Non-Smoking,Near Elevator,2024-08-29
CUS0000348,348,SUP,Smoking,Baby Cot,2026-02-23
CUS0000349,349,DLX,Non-Smoking,Near Elevator,2024-09-07
CUS0000350,350,STD,Non-Smoking,Near Elevator,2024-09-17
CUS0000351,351,STD,Non-Smoking,Near Elevator,2025-07-21
CUS0000352,352,STD,Non-Smoking,Near Elevator,2024-07-30
CUS0000353,353,SUP,Non-Smoking,None,2024-06-18
CUS0000354,354,SUP,Non-Smoking,None,2026-01-03
CUS0000355,355,SUT,Non-Smoking,High Floor,2025-06-26
CUS0000356,356,STD,Non-Smoking,Late Check-In,2025-10-08
CUS0000357,357,STD,Non-Smoking,High Floor,2025-03-14
CUS0000358,358,STD,Non-Smoking,High Floor,2024-09-30
CUS0000359,359,SUP,Non-Smoking,Baby Cot,2025-02-22
CUS0000360,360,DLX,Non-Smoking,Near Elevator,2026-03-31
CUS0000361,361,STD,Non-Smoking,Baby Cot,2026-01-21
CUS0000362,362,SUP,Smoking,High Floor,2025-12-01
CUS0000363,363,SUT,Non-Smoking,None,2024-11-19
CUS0000364,364,STD,Non-Smoking,Late Check-In,2025-09-13
CUS0000365,365,SUT,Non-Smoking,Baby Cot,2025-09-08
CUS0000366,366,DLX,Non-Smoking,Baby Cot,2026-01-04
CUS0000367,367,STD,Non-Smoking,Late Check-In,2025-09-10
CUS0000368,368,STD,Non-Smoking,Baby Cot,2024-09-26
CUS0000369,369,SUT,Non-Smoking,Near Elevator,2025-02-12
CUS0000370,370,DLX,Non-Smoking,Near Elevator,2026-01-14
CUS0000371,371,SUT,Non-Smoking,None,2024-07-04
CUS0000372,372,SUP,Non-Smoking,Baby Cot,2026-04-17
CUS0000373,373,SUT,Non-Smoking,Late Check-In,2025-02-13
CUS0000374,374,SUP,Non-Smoking,Near Elevator,2026-02-11
CUS0000375,375,SUT,Non-Smoking,Baby Cot,2025-09-21
CUS0000376,376,EXC,Smoking,High Floor,2025-04-27
CUS0000377,377,DLX,Non-Smoking,Late Check-In,2024-10-17
CUS0000378,378,DLX,Non-Smoking,Late Check-In,2025-01-17
CUS0000379,379,EXC,Smoking,Near Elevator,2024-10-10
CUS0000380,380,DLX,Non-Smoking,Late Check-In,2025-12-18
CUS0000381,381,SUT,Non-Smoking,Baby Cot,2024-08-18
CUS0000382,382,DLX,Non-Smoking,High Floor,2024-09-14
CUS0000383,383,STD,Non-Smoking,High Floor,2025-06-13
CUS0000384,384,EXC,Non-Smoking,Baby Cot,2025-10-05
CUS0000385,385,EXC,Non-Smoking,Near Elevator,2025-07-02
CUS0000386,386,SUP,Non-Smoking,Near Elevator,2025-12-12
CUS0000387,387,DLX,Non-Smoking,High Floor,2026-05-16
CUS0000388,388,EXC,Smoking,Late Check-In,2024-06-02
CUS0000389,389,DLX,Smoking,Baby Cot,2024-11-19
CUS0000390,390,SUP,Smoking,Near Elevator,2025-03-12
CUS0000391,391,EXC,Non-Smoking,Near Elevator,2026-05-06
CUS0000392,392,SUT,Non-Smoking,High Floor,2025-11-04
CUS0000393,393,STD,Non-Smoking,Near Elevator,2026-01-30
CUS0000394,394,EXC,Non-Smoking,Near Elevator,2024-08-07
CUS0000395,395,STD,Non-Smoking,High Floor,2026-01-21
CUS0000396,396,SUT,Non-Smoking,Near Elevator,2026-01-31
CUS0000397,397,SUT,Non-Smoking,High Floor,2024-11-22
CUS0000398,398,STD,Smoking,Baby Cot,2025-08-07
CUS0000399,399,DLX,Non-Smoking,Near Elevator,2025-05-03
CUS0000400,400,SUP,Non-Smoking,Late Check-In,2025-12-14
CUS0000401,401,DLX,Non-Smoking,Baby Cot,2026-01-29
CUS0000402,402,SUP,Non-Smoking,Near Elevator,2025-09-03
CUS0000403,403,DLX,Smoking,High Floor,2026-04-03
CUS0000404,404,SUT,Smoking,Baby Cot,2026-04-15
CUS0000405,405,SUT,Non-Smoking,High Floor,2024-07-25
CUS0000406,406,EXC,Non-Smoking,Baby Cot,2026-04-04
CUS0000407,407,STD,Non-Smoking,Baby Cot,2026-02-17
CUS0000408,408,STD,Non-Smoking,Baby Cot,2024-09-26
CUS0000409,409,STD,Non-Smoking,Near Elevator,2026-04-03
CUS0000410,410,EXC,Non-Smoking,Baby Cot,2026-04-15
CUS0000411,411,STD,Non-Smoking,Baby Cot,2026-03-06
CUS0000412,412,SUT,Non-Smoking,High Floor,2024-09-30
CUS0000413,413,EXC,Non-Smoking,Baby Cot,2026-01-15
CUS0000414,414,STD,Non-Smoking,Baby Cot,2025-05-03
CUS0000415,415,EXC,Non-Smoking,Late Check-In,2025-03-09
CUS0000416,416,SUT,Smoking,Late Check-In,2024-12-06
CUS0000417,417,SUT,Non-Smoking,Near Elevator,2025-01-22
CUS0000418,418,EXC,Non-Smoking,High Floor,2025-08-24
CUS0000419,419,SUP,Non-Smoking,High Floor,2024-06-28
CUS0000420,420,SUT,Non-Smoking,None,2025-08-20
CUS0000421,421,SUP,Non-Smoking,Baby Cot,2025-03-27
