payment_id,payment_reference,invoice_number,customer_key,transaction_date,transaction_time,payment_method_id,currency_code,payment_gateway,payment_status,gross_amount_usd,discount_amount_usd,tax_amount_usd,net_amount_usd,refund_amount_usd,gateway_fee_usd,installment_months,source_type,source_reference
PAY00000011,066c9789-262f-4b99-aa0c-34af2959a183,INV00000011,1324,2024-07-02,21:14:05,3,IDR,Midtrans,Completed,429.22,0.0,47.21,476.43,0.0,9.53,12,HOTEL,REF86996784
PAY00000012,1a61dbd0-e2a7-4a78-96d6-6e3a9927dcc3,INV00000012,4925,2025-05-25,13:36:59,7,MYR,PayPal,Completed,1452.05,145.21,143.75,1450.59,0.0,29.01,0,HOTEL,REF64844730
PAY00000013,09207961-121c-4e7a-bc8b-fa029782932e,INV00000013,4432,2024-06-07,12:17:41,5,SGD,Adyen,Pending,951.59,47.58,99.44,1003.45,488.19,20.07,0,FLIGHT,REF20118316
PAY00000014,aa04f310-f38b-4874-9bc5-cab12a544488,INV00000014,737,2025-03-18,20:52:00,2,THB,Xendit,Completed,1115.92,0.0,122.75,1238.67,0.0,24.77,0,FLIGHT,REF77863644
PAY00000015,160d4253-df3b-4ccf-a639-2948dd42f005,INV00000015,2325,2026-03-21,13:05:35,8,MYR,PayPal,Completed,1429.45,71.47,149.38,1507.36,0.0,30.15,0,HOTEL,REF55345786
PAY00000016,f81c2841-6681-42ee-88d4-2688811b6c22,INV00000016,706,2026-03-29,18:34:58,9,SGD,Stripe,Pending,1275.9,63.8,133.33,1345.43,0.0,26.91,0,HOTEL,REF68414122
PAY00000017,b22f4004-c813-4f1f-adf3-ccd35c0c2a3d,INV00000017,4297,2024-07-01,03:32:03,7,THB,PayPal,Completed,1478.28,147.83,146.35,1476.8,0.0,29.54,3,HOTEL,REF99899080
PAY00000018,9626349e-f612-4a4f-b877-4523db245136,INV00000018,845,2024-08-25,20:01:15,3,IDR,Stripe,Pending,1391.11,69.56,145.37,1466.92,0.0,29.34,0,FLIGHT,REF24250899
PAY00000019,e13698e6-162e-4092-a07d-0389f4823356,INV00000019,4805,2025-11-20,02:24:55,2,JPY,Xendit,Completed,815.18,81.52,80.7,814.36,0.0,16.29,0,FLIGHT,REF15790072
PAY00000020,fb309cba-c9cc-4e21-a799-adf87eda97b5,INV00000020,4776,2025-07-12,06:27:05,7,USD,Stripe,Completed,1033.01,103.3,102.27,1031.98,0.0,20.64,6,FLIGHT,REF16010620
PAY00000021,ceb0bc68-a304-4c4d-88f1-5826ebbe7c7e,INV00000021,1220,2024-12-13,11:53:55,8,MYR,PayPal,Pending,118.38,11.84,11.72,118.26,0.0,2.37,0,FLIGHT,REF94281108
PAY00000022,635c8148-bacb-40f3-bd85-afb8ffbbec16,INV00000022,315,2025-06-25,13:38:12,5,THB,Stripe,Completed,95.63,0.0,10.52,106.15,0.0,2.12,6,FLIGHT,REF12738955
PAY00000023,7c6b1c64-309c-4b1e-baca-1137780132b5,INV00000023,3180,2025-08-15,02:57:35,9,JPY,Midtrans,Completed,151.08,15.11,14.96,150.93,0.0,3.02,6,HOTEL,REF96836139
PAY00000024,4e84d753-a5b4-49a6-be7b-a90aa7f1f60a,INV00000024,1556,2025-10-05,22:35:48,8,THB,Adyen,Failed,520.75,0.0,57.28,578.03,0.0,11.56,12,FLIGHT,REF55638853
PAY00000025,39c95ff4-cbe2-4f4f-9ac9-556841145208,INV00000025,1735,2026-05-23,15:02:08,5,JPY,Stripe,Completed,632.77,0.0,69.6,702.37,0.0,14.05,0,HOTEL,REF52487447
PAY00000026,1811ed7b-f13f-4abd-b22c-af973d43e654,INV00000026,2083,2025-05-31,00:55:03,6,IDR,Xendit,Completed,1188.15,0.0,130.7,1318.85,0.0,26.38,0,HOTEL,REF14420496
PAY00000027,9de1f1fc-8663-4c27-8571-15626e9730ca,INV00000027,1961,2025-04-17,06:15:51,2,MYR,PayPal,Completed,474.03,23.7,49.54,499.87,0.0,10.0,0,FLIGHT,REF61785776
PAY00000028,63667b73-62cd-41e2-ab67-ddcbe4c45522,INV00000028,3433,2026-03-28,19:18:19,7,THB,PayPal,Completed,1369.03,136.9,135.53,1367.66,0.0,27.35,0,HOTEL,REF69409447
PAY00000029,ae3e8374-711a-47e9-9ee5-8dbf82de0143,INV00000029,2915,2025-08-07,20:06:02,8,MYR,Adyen,Pending,1216.93,121.69,120.48,1215.72,0.0,24.31,6,HOTEL,REF91655491
PAY00000030,1f87387d-256a-45da-9b34-26bd59a71c17,INV00000030,199,2025-05-05,13:19:31,5,SGD,Adyen,Completed,936.77,46.84,97.89,987.82,0.0,19.76,6,FLIGHT,REF22079455
PAY00000031,e840795e-e1ff-47db-97a9-72cbf2a178c3,INV00000031,2709,2025-10-21,05:39:24,6,JPY,Stripe,Completed,885.75,44.29,92.56,934.02,0.0,18.68,0,HOTEL,REF22560791
PAY00000032,3b4d849d-6e81-4b2c-a20f-b328827eb976,INV00000032,1178,2024-10-26,17:40:04,3,USD,Adyen,Completed,261.93,13.1,27.37,276.2,0.0,5.52,0,HOTEL,REF90719601
PAY00000033,5bc1216b-b9c3-476b-8edf-8f5807afd0ab,INV00000033,1418,2025-06-05,23:06:56,6,MYR,Midtrans,Completed,1170.46,0.0,128.75,1299.21,0.0,25.98,12,HOTEL,REF46813858
PAY00000034,dfa35913-e165-4155-9592-116b3b082f86,INV00000034,4803,2025-11-20,01:38:54,1,MYR,Midtrans,Completed,385.89,38.59,38.2,385.5,0.0,7.71,0,FLIGHT,REF92283454
PAY00000035,89009332-8b9f-4a40-bdf1-cca90d748d59,INV00000035,2937,2024-07-30,08:15:29,8,MYR,Stripe,Completed,93.54,9.35,9.26,93.45,0.0,1.87,0,HOTEL,REF35773187
PAY00000036,b9e2c3c5-6233-4cd6-bb72-5f1a72cdfe2e,INV00000036,259,2025-04-07,09:50:01,3,IDR,PayPal,Completed,801.55,80.16,79.35,800.74,0.0,16.01,0,FLIGHT,REF71521734
PAY00000037,f499f98c-81e7-4227-8aff-0c18ce694edf,INV00000037,709,2025-01-21,11:11:13,9,IDR,Stripe,Completed,1125.86,112.59,111.46,1124.73,0.0,22.49,3,FLIGHT,REF45755300
PAY00000038,8e94f7c5-f438-4cb4-b7bc-3c7906d8f504,INV00000038,3674,2024-12-04,11:03:46,7,JPY,Adyen,Completed,215.74,10.79,22.54,227.49,0.0,4.55,0,FLIGHT,REF90613639
PAY00000039,3f409836-c7e3-487f-b71c-6da57ca11d83,INV00000039,2326,2025-01-15,05:24:08,9,SGD,Stripe,Completed,977.06,0.0,107.48,1084.54,0.0,21.69,12,HOTEL,REF31579972
PAY00000040,f2facf50-7bd4-4856-a661-f885f2e6a08e,INV00000040,362,2025-04-06,22:03:46,1,THB,Xendit,Completed,382.13,0.0,42.03,424.16,0.0,8.48,0,HOTEL,REF20002057
PAY00000041,8232b967-77cc-428e-8f62-2a2a4134375f,INV00000041,3491,2024-08-02,10:34:04,4,THB,Adyen,Completed,1300.26,0.0,143.03,1443.29,0.0,28.87,0,FLIGHT,REF68197025
PAY00000042,2eee349a-dfec-4839-b631-5b577629b2c7,INV00000042,2733,2024-08-13,02:39:05,8,THB,PayPal,Completed,1391.03,0.0,153.01,1544.04,0.0,30.88,3,HOTEL,REF28441584
PAY00000043,44f9552f-4a40-44f3-a891-6b2903ec2b0b,INV00000043,294,2025-05-02,10:57:53,1,IDR,Midtrans,Refunded,269.99,0.0,29.7,299.69,0.0,5.99,3,HOTEL,REF64520872
PAY00000044,084a9610-abce-4fda-8e7a-dfa2b5c6f079,INV00000044,746,2026-01-30,07:45:05,5,MYR,PayPal,Completed,862.13,86.21,85.35,861.27,0.0,17.23,3,FLIGHT,REF06636214
PAY00000045,56f7425a-d58f-4a5f-9b60-cea9cfdecfda,INV00000045,3782,2026-05-07,18:25:58,3,USD,Xendit,Failed,246.6,12.33,25.77,260.04,0.0,5.2,0,FLIGHT,REF39738461
PAY00000046,069c15ea-c673-471e-aae7-3ca620c385b7,INV00000046,4274,2024-08-22,21:57:27,5,USD,Xendit,Completed,1455.53,72.78,152.1,1534.85,0.0,30.7,3,HOTEL,REF90246174
PAY00000047,ae93f427-3d74-4609-a102-3a319f4f2775,INV00000047,55,2026-02-25,16:03:46,9,JPY,Adyen,Pending,1100.12,0.0,121.01,1221.13,0.0,24.42,12,FLIGHT,REF27159836
PAY00000048,65be07ae-b5f4-41a1-a15f-f74b6614181f,INV00000048,3570,2024-06-12,07:34:42,7,IDR,Adyen,Completed,1201.61,0.0,132.18,1333.79,0.0,26.68,0,HOTEL,REF30936611
PAY00000049,dff4af01-861d-46b8-a749-b6fb8cb02305,INV00000049,4864,2025-08-22,06:51:39,8,IDR,PayPal,Completed,1382.72,0.0,152.1,1534.82,0.0,30.7,0,FLIGHT,REF59898224
PAY00000050,e5ee7ed7-234e-4ec5-b295-d6a773f9d3eb,INV00000050,225,2024-07-14,05:47:51,3,SGD,Adyen,Completed,219.75,21.98,21.75,219.52,0.0,4.39,0,FLIGHT,REF11064642
PAY00000051,bc4b0019-3b77-459f-8658-a1c1e9971bd0,INV00000051,1238,2026-04-23,05:05:28,8,USD,Stripe,Completed,1038.82,103.88,102.84,1037.78,0.0,20.76,12,HOTEL,REF06766450
PAY00000052,3b21d843-1ec0-4ddc-9552-d4fefe54a55c,INV00000052,3256,2025-01-18,08:27:14,1,IDR,Xendit,Completed,628.18,62.82,62.19,627.55,0.0,12.55,3,FLIGHT,REF89144176
PAY00000053,5131d85f-6e60-4808-9627-33b837c20a28,INV00000053,4292,2024-07-20,09:30:37,6,THB,PayPal,Completed,188.59,0.0,20.74,209.33,0.0,4.19,0,FLIGHT,REF46544044
PAY00000054,33e906fa-fa4c-436c-95eb-29d85bb70807,INV00000054,1130,2026-05-20,05:55:28,2,THB,Midtrans,Completed,1437.34,71.87,150.2,1515.67,0.0,30.31,0,HOTEL,REF07871560
PAY00000055,c2e6e97f-91f3-4c6c-be0a-38b2e34359a1,INV00000055,1903,2026-02-24,15:02:01,8,USD,Adyen,Pending,477.79,47.78,47.3,477.31,0.0,9.55,0,HOTEL,REF43829306
PAY00000056,08b293a4-7c4f-4ecd-b25b-4a48e07b85f8,INV00000056,332,2025-04-24,14:11:06,2,IDR,Stripe,Completed,1291.69,129.17,127.88,1290.4,0.0,25.81,0,HOTEL,REF65941008
PAY00000057,61f08260-3aa3-43f3-9f1a-55c9bb0792e4,INV00000057,3602,2025-06-23,03:16:24,7,IDR,Adyen,Completed,1239.4,0.0,136.33,1375.73,0.0,27.51,0,HOTEL,REF03657856
PAY00000058,846782b4-c07d-4043-97e8-b97ec27a8593,INV00000058,2377,2025-08-23,16:36:33,5,USD,Stripe,Completed,509.46,50.95,50.44,508.95,0.0,10.18,0,FLIGHT,REF69663090
PAY00000059,c6b16532-17d4-4325-9b92-07e6f1ebc280,INV00000059,159,2025-05-26,23:42:12,8,THB,Adyen,Completed,1406.12,140.61,139.21,1404.72,0.0,28.09,3,FLIGHT,REF35543782
PAY00000060,c6dc6da0-216c-48f0-b8ad-60425523af72,INV00000060,3092,2025-07-25,12:04:49,5,IDR,PayPal,Completed,1337.23,133.72,132.39,1335.9,0.0,26.72,0,HOTEL,REF59026266
PAY00000061,0a5143b6-2ffa-460e-a735-2d88cf2b0077,INV00000061,279,2026-01-28,13:16:17,7,JPY,Adyen,Completed,1321.48,66.07,138.1,1393.51,0.0,27.87,0,FLIGHT,REF81896239
PAY00000062,2121f140-2a84-4e43-9adb-36a08f21d38d,INV00000062,1877,2025-03-31,01:10:46,7,THB,Stripe,Pending,1499.85,149.98,148.49,1498.36,0.0,29.97,0,HOTEL,REF28053360
PAY00000063,d94ba3f0-eeb7-476e-8d50-1f7aa455c1d8,INV00000063,2804,2025-10-16,18:11:15,7,THB,PayPal,Completed,1038.54,103.85,102.82,1037.51,0.0,20.75,12,HOTEL,REF77877109
PAY00000064,460a8770-7a00-4fbf-a8fe-ff7c4feac6ea,INV00000064,4909,2024-06-05,10:26:19,1,USD,Midtrans,Completed,683.08,0.0,75.14,758.22,0.0,15.16,0,HOTEL,REF19271541
PAY00000065,026aaed0-ebe1-4a00-a1f6-8be6b7e32171,INV00000065,4488,2025-07-09,06:30:04,3,SGD,Xendit,Completed,445.99,22.3,46.61,470.3,0.0,9.41,6,FLIGHT,REF32117591
PAY00000066,f0e03e70-6b84-4ee3-8075-0caf419eb34d,INV00000066,3466,2025-06-14,03:50:33,7,MYR,Xendit,Completed,280.04,0.0,30.8,310.84,0.0,6.22,0,HOTEL,REF41771204
PAY00000067,51b90d04-06af-4885-81fd-827b1b0c028c,INV00000067,1738,2025-05-19,06:27:59,9,IDR,Xendit,Failed,245.83,24.58,24.34,245.59,0.0,4.91,12,FLIGHT,REF18739347
PAY00000068,1b9b5e13-5128-4bbc-aedb-cc818283d4c7,INV00000068,2853,2025-07-06,23:37:52,4,JPY,Xendit,Completed,785.9,78.59,77.8,785.11,0.0,15.7,12,HOTEL,REF82222878
PAY00000069,14a162a5-9138-4d18-b6fe-9245ac988c54,INV00000069,4025,2024-09-23,20:21:51,8,USD,Midtrans,Completed,1315.16,131.52,130.2,1313.84,0.0,26.28,0,FLIGHT,REF32594060
PAY00000070,f7dd96af-5e3e-4944-9e40-ba04620d20e9,INV00000070,4666,2024-10-09,17:35:50,3,MYR,Midtrans,Completed,135.26,13.53,13.39,135.12,0.0,2.7,12,HOTEL,REF99830563
PAY00000071,12c1995f-5477-428c-ba7a-eeb7cfeee85f,INV00000071,1866,2025-03-08,12:45:21,3,USD,Midtrans,Completed,1386.04,138.6,137.22,1384.66,0.0,27.69,0,HOTEL,REF00900285
PAY00000072,7cdd53ea-de78-41f8-8df4-08a20ae05422,INV00000072,2608,2024-09-26,14:30:37,5,JPY,Midtrans,Completed,658.99,32.95,68.86,694.9,0.0,13.9,3,HOTEL,REF42147147
PAY00000073,ce637e8d-8f5c-42d7-a663-dae1fd099ef1,INV00000073,1182,2024-09-16,01:51:28,1,SGD,Midtrans,Completed,1453.84,0.0,159.92,1613.76,0.0,32.28,3,FLIGHT,REF07681371
PAY00000074,2c7c434e-7609-4329-9ab3-7b16e8e5a554,INV00000074,4687,2026-04-09,18:25:13,4,SGD,Adyen,Completed,837.84,0.0,92.16,930.0,0.0,18.6,6,FLIGHT,REF58452976
PAY00000075,70e61e41-8763-4f9a-bd87-7f037e4c29be,INV00000075,1406,2025-11-01,23:08:13,3,IDR,PayPal,Completed,1130.72,0.0,124.38,1255.1,0.0,25.1,6,FLIGHT,REF88826694
PAY00000076,203e2190-a5b8-4dc1-b449-000ae7a45f09,INV00000076,1632,2025-08-13,20:02:14,3,SGD,PayPal,Completed,1442.58,72.13,150.75,1521.2,0.0,30.42,3,HOTEL,REF53472798
PAY00000077,bada275a-9923-4c5e-ab48-36eb5134a65a,INV00000077,840,2024-06-10,12:13:25,9,IDR,Midtrans,Failed,583.8,0.0,64.22,648.02,0.0,12.96,0,HOTEL,REF48639369
PAY00000078,166ed2e7-9e36-495f-8623-91cca2cdabb4,INV00000078,457,2025-05-29,11:53:49,1,THB,Midtrans,Completed,156.24,7.81,16.33,164.76,0.0,3.3,0,FLIGHT,REF02205376
PAY00000079,9ea94bb5-2a0d-4e3d-94b5-e319634c9b8b,INV00000079,1325,2025-03-03,11:44:39,7,JPY,Stripe,Failed,129.03,6.45,13.48,136.06,0.0,2.72,0,FLIGHT,REF27760950
PAY00000080,cc66fe3b-ed28-4cce-a08e-bc63946b68e0,INV00000080,546,2025-09-23,09:03:19,5,MYR,PayPal,Completed,429.58,21.48,44.89,452.99,0.0,9.06,3,HOTEL,REF84485376
PAY00000081,3371e9ae-0e31-4d21-9174-9f3ad5b8b7e6,INV00000081,811,2026-02-08,20:16:01,4,MYR,Midtrans,Pending,795.11,79.51,78.72,794.32,0.0,15.89,3,HOTEL,REF31860320
PAY00000082,293adf44-7491-4138-87d9-c383feb81f31,INV00000082,1089,2024-07-24,11:13:39,8,MYR,Adyen,Refunded,833.12,41.66,87.06,878.52,0.0,17.57,12,FLIGHT,REF81602945
PAY00000083,5a9f2d4c-f641-4efc-9346-c6ef1f573816,INV00000083,2515,2026-03-04,11:35:41,3,THB,Adyen,Completed,683.34,68.33,67.65,682.66,0.0,13.65,3,FLIGHT,REF82955069
PAY00000084,1240002a-7da4-4f02-809b-1a6eafc8865f,INV00000084,2599,2024-12-14,18:59:43,1,USD,Stripe,Completed,754.83,75.48,74.73,754.08,0.0,15.08,0,HOTEL,REF14848815
PAY00000085,3c7cf07c-eed5-4256-9a68-c9acf695e4cc,INV00000085,718,2024-06-04,23:19:09,8,IDR,Midtrans,Completed,866.27,86.63,85.76,865.4,0.0,17.31,0,HOTEL,REF13076884
PAY00000086,18b14485-6364-491c-b58c-c40072823455,INV00000086,3480,2024-12-29,19:28:45,7,SGD,Xendit,Completed,383.96,19.2,40.12,404.88,0.0,8.1,0,HOTEL,REF59342431
PAY00000087,6cb1e2e9-9fb9-4a3c-a5d2-2be1226d9bf4,INV00000087,45,2024-08-20,18:07:39,6,USD,PayPal,Completed,979.34,48.97,102.34,1032.71,0.0,20.65,3,HOTEL,REF56738628
PAY00000088,9a1ad8ea-4bc7-4d88-9440-aa16a73af0e9,INV00000088,2940,2025-01-23,18:12:24,4,MYR,Adyen,Completed,1167.12,116.71,115.55,1165.96,0.0,23.32,3,FLIGHT,REF95904002
PAY00000089,3c34eea7-33a1-4b69-b4f4-a09e9172e536,INV00000089,3507,2025-12-07,00:15:06,1,IDR,Xendit,Completed,1051.11,105.11,104.06,1050.06,0.0,21.0,0,FLIGHT,REF12104565
PAY00000090,9a7a5775-e1ac-482f-b9a1-02c8427ae153,INV00000090,3421,2024-06-14,10:13:13,1,IDR,PayPal,Failed,654.64,0.0,72.01,726.65,0.0,14.53,0,HOTEL,REF31653823
PAY00000091,3dbbd548-2cd1-4cb8-9aed-51f404d577bc,INV00000091,4283,2024-09-02,20:38:19,3,THB,Stripe,Failed,1444.82,72.24,150.98,1523.56,0.0,30.47,0,HOTEL,REF04263845
PAY00000092,ca70d921-1d04-4133-ac0c-4d9ea5dcafe1,INV00000092,585,2025-10-24,18:14:04,5,MYR,Midtrans,Pending,908.73,45.44,94.96,958.25,0.0,19.16,0,HOTEL,REF49114704
PAY00000093,674b0c71-5fbb-48ae-91f5-0da631d6616f,INV00000093,870,2026-03-04,11:52:35,6,USD,Xendit,Completed,850.84,85.08,84.23,849.99,0.0,17.0,0,HOTEL,REF66080890
PAY00000094,06121906-dd0d-4ba1-bd07-7e2dbecb859b,INV00000094,4405,2025-05-20,10:18:10,5,MYR,Adyen,Completed,666.96,66.7,66.03,666.29,0.0,13.33,3,HOTEL,REF00127802
PAY00000095,07a2ce86-7a7a-4d8e-b556-6cb6ede3ae76,INV00000095,2356,2024-10-02,23:14:08,3,SGD,Xendit,Completed,899.92,0.0,98.99,998.91,0.0,19.98,6,HOTEL,REF43467790
PAY00000096,dce66882-17d3-49cf-9fda-1f8cd249596f,INV00000096,3241,2025-08-13,13:04:22,8,IDR,PayPal,Completed,215.8,10.79,22.55,227.56,0.0,4.55,6,HOTEL,REF15518929
PAY00000097,166133d6-05a8-443c-b352-c847a66e47b4,INV00000097,2724,2024-11-07,02:09:16,1,JPY,Stripe,Completed,922.86,0.0,101.51,1024.37,582.01,20.49,0,FLIGHT,REF02784475
PAY00000098,db450d5b-d45c-4c3b-8d03-acc2d4277e93,INV00000098,1325,2025-09-03,13:47:49,2,JPY,Midtrans,Completed,1099.25,0.0,120.92,1220.17,0.0,24.4,3,HOTEL,REF91012183
PAY00000099,e4355e60-a8de-46bf-bfb6-008f6733f06f,INV00000099,223,2025-11-21,00:28:02,3,IDR,Midtrans,Completed,426.55,42.66,42.23,426.12,0.0,8.52,12,FLIGHT,REF45876649
PAY00000100,025adeb6-f60d-4b77-bd8a-5418674e2f2e,INV00000100,4958,2026-04-28,11:31:47,3,IDR,Xendit,Completed,1060.39,0.0,116.64,1177.03,0.0,23.54,12,HOTEL,REF70193645
PAY00000101,16527fe5-f6fa-4c6e-90fc-fed99dc41c80,INV00000101,1580,2025-03-08,10:39:12,9,SGD,Stripe,Completed,1200.25,120.03,118.82,1199.04,0.0,23.98,12,HOTEL,REF59456279
PAY00000102,23cac423-9c12-48e5-9a3d-97eb1b1bf424,INV00000102,582,2025-05-05,01:41:10,2,SGD,Adyen,Refunded,472.72,47.27,46.8,472.25,0.0,9.45,0,FLIGHT,REF96590694
PAY00000103,8ed8d0bf-81e0-4640-8838-18740833c271,INV00000103,2274,2025-03-31,01:55:03,7,JPY,Adyen,Completed,1239.21,61.96,129.5,1306.75,0.0,26.14,12,FLIGHT,REF00414454
PAY00000104,5fbd474d-482a-4edd-9857-8298d6f79995,INV00000104,3817,2024-10-06,10:31:11,1,USD,Midtrans,Completed,1130.67,0.0,124.37,1255.04,0.0,25.1,12,FLIGHT,REF18811520
PAY00000105,5ecb5ce5-e06f-49b2-b725-4e305ee08a90,INV00000105,3920,2024-12-06,06:25:34,1,IDR,Midtrans,Completed,278.62,0.0,30.65,309.27,0.0,6.19,3,HOTEL,REF68128456
PAY00000106,542f308a-9f84-4e13-99f9-4ae7a7b1da41,INV00000106,270,2026-04-03,20:40:01,2,USD,PayPal,Completed,685.95,68.6,67.91,685.26,0.0,13.71,12,HOTEL,REF87102981
PAY00000107,44cd72dd-af6d-4f2f-97e8-1253d3eb76a4,INV00000107,1063,2025-02-27,00:14:10,1,USD,Xendit,Completed,987.43,98.74,97.76,986.45,0.0,19.73,6,HOTEL,REF40732199
PAY00000108,ea44167c-2062-4a2d-b261-cf5a7264d10c,INV00000108,417,2025-11-03,03:43:49,2,USD,Midtrans,Completed,445.73,22.29,46.58,470.02,0.0,9.4,6,FLIGHT,REF71885142
PAY00000109,95fc4f90-cebc-4518-ba9a-1657a7a21136,INV00000109,2217,2025-06-15,21:14:35,5,SGD,PayPal,Completed,634.55,63.45,62.82,633.92,0.0,12.68,6,HOTEL,REF80958947
PAY00000110,b0f42c74-27ca-4049-8e21-2a2c6b630a60,INV00000110,2274,2026-01-10,04:46:08,8,USD,Midtrans,Completed,1123.57,0.0,123.59,1247.16,0.0,24.94,0,FLIGHT,REF42362123
PAY00000111,34daf588-385f-47a0-83cd-792a69292eb0,INV00000111,4780,2024-10-10,14:10:57,5,SGD,Adyen,Refunded,588.6,29.43,61.51,620.68,0.0,12.41,6,FLIGHT,REF56558754
PAY00000112,4794a5e5-42a2-42f0-ab2e-487280627d07,INV00000112,3652,2025-03-17,13:28:51,7,SGD,PayPal,Completed,561.13,0.0,61.72,622.85,0.0,12.46,0,FLIGHT,REF63388054
PAY00000113,ee1fced8-42c1-42cd-b4de-c8e7e0940c7a,INV00000113,3116,2025-06-27,14:48:36,1,USD,Stripe,Completed,785.62,39.28,82.1,828.44,0.0,16.57,0,HOTEL,REF20022574
PAY00000114,1b1ea240-0734-4b86-a2b2-08cb3407740a,INV00000114,3064,2025-06-07,09:08:26,3,USD,Midtrans,Completed,1267.59,63.38,132.46,1336.67,0.0,26.73,12,HOTEL,REF60696483
PAY00000115,d219a5ed-004b-4234-bfd9-ddf8fc6c5e40,INV00000115,3034,2026-05-04,12:54:53,5,IDR,Adyen,Completed,287.56,14.38,30.05,303.23,0.0,6.06,6,HOTEL,REF32136518
PAY00000116,81c7d1db-2dc6-4f15-96c0-e700405b2097,INV00000116,4928,2025-09-24,17:55:55,6,JPY,PayPal,Completed,570.89,57.09,56.52,570.32,0.0,11.41,0,FLIGHT,REF66929281
PAY00000117,61ad0287-9bda-4930-abd4-bac5633247d1,INV00000117,4862,2025-12-13,05:20:12,5,SGD,Stripe,Completed,868.1,0.0,95.49,963.59,0.0,19.27,3,FLIGHT,REF51461915
PAY00000118,1de4aa7f-17bc-4fa6-99c5-9d3003071b03,INV00000118,4863,2024-10-02,08:40:01,8,JPY,Xendit,Pending,294.94,0.0,32.44,327.38,0.0,6.55,12,HOTEL,REF37652880
PAY00000119,41bb2ab3-16fe-4b16-9518-6a2a0bb12a93,INV00000119,2650,2025-02-25,18:13:35,2,SGD,Xendit,Completed,176.89,17.69,17.51,176.71,0.0,3.53,3,FLIGHT,REF47038426
PAY00000120,c0c3219b-d0bf-48f9-b8b5-3228284004ab,INV00000120,95,2025-01-20,08:51:03,6,THB,PayPal,Completed,836.13,83.61,82.78,835.3,0.0,16.71,0,FLIGHT,REF43263517
PAY00000121,d3f71c49-1ee4-4a1b-a1cc-309f0d3b984f,INV00000121,2270,2026-04-18,09:32:58,3,IDR,Adyen,Completed,1052.28,52.61,109.96,1109.63,0.0,22.19,0,FLIGHT,REF33092755
PAY00000122,e1aee5cf-14f3-4993-9d8c-38169736de10,INV00000122,1692,2024-08-15,22:10:38,3,USD,Stripe,Completed,645.64,0.0,71.02,716.66,0.0,14.33,12,HOTEL,REF59842306
PAY00000123,082fe582-4312-48d1-bbb9-8bfd112ef466,INV00000123,2652,2025-07-03,22:55:45,5,THB,Adyen,Completed,781.11,39.06,81.63,823.68,0.0,16.47,3,FLIGHT,REF23746428
PAY00000124,a6a71afb-bf5b-4c1a-9c26-5e74771e77c3,INV00000124,2006,2025-07-04,04:55:14,9,THB,Midtrans,Completed,1023.58,102.36,101.33,1022.55,0.0,20.45,0,HOTEL,REF41527495
