guest_id,customer_key,loyalty_tier,preferred_room_type,special_requests,created_at,updated_at
CUS0000024,27,SILVER,SUT,Near elevator,2023-02-11 06:13:22,2023-02-11 06:13:22
CUS0000025,28,BLUE,EXE,,2023-02-26 04:22:32,2025-08-15 01:02:56
CUS0000026,29,BLUE,EXE,Near elevator,2021-08-27 00:49:35,2023-10-26 10:30:25
CUS0000027,31,SILVER,EXE,,2022-11-17 12:38:00,2025-05-04 00:52:17
CUS0000028,32,SILVER,DLX,,2022-04-23 23:13:12,2025-07-13 10:55:38
CUS0000029,33,BLUE,EXE,King bed,2023-01-30 08:30:49,2023-11-01 03:10:33
CUS0000030,34,BLUE,SUT,Near elevator,2023-02-22 09:24:13,2025-02-08 05:51:26
CUS0000031,35,SILVER,EXE,King bed,2021-10-30 12:51:47,2021-10-30 12:51:47
CUS0000032,36,BLUE,SUT,King bed,2023-05-10 22:51:46,2023-09-06 17:20:03
CUS0000033,37,BLUE,SUP,,2023-04-23 12:04:29,2026-02-26 00:12:54
CUS0000034,38,BLUE,STD,Near elevator,2021-12-29 16:54:22,2023-08-03 16:02:36
CUS0000035,39,SILVER,SUP,,2022-04-15 11:17:56,2022-04-15 11:17:56
CUS0000036,40,SILVER,EXE,High floor,2022-07-20 04:47:06,2024-07-23 14:02:35
CUS0000037,41,BLUE,SUP,Near elevator,2023-03-14 00:08:57,2023-03-14 00:08:57
CUS0000038,42,SILVER,EXE,King bed,2022-03-22 17:54:09,2024-08-28 19:37:20
CUS0000039,44,BLUE,SUP,,2024-08-12 15:01:33,2025-11-30 02:19:55
CUS0000040,45,BLUE,SUP,Near elevator,2021-06-19 06:59:12,2022-01-26 23:47:32
CUS0000041,46,BLUE,EXE,,2022-02-21 01:19:24,2024-09-07 08:33:42
CUS0000042,47,SILVER,SUT,,2021-10-09 15:22:35,2025-07-10 00:05:50
CUS0000043,48,BLUE,SUT,,2023-04-14 06:46:29,2023-12-30 12:47:32
CUS0000044,50,BLUE,SUT,High floor,2022-11-24 05:11:20,2024-06-10 04:24:23
CUS0000045,51,BLUE,EXE,,2022-03-08 19:39:51,2023-09-14 03:28:27
CUS0000046,52,BLUE,DLX,,2022-02-01 10:22:04,2023-07-20 08:56:36
CUS0000047,53,BLUE,EXE,Near elevator,2022-01-14 07:38:01,2024-07-12 00:17:44
CUS0000048,54,BLUE,SUT,,2023-04-04 05:56:21,2023-09-17 10:53:00
CUS0000049,55,SILVER,STD,King bed,2022-09-29 21:08:39,2022-12-10 21:39:20
CUS0000050,57,BLUE,EXE,,2023-02-01 16:22:57,2023-03-13 21:25:05
CUS0000051,59,BLUE,EXE,Non-smoking,2022-10-23 05:57:31,2023-07-05 09:37:25
CUS0000052,60,GOLD,DLX,Near elevator,2022-05-30 15:35:23,2022-05-30 15:35:23
CUS0000053,61,BLUE,STD,Near elevator,2021-06-16 01:53:02,2024-10-08 04:53:05
CUS0000054,62,BLUE,SUT,,2021-10-16 02:47:10,2023-08-15 14:41:28
CUS0000055,63,BLUE,STD,King bed,2022-01-09 15:34:39,2025-05-02 21:37:04
CUS0000056,64,SILVER,EXE,,2022-04-18 05:16:30,2022-04-18 05:16:30
CUS0000057,65,BLUE,DLX,High floor,2021-06-20 20:13:16,2023-03-19 10:03:06
CUS0000058,67,GOLD,EXE,Non-smoking,2023-06-30 14:16:12,2023-06-30 14:16:12
CUS0000059,68,SILVER,STD,,2022-08-24 05:43:38,2025-07-15 09:19:33
CUS0000060,70,BLUE,STD,King bed,2024-04-29 19:41:13,2025-08-22 07:57:31
CUS0000061,72,BLUE,EXE,Non-smoking,2024-10-11 15:10:11,2024-10-11 15:10:11
CUS0000062,73,BLUE,STD,,2022-02-05 15:15:36,2023-01-24 00:13:57
CUS0000063,74,SILVER,STD,Near elevator,2022-09-20 04:34:13,2026-03-31 02:02:13
CUS0000064,75,SILVER,STD,,2022-05-07 01:50:24,2024-05-29 09:18:17
CUS0000065,76,SILVER,DLX,Near elevator,2022-03-05 01:52:13,2024-07-02 14:11:46
CUS0000066,77,SILVER,STD,High floor,2023-02-11 10:09:16,2024-03-27 05:47:49
CUS0000067,78,BLUE,STD,High floor,2023-05-05 00:30:07,2023-05-05 00:30:07
CUS0000068,79,SILVER,SUT,Near elevator,2023-02-13 03:59:38,2024-06-30 04:23:55
CUS0000069,80,SILVER,STD,Near elevator,2022-03-10 03:24:02,2024-01-13 15:52:07
CUS0000070,81,GOLD,STD,,2022-10-18 20:42:20,2023-08-29 05:55:23
CUS0000071,82,BLUE,SUP,,2023-04-15 03:12:30,2025-11-16 12:16:09
CUS0000072,83,GOLD,SUT,High floor,2021-06-25 09:56:05,2024-04-17 15:56:37
CUS0000073,84,SILVER,SUT,Near elevator,2023-03-21 18:58:08,2025-12-27 07:13:40
CUS0000074,85,BLUE,STD,Near elevator,2021-11-03 01:46:10,2024-02-10 09:28:18
CUS0000075,86,GOLD,DLX,Near elevator,2022-10-27 01:44:24,2025-03-16 02:14:01
CUS0000076,87,GOLD,SUP,,2022-12-30 20:05:54,2026-02-16 13:09:18
CUS0000077,88,GOLD,EXE,High floor,2022-10-14 18:24:39,2025-02-17 15:37:14
CUS0000078,89,BLUE,STD,,2021-12-29 20:30:20,2025-01-26 19:24:47
CUS0000079,90,BLUE,SUT,,2022-12-08 21:06:45,2024-06-26 15:18:57
CUS0000080,91,GOLD,SUP,,2022-11-14 10:52:41,2025-12-13 06:49:24
CUS0000081,92,BLUE,EXE,,2022-04-11 13:55:19,2022-04-21 13:44:24
CUS0000082,93,BLUE,SUP,King bed,2022-10-20 10:28:02,2025-08-07 13:37:37
CUS0000083,94,PLATINUM,DLX,Near elevator,2022-11-01 12:45:30,2022-11-01 12:45:30
CUS0000084,95,SILVER,EXE,,2022-08-11 22:09:10,2023-01-10 13:18:12
CUS0000085,96,SILVER,EXE,,2022-12-14 05:59:11,2024-04-14 01:28:10
CUS0000086,97,BLUE,EXE,Near elevator,2022-05-05 15:04:51,2022-08-27 07:06:27
CUS0000087,98,BLUE,STD,King bed,2022-09-05 10:51:36,2023-05-12 19:42:20
CUS0000088,99,BLUE,DLX,High floor,2022-03-17 15:17:57,2024-05-10 00:47:13
CUS0000089,100,BLUE,SUT,,2022-04-29 17:47:55,2022-04-29 17:47:55
CUS0000090,101,GOLD,DLX,,2023-03-18 20:57:38,2026-01-14 22:43:25
CUS0000091,102,BLUE,EXE,Non-smoking,2022-07-15 20:13:00,2022-07-15 20:13:00
CUS0000092,103,BLUE,STD,,2021-10-10 11:44:11,2021-10-10 11:44:11
CUS0000093,104,BLUE,DLX,,2022-05-05 07:27:42,2022-05-05 07:27:42
CUS0000094,105,BLUE,DLX,King bed,2021-07-31 19:16:03,2022-05-04 13:51:30
CUS0000095,106,GOLD,EXE,,2021-09-21 00:24:59,2021-09-21 00:24:59
CUS0000096,107,BLUE,SUT,King bed,2022-09-17 20:35:16,2023-01-01 06:11:45
CUS0000097,108,BLUE,SUT,,2022-01-01 07:34:09,2022-01-01 07:34:09
CUS0000098,109,BLUE,EXE,,2022-11-28 01:20:04,2022-11-28 01:20:04
CUS0000099,110,BLUE,SUT,,2021-11-15 08:35:49,2021-11-15 08:35:49
CUS0000100,112,SILVER,SUT,,2023-02-06 05:43:05,2026-04-24 06:22:26
CUS0000101,113,SILVER,STD,Non-smoking,2022-05-21 17:37:05,2024-06-10 15:23:31
CUS0000102,114,BLUE,DLX,King bed,2022-11-30 07:46:06,2023-05-17 04:28:28
CUS0000103,115,BLUE,DLX,High floor,2021-07-07 01:09:37,2021-12-19 15:47:43
CUS0000104,116,SILVER,EXE,Non-smoking,2023-05-13 09:52:48,2023-10-13 23:11:23
CUS0000105,117,SILVER,SUT,King bed,2022-07-11 11:08:09,2024-04-29 12:17:43
CUS0000106,118,BLUE,SUT,Non-smoking,2021-06-10 16:21:03,2023-07-06 06:52:53
CUS0000107,119,SILVER,EXE,,2022-07-11 06:16:20,2022-07-11 06:16:20
CUS0000108,120,BLUE,SUT,Non-smoking,2022-03-02 00:24:02,2023-05-24 01:47:26
CUS0000109,121,PLATINUM,SUT,,2022-11-20 16:02:10,2025-02-18 05:15:56
CUS0000110,123,BLUE,DLX,,2022-11-26 22:03:07,2025-01-02 14:47:02
CUS0000111,124,BLUE,EXE,King bed,2022-04-26 07:27:21,2024-02-24 11:09:43
CUS0000112,125,BLUE,SUT,King bed,2022-05-15 18:12:29,2022-05-15 18:12:29
CUS0000113,126,BLUE,SUP,Non-smoking,2023-03-16 15:03:39,2023-07-05 06:25:10
CUS0000114,127,SILVER,STD,,2022-03-15 00:26:47,2022-06-29 11:51:47
CUS0000115,128,BLUE,STD,Near elevator,2023-05-09 08:30:44,2024-11-11 20:42:25
CUS0000116,129,BLUE,EXE,King bed,2021-10-14 05:52:51,2024-02-03 00:33:14
CUS0000117,130,SILVER,SUP,,2022-06-28 12:00:17,2022-06-28 12:00:17
CUS0000118,132,GOLD,SUT,King bed,2024-06-22 07:49:14,2024-10-13 23:47:00
CUS0000119,133,BLUE,STD,,2022-01-17 13:44:06,2024-02-12 08:57:28
CUS0000120,134,BLUE,DLX,,2022-07-20 09:37:57,2022-08-26 08:12:53
CUS0000121,136,BLUE,STD,,2023-09-22 12:36:31,2023-09-22 12:36:31
CUS0000122,137,BLUE,SUP,King bed,2022-02-16 02:01:51,2022-12-15 00:43:52
CUS0000123,138,BLUE,SUP,King bed,2021-09-02 02:05:16,2025-05-05 17:23:30
CUS0000124,139,BLUE,STD,Near elevator,2022-06-23 22:19:45,2022-06-23 22:19:45
CUS0000125,140,BLUE,SUT,Non-smoking,2022-01-04 23:44:55,2022-01-04 23:44:55
CUS0000126,141,SILVER,DLX,King bed,2022-03-09 19:16:04,2025-08-07 15:15:35
CUS0000127,142,BLUE,SUT,,2021-08-30 04:35:24,2025-07-25 22:43:03
CUS0000128,143,BLUE,STD,,2021-07-02 07:00:16,2024-07-11 14:22:02
CUS0000129,144,BLUE,DLX,,2022-09-23 03:33:59,2024-12-07 15:30:47
CUS0000130,145,BLUE,EXE,Near elevator,2022-04-15 18:44:11,2022-07-09 01:55:18
CUS0000131,146,GOLD,SUP,,2021-10-11 06:02:10,2021-10-11 06:02:10
CUS0000132,147,SILVER,DLX,,2021-09-25 06:06:40,2023-10-06 05:40:41
CUS0000133,148,GOLD,STD,,2022-01-31 14:58:15,2022-01-31 14:58:15
CUS0000134,149,SILVER,STD,King bed,2023-01-17 23:43:53,2026-02-07 14:30:52
CUS0000135,150,BLUE,STD,,2023-04-22 01:36:51,2025-09-26 10:26:33
CUS0000136,151,BLUE,DLX,,2021-10-30 00:45:54,2023-07-18 10:46:39
CUS0000137,152,BLUE,EXE,,2021-07-06 00:27:46,2026-05-25 17:20:41
CUS0000138,153,BLUE,EXE,,2022-01-08 14:48:49,2023-03-11 09:37:06
CUS0000139,154,BLUE,EXE,,2023-05-23 06:34:22,2024-08-04 02:01:48
CUS0000140,155,GOLD,STD,King bed,2022-05-30 16:00:24,2024-07-04 07:59:14
CUS0000141,156,BLUE,DLX,,2023-03-22 07:00:09,2023-03-22 07:00:09
CUS0000142,158,BLUE,SUP,,2023-09-24 18:21:59,2026-01-19 14:48:09
CUS0000143,159,SILVER,SUP,,2022-05-14 05:02:48,2023-04-21 05:49:10
CUS0000144,160,BLUE,EXE,,2023-05-14 05:38:07,2025-06-14 03:34:18
CUS0000145,161,BLUE,STD,King bed,2022-12-10 20:48:18,2022-12-10 20:48:18
CUS0000146,162,BLUE,STD,King bed,2022-10-31 02:14:12,2022-10-31 02:14:12
CUS0000147,163,BLUE,EXE,King bed,2023-05-27 19:21:30,2025-11-28 19:57:41
CUS0000148,164,BLUE,STD,,2022-11-11 00:43:48,2023-12-26 03:42:07
CUS0000149,165,SILVER,SUT,Non-smoking,2022-05-22 12:07:18,2026-04-24 12:44:19
CUS0000150,166,BLUE,STD,,2022-09-16 08:03:30,2023-04-14 23:06:02
CUS0000151,167,BLUE,STD,,2021-11-17 03:10:25,2024-08-10 20:11:40
CUS0000152,168,BLUE,STD,,2021-11-20 06:42:50,2021-11-20 06:42:50
CUS0000153,169,BLUE,EXE,High floor,2022-04-14 23:33:00,2022-04-14 23:33:00
CUS0000154,170,BLUE,SUP,Near elevator,2022-07-17 04:43:48,2023-12-03 20:39:31
CUS0000155,171,BLUE,EXE,,2022-09-08 10:53:06,2023-12-04 02:12:13
CUS0000156,172,BLUE,SUT,,2022-12-28 23:12:31,2024-04-26 22:09:52
CUS0000157,173,BLUE,EXE,,2022-10-11 05:50:35,2023-02-12 17:39:25
CUS0000158,174,BLUE,EXE,,2023-03-30 23:37:37,2023-06-03 15:57:17
CUS0000159,175,BLUE,STD,Non-smoking,2022-06-22 02:08:05,2025-07-10 22:57:59
CUS0000160,176,SILVER,SUP,King bed,2023-05-10 11:35:34,2025-11-24 09:40:30
CUS0000161,177,BLUE,DLX,Near elevator,2022-06-25 07:35:24,2023-05-01 05:39:36
CUS0000162,178,BLUE,EXE,,2022-12-07 11:20:18,2024-03-15 03:23:54
CUS0000163,179,BLUE,SUP,Non-smoking,2021-12-13 13:10:39,2023-07-01 01:45:05
CUS0000164,180,BLUE,SUT,Near elevator,2022-03-20 18:34:12,2022-03-20 18:34:12
CUS0000165,181,GOLD,DLX,,2021-11-11 07:57:03,2024-07-29 09:20:16
CUS0000166,182,BLUE,SUT,High floor,2021-09-15 02:15:28,2021-09-15 02:15:28
CUS0000167,183,BLUE,STD,,2023-02-05 18:39:29,2023-02-10 19:07:22
CUS0000168,184,BLUE,SUT,King bed,2023-01-19 08:06:56,2023-07-07 04:57:15
CUS0000169,185,BLUE,EXE,Near elevator,2023-01-22 06:40:50,2023-08-22 09:05:05
CUS0000170,186,SILVER,STD,,2022-01-24 15:23:10,2022-01-24 15:23:10
CUS0000171,187,BLUE,SUT,,2021-08-10 21:51:50,2025-07-30 06:11:05
CUS0000172,188,BLUE,STD,,2021-10-07 09:11:40,2021-10-07 09:11:40
CUS0000173,189,BLUE,STD,High floor,2023-01-28 11:00:34,2023-01-28 11:00:34
CUS0000174,190,SILVER,SUT,,2022-02-13 04:34:05,2022-02-13 04:34:05
CUS0000175,191,BLUE,SUP,,2022-04-01 08:21:46,2023-02-16 13:30:42
CUS0000176,192,BLUE,STD,,2022-09-03 01:31:20,2026-04-27 23:08:17
CUS0000177,193,BLUE,SUP,King bed,2021-12-13 00:03:48,2026-05-26 13:45:50
CUS0000178,194,BLUE,SUP,Near elevator,2023-02-03 06:51:45,2024-10-01 12:04:19
CUS0000179,195,BLUE,STD,Non-smoking,2023-02-10 17:42:31,2025-05-12 20:27:17
CUS0000180,196,BLUE,SUT,Non-smoking,2023-01-16 11:44:38,2025-08-17 11:42:30
CUS0000181,197,SILVER,SUT,,2022-05-15 06:57:37,2022-09-13 11:18:33
CUS0000182,198,BLUE,STD,High floor,2022-10-12 03:31:19,2022-11-10 22:05:34
CUS0000183,199,BLUE,SUT,,2023-02-04 02:28:59,2023-02-04 02:28:59
CUS0000184,200,BLUE,STD,,2022-11-27 11:03:42,2023-05-01 09:05:00
CUS0000185,201,BLUE,STD,King bed,2021-12-18 00:44:58,2024-07-29 13:15:52
CUS0000186,202,SILVER,EXE,Non-smoking,2023-02-19 13:42:54,2023-11-24 19:05:05
CUS0000187,203,BLUE,SUT,,2022-11-21 11:49:34,2024-05-19 15:09:26
CUS0000188,204,BLUE,DLX,Non-smoking,2021-09-18 13:12:38,2022-11-23 17:42:31
CUS0000189,205,BLUE,STD,,2022-04-16 20:36:56,2022-04-16 20:36:56
CUS0000190,206,BLUE,SUT,Near elevator,2022-12-28 11:52:31,2022-12-28 11:52:31
CUS0000191,208,SILVER,SUT,Non-smoking,2022-05-12 04:24:31,2024-01-09 09:51:47
CUS0000192,209,BLUE,DLX,,2022-02-25 23:30:37,2025-01-17 23:13:16
CUS0000193,210,GOLD,SUP,High floor,2023-04-05 19:34:29,2024-12-24 05:56:04
CUS0000194,211,BLUE,SUT,,2021-07-23 16:32:26,2026-03-05 22:33:22
CUS0000195,212,BLUE,DLX,King bed,2022-10-05 05:47:50,2022-10-05 05:47:50
CUS0000196,213,BLUE,EXE,,2022-08-21 17:50:54,2024-08-12 17:57:35
CUS0000197,214,BLUE,DLX,,2022-04-29 06:30:41,2025-11-28 14:36:37
CUS0000198,215,SILVER,DLX,Near elevator,2022-04-02 20:52:12,2024-02-08 20:22:26
CUS0000199,216,SILVER,DLX,,2022-11-11 09:42:04,2022-11-11 09:42:04
CUS0000200,217,BLUE,DLX,King bed,2022-01-27 02:37:50,2023-03-15 06:25:06
CUS0000201,218,SILVER,DLX,,2022-12-13 07:15:31,2023-04-20 02:55:28
CUS0000202,219,BLUE,DLX,Non-smoking,2022-02-01 22:37:34,2023-09-20 18:20:46
CUS0000203,220,BLUE,STD,Non-smoking,2022-06-30 13:11:16,2022-12-22 07:32:56
CUS0000204,221,SILVER,SUP,,2022-03-09 06:40:03,2024-11-08 14:30:30
CUS0000205,222,BLUE,SUT,High floor,2021-11-16 04:19:24,2024-06-01 01:44:27
CUS0000206,223,BLUE,EXE,,2021-07-29 22:52:35,2024-01-19 04:18:19
CUS0000207,225,BLUE,DLX,Near elevator,2022-07-18 02:05:46,2024-08-07 19:51:17
CUS0000208,226,BLUE,EXE,,2022-07-12 01:13:21,2022-07-12 01:13:21
CUS0000209,227,BLUE,DLX,High floor,2021-12-14 14:39:07,2021-12-14 14:39:07
CUS0000210,228,SILVER,DLX,High floor,2023-05-10 00:58:44,2025-04-15 11:52:13
CUS0000211,230,BLUE,EXE,,2022-06-24 05:19:47,2025-08-05 20:18:53
CUS0000212,231,SILVER,STD,,2022-12-21 18:14:48,2024-09-19 21:56:40
CUS0000213,232,SILVER,EXE,High floor,2021-08-15 02:51:54,2025-04-14 01:41:39
CUS0000214,233,BLUE,SUT,Near elevator,2022-08-25 19:52:10,2024-11-19 01:27:54
CUS0000215,234,BLUE,STD,High floor,2023-05-22 10:33:42,2025-09-01 07:37:56
CUS0000216,236,BLUE,EXE,,2023-04-11 04:13:44,2023-11-22 00:34:07
CUS0000217,237,SILVER,SUT,,2021-07-08 14:08:08,2022-04-10 16:15:06
CUS0000218,238,SILVER,STD,Non-smoking,2021-06-07 17:50:10,2021-06-07 17:50:10
CUS0000219,239,BLUE,STD,Non-smoking,2023-04-29 02:17:54,2025-05-04 20:47:59
CUS0000220,240,BLUE,EXE,King bed,2021-06-17 03:06:29,2021-10-24 22:28:26
CUS0000221,241,BLUE,STD,High floor,2022-06-22 07:36:14,2023-01-14 09:31:02
CUS0000222,242,BLUE,EXE,,2022-07-28 04:11:37,2026-04-22 10:49:22
CUS0000223,243,SILVER,DLX,,2023-02-16 18:33:44,2023-06-22 11:12:36
CUS0000224,244,BLUE,DLX,,2022-03-04 11:19:00,2023-10-02 09:47:06
CUS0000225,245,BLUE,DLX,High floor,2022-07-23 03:31:14,2025-04-19 12:51:13
CUS0000226,247,SILVER,SUP,,2023-07-03 10:25:20,2023-08-14 00:32:59
CUS0000227,248,BLUE,STD,,2021-10-14 14:28:07,2022-10-23 06:26:52
CUS0000228,249,BLUE,SUT,Non-smoking,2022-11-27 22:25:58,2024-06-01 21:38:00
CUS0000229,250,BLUE,SUT,,2022-02-09 07:26:37,2025-05-26 20:09:01
CUS0000230,251,SILVER,SUT,Near elevator,2023-02-03 22:55:50,2023-02-03 22:55:50
CUS0000231,252,BLUE,EXE,,2023-02-02 23:56:28,2023-10-01 12:22:04
CUS0000232,253,BLUE,STD,,2021-10-05 20:31:22,2025-05-30 02:13:03
CUS0000233,254,BLUE,STD,Non-smoking,2021-07-11 01:22:55,2025-12-26 07:04:02
CUS0000234,256,BLUE,STD,Non-smoking,2024-06-04 23:54:50,2024-07-09 13:07:11
CUS0000235,257,GOLD,DLX,King bed,2021-10-20 19:14:15,2022-09-27 03:28:33
CUS0000236,258,BLUE,SUT,Near elevator,2022-10-26 09:57:04,2025-07-07 00:49:12
CUS0000237,259,BLUE,SUP,,2022-06-02 18:55:04,2022-10-12 02:24:36
CUS0000238,261,BLUE,EXE,,2022-07-18 07:30:30,2024-01-05 03:55:37
CUS0000239,262,BLUE,DLX,Near elevator,2022-04-19 13:27:08,2022-04-19 13:27:08
CUS0000240,263,BLUE,SUT,Non-smoking,2022-08-13 13:30:35,2022-08-13 13:30:35
CUS0000241,264,SILVER,DLX,Non-smoking,2023-05-17 05:30:06,2023-07-04 02:47:57
CUS0000242,265,SILVER,DLX,Near elevator,2021-12-27 04:23:43,2021-12-27 04:23:43
CUS0000243,266,BLUE,SUP,King bed,2022-11-30 09:40:30,2025-10-07 11:07:44
CUS0000244,267,BLUE,STD,Non-smoking,2022-11-28 08:43:37,2023-11-11 14:29:34
CUS0000245,268,BLUE,SUT,,2022-08-31 15:12:23,2026-05-12 14:36:44
CUS0000246,269,BLUE,DLX,,2022-11-04 07:16:53,2026-04-29 01:28:23
CUS0000247,270,SILVER,SUT,High floor,2022-12-04 09:09:21,2022-12-04 09:09:21
CUS0000248,271,BLUE,DLX,,2021-08-14 05:37:18,2023-01-22 20:34:16
CUS0000249,272,BLUE,EXE,,2021-12-26 23:05:50,2021-12-26 23:05:50
CUS0000250,273,SILVER,SUP,,2022-12-07 01:28:11,2023-02-03 19:15:25
CUS0000251,274,BLUE,DLX,Near elevator,2022-10-08 23:11:07,2022-10-08 23:11:07
CUS0000252,275,BLUE,DLX,King bed,2023-01-10 12:12:28,2024-10-26 21:52:37
CUS0000253,276,BLUE,SUP,,2023-03-19 17:25:14,2024-11-08 19:33:13
CUS0000254,277,BLUE,SUP,,2021-07-09 09:22:10,2024-12-04 03:25:49
CUS0000255,278,GOLD,STD,,2021-05-31 12:51:04,2024-08-31 04:09:00
CUS0000256,280,BLUE,EXE,King bed,2023-03-25 00:41:30,2023-10-27 15:23:27
CUS0000257,281,GOLD,EXE,Non-smoking,2022-07-11 23:22:15,2022-11-14 17:01:06
CUS0000258,283,BLUE,SUT,,2024-06-17 02:42:43,2024-12-30 04:13:49
CUS0000259,284,SILVER,STD,King bed,2021-11-07 04:26:35,2023-11-14 00:52:50
CUS0000260,286,BLUE,EXE,,2022-05-03 04:05:04,2024-03-02 15:29:21
CUS0000261,287,BLUE,STD,King bed,2021-09-23 03:42:17,2023-10-24 10:46:43
CUS0000262,288,BLUE,SUT,,2023-03-24 09:48:39,2023-03-24 09:48:39
CUS0000263,289,BLUE,SUP,,2021-12-21 08:16:49,2026-03-23 16:19:52
CUS0000264,290,SILVER,EXE,,2021-09-11 11:30:36,2021-09-11 11:30:36
CUS0000265,291,BLUE,DLX,High floor,2023-01-25 11:51:00,2023-12-19 02:00:34
CUS0000266,292,BLUE,SUP,,2021-06-07 06:20:43,2025-04-20 23:15:36
CUS0000267,293,PLATINUM,STD,,2022-06-05 01:49:42,2023-01-19 20:03:27
CUS0000268,294,BLUE,STD,King bed,2023-01-02 12:41:49,2025-07-28 13:08:46
CUS0000269,295,BLUE,SUT,,2022-05-16 10:08:42,2026-05-10 22:55:40
CUS0000270,296,SILVER,EXE,High floor,2022-09-20 20:24:16,2024-02-24 06:27:08
CUS0000271,297,GOLD,STD,Near elevator,2022-06-01 14:08:02,2023-10-05 05:04:26
CUS0000272,298,BLUE,DLX,Near elevator,2023-04-22 09:13:15,2025-02-26 12:34:31
CUS0000273,299,BLUE,EXE,,2023-02-28 20:01:55,2025-06-29 22:09:25
CUS0000274,300,BLUE,SUT,King bed,2022-07-13 21:11:33,2024-02-23 07:43:49
CUS0000275,301,BLUE,SUT,High floor,2023-04-11 04:49:21,2023-08-10 19:53:42
CUS0000276,302,BLUE,SUT,,2022-11-23 05:47:42,2023-05-24 03:56:04
CUS0000277,303,BLUE,STD,King bed,2022-07-27 00:30:01,2022-07-27 00:30:01
CUS0000278,304,PLATINUM,EXE,Non-smoking,2022-07-06 05:25:03,2025-06-08 08:41:25
CUS0000279,305,BLUE,STD,King bed,2021-06-24 09:12:17,2023-04-10 16:31:58
CUS0000280,306,BLUE,SUT,King bed,2022-04-14 20:51:13,2026-02-07 14:10:58
CUS0000281,307,BLUE,DLX,,2022-12-24 23:22:31,2025-01-25 02:48:24
CUS0000282,308,BLUE,STD,High floor,2022-01-03 15:47:58,2023-06-07 08:14:04
CUS0000283,309,BLUE,STD,King bed,2023-01-19 06:22:16,2024-02-10 17:37:02
CUS0000284,310,BLUE,STD,,2023-02-02 23:14:48,2023-12-12 04:43:33
CUS0000285,311,GOLD,DLX,,2022-05-30 22:55:04,2022-05-30 22:55:04
CUS0000286,313,SILVER,EXE,,2024-12-08 04:54:21,2024-12-08 04:54:21
CUS0000287,314,BLUE,DLX,Non-smoking,2023-04-02 01:38:47,2025-12-04 16:33:17
CUS0000288,315,PLATINUM,SUP,,2021-10-12 14:35:03,2021-10-12 14:35:03
CUS0000289,316,BLUE,DLX,Near elevator,2022-10-31 16:34:19,2025-09-10 09:18:31
CUS0000290,317,BLUE,DLX,Non-smoking,2022-01-04 03:27:15,2023-09-08 16:28:25
CUS0000291,318,BLUE,DLX,,2022-01-13 13:10:58,2022-01-13 13:10:58
CUS0000292,319,BLUE,DLX,,2022-07-31 09:03:51,2024-06-28 06:40:17
CUS0000293,320,BLUE,DLX,King bed,2021-10-24 04:12:56,2021-10-24 04:12:56
CUS0000294,321,SILVER,SUT,,2022-06-12 16:27:12,2025-05-05 23:18:11
CUS0000295,322,BLUE,STD,Near elevator,2022-11-16 07:47:28,2024-06-17 06:21:57
CUS0000296,323,GOLD,EXE,King bed,2022-11-09 13:53:40,2022-11-09 13:53:40
