room_id,hotel_id,room_number,room_type_code,room_type_name,base_rate_usd,is_active,created_at,updated_at
RM-HTL0001-139,HTL0001,139,EXE,Executive Suite,400.06,1,2020-02-28 02:20:09,2020-02-28 02:20:09
RM-HTL0001-140,HTL0001,140,DLX,Deluxe Room,109.6,1,2020-02-24 11:12:18,2025-10-13 00:49:25
RM-HTL0001-141,HTL0001,141,EXE,Executive Suite,406.46,1,2020-03-02 23:47:14,2021-10-15 17:11:40
RM-HTL0001-142,HTL0001,142,SUT,Suite Room,246.77,1,2020-02-16 17:54:41,2020-02-16 17:54:41
RM-HTL0001-143,HTL0001,143,STD,Standard Room,94.91,1,2020-02-16 16:55:22,2023-06-23 01:34:21
RM-HTL0001-144,HTL0001,144,DLX,Deluxe Room,106.78,1,2020-02-19 01:05:23,2022-04-07 14:45:52
RM-HTL0001-145,HTL0001,145,STD,Standard Room,51.7,1,2020-02-20 09:25:17,2020-02-20 09:25:17
RM-HTL0001-146,HTL0001,146,DLX,Deluxe Room,107.61,1,2020-03-04 14:10:00,2024-01-28 15:30:58
RM-HTL0001-147,HTL0001,147,EXE,Executive Suite,399.17,1,2020-03-14 08:09:57,2020-03-14 08:09:57
RM-HTL0001-148,HTL0001,148,EXE,Executive Suite,407.07,1,2020-03-07 16:10:26,2022-01-06 18:51:53
RM-HTL0001-149,HTL0001,149,EXE,Executive Suite,407.12,1,2020-03-02 04:24:52,2020-05-08 09:11:19
RM-HTL0001-150,HTL0001,150,SUP,Superior Room,75.86,1,2020-02-16 08:48:03,2026-05-20 20:32:36
RM-HTL0001-151,HTL0001,151,EXE,Executive Suite,409.53,1,2020-03-15 22:57:53,2021-04-30 18:10:07
RM-HTL0001-152,HTL0001,152,DLX,Deluxe Room,108.51,1,2020-03-05 21:00:30,2020-03-05 21:00:30
RM-HTL0001-153,HTL0001,153,SUT,Suite Room,256.84,1,2020-03-02 00:40:46,2024-05-06 21:29:39
RM-HTL0001-154,HTL0001,154,SUT,Suite Room,260.57,1,2020-03-14 08:31:35,2020-03-14 08:31:35
RM-HTL0001-155,HTL0001,155,DLX,Deluxe Room,112.81,1,2020-03-14 13:28:44,2020-03-14 13:28:44
RM-HTL0001-156,HTL0001,156,EXE,Executive Suite,403.16,1,2020-03-06 09:35:32,2023-04-11 10:35:53
RM-HTL0001-157,HTL0001,157,SUP,Superior Room,80.96,1,2020-03-07 20:54:04,2020-06-25 09:46:11
RM-HTL0001-158,HTL0001,158,SUP,Superior Room,76.07,1,2020-03-01 09:33:57,2023-02-19 09:25:08
RM-HTL0001-159,HTL0001,159,STD,Standard Room,54.84,1,2020-02-25 17:21:16,2020-02-25 17:21:16
RM-HTL0001-160,HTL0001,160,STD,Standard Room,55.15,1,2020-02-23 20:15:21,2020-02-23 20:15:21
RM-HTL0001-161,HTL0001,161,SUT,Suite Room,264.3,1,2020-02-16 10:20:28,2021-07-28 03:44:24
RM-HTL0001-162,HTL0001,162,DLX,Deluxe Room,105.3,1,2020-03-02 14:40:59,2020-11-21 13:48:27
RM-HTL0001-163,HTL0001,163,STD,Standard Room,54.93,1,2020-03-05 17:40:48,2025-04-24 07:26:38
RM-HTL0001-164,HTL0001,164,SUP,Superior Room,89.71,1,2020-03-04 20:07:37,2020-03-04 20:07:37
RM-HTL0001-165,HTL0001,165,SUP,Superior Room,75.77,1,2020-03-14 07:12:57,2025-05-01 11:36:44
RM-HTL0001-166,HTL0001,166,STD,Standard Room,49.98,1,2020-03-05 15:57:38,2020-03-05 15:57:38
RM-HTL0001-167,HTL0001,167,DLX,Deluxe Room,116.48,1,2020-02-29 18:56:18,2023-05-08 13:40:10
RM-HTL0001-168,HTL0001,168,SUP,Superior Room,80.73,1,2020-02-15 23:19:26,2024-04-21 17:23:54
RM-HTL0001-169,HTL0001,169,SUT,Suite Room,250.08,1,2020-02-22 04:44:08,2020-02-22 04:44:08
RM-HTL0001-170,HTL0001,170,SUT,Suite Room,254.59,1,2020-03-08 19:44:04,2023-08-02 21:03:39
RM-HTL0001-171,HTL0001,171,STD,Standard Room,58.49,1,2020-02-21 07:04:34,2020-02-21 07:04:34
RM-HTL0001-172,HTL0001,172,STD,Standard Room,50.12,1,2020-03-12 23:45:49,2020-03-12 23:45:49
RM-HTL0001-173,HTL0001,173,SUT,Suite Room,245.12,1,2020-02-22 10:48:35,2022-01-01 22:05:46
RM-HTL0001-174,HTL0001,174,SUT,Suite Room,259.63,1,2020-03-11 08:16:31,2023-10-06 20:30:40
RM-HTL0001-175,HTL0001,175,EXE,Executive Suite,402.98,1,2020-03-04 13:43:40,2020-03-04 13:43:40
RM-HTL0001-176,HTL0001,176,SUP,Superior Room,72.35,1,2020-02-28 16:29:50,2020-02-28 16:29:50
RM-HTL0001-177,HTL0001,177,DLX,Deluxe Room,119.08,1,2020-03-02 14:56:42,2022-08-01 22:05:00
RM-HTL0001-178,HTL0001,178,SUP,Superior Room,74.89,1,2020-02-26 00:19:20,2020-02-26 00:19:20
RM-HTL0001-179,HTL0001,179,SUP,Superior Room,71.13,1,2020-02-19 01:59:15,2020-02-19 01:59:15
RM-HTL0001-180,HTL0001,180,SUT,Suite Room,245.14,1,2020-02-22 06:49:19,2025-10-24 13:52:06
RM-HTL0002-101,HTL0002,101,EXE,Executive Suite,403.69,1,2021-03-08 09:37:39,2024-10-17 09:03:17
RM-HTL0002-102,HTL0002,102,SUP,Superior Room,83.82,1,2021-02-27 01:39:57,2023-04-04 19:22:27
RM-HTL0002-103,HTL0002,103,SUT,Suite Room,258.73,1,2021-03-09 11:40:29,2021-03-09 11:40:29
RM-HTL0002-104,HTL0002,104,EXE,Executive Suite,396.96,1,2021-03-09 08:56:52,2025-07-21 22:28:02
RM-HTL0002-105,HTL0002,105,SUT,Suite Room,253.72,1,2021-03-06 22:46:30,2023-04-25 02:09:06
RM-HTL0002-106,HTL0002,106,STD,Standard Room,63.66,1,2021-02-27 14:08:41,2021-11-03 15:00:46
RM-HTL0002-107,HTL0002,107,EXE,Executive Suite,397.53,1,2021-03-22 14:09:32,2021-03-22 14:09:32
RM-HTL0002-108,HTL0002,108,SUP,Superior Room,76.92,1,2021-03-19 09:06:32,2021-04-29 18:58:40
RM-HTL0002-109,HTL0002,109,STD,Standard Room,63.79,1,2021-02-24 12:44:31,2021-02-24 12:44:31
RM-HTL0002-110,HTL0002,110,SUP,Superior Room,75.29,1,2021-02-23 03:48:03,2021-02-23 03:48:03
RM-HTL0002-111,HTL0002,111,DLX,Deluxe Room,105.35,1,2021-03-23 21:34:18,2022-11-11 18:15:39
RM-HTL0002-112,HTL0002,112,SUP,Superior Room,87.61,1,2021-02-24 20:26:52,2026-05-25 05:43:37
RM-HTL0002-113,HTL0002,113,SUT,Suite Room,252.38,1,2021-03-04 22:11:21,2025-11-13 22:45:53
RM-HTL0002-114,HTL0002,114,SUT,Suite Room,257.97,0,2021-03-04 16:15:24,2023-11-12 14:28:46
RM-HTL0002-115,HTL0002,115,STD,Standard Room,47.16,1,2021-03-14 22:38:09,2021-03-14 22:38:09
RM-HTL0002-116,HTL0002,116,SUT,Suite Room,263.53,0,2021-03-24 21:16:38,2026-05-06 18:30:31
RM-HTL0002-117,HTL0002,117,DLX,Deluxe Room,124.19,1,2021-03-13 23:08:25,2022-09-16 10:49:10
RM-HTL0002-118,HTL0002,118,DLX,Deluxe Room,111.17,1,2021-03-14 18:23:24,2024-12-05 05:41:44
RM-HTL0002-119,HTL0002,119,EXE,Executive Suite,396.63,1,2021-03-16 04:32:03,2025-08-17 10:00:24
RM-HTL0002-120,HTL0002,120,DLX,Deluxe Room,109.91,1,2021-03-05 00:07:48,2025-12-26 08:28:05
RM-HTL0002-121,HTL0002,121,EXE,Executive Suite,408.02,1,2021-03-12 19:06:20,2025-11-30 14:00:52
RM-HTL0002-122,HTL0002,122,DLX,Deluxe Room,108.58,1,2021-03-03 22:22:51,2025-08-13 00:44:27
RM-HTL0002-123,HTL0002,123,EXE,Executive Suite,396.24,1,2021-03-16 17:36:28,2021-03-16 17:36:28
RM-HTL0002-124,HTL0002,124,DLX,Deluxe Room,118.02,1,2021-02-24 16:17:54,2021-02-24 16:17:54
RM-HTL0002-125,HTL0002,125,SUP,Superior Room,75.07,1,2021-03-02 02:42:16,2021-03-02 02:42:16
RM-HTL0002-126,HTL0002,126,EXE,Executive Suite,407.74,1,2021-03-12 02:59:09,2021-03-12 02:59:09
RM-HTL0002-127,HTL0002,127,DLX,Deluxe Room,117.32,1,2021-03-06 20:51:48,2021-03-06 20:51:48
RM-HTL0002-128,HTL0002,128,SUP,Superior Room,75.62,1,2021-03-08 09:12:59,2023-09-23 02:52:45
RM-HTL0002-129,HTL0002,129,SUP,Superior Room,80.37,1,2021-03-02 07:51:42,2022-09-29 17:55:36
RM-HTL0002-130,HTL0002,130,DLX,Deluxe Room,116.07,1,2021-03-20 20:32:46,2021-10-11 02:07:34
RM-HTL0002-131,HTL0002,131,SUP,Superior Room,86.97,0,2021-03-01 01:39:32,2021-03-01 01:39:32
RM-HTL0002-132,HTL0002,132,STD,Standard Room,46.49,1,2021-03-02 14:00:25,2021-03-02 14:00:25
RM-HTL0002-133,HTL0002,133,DLX,Deluxe Room,108.48,1,2021-03-21 16:10:12,2023-04-27 10:22:52
RM-HTL0002-134,HTL0002,134,STD,Standard Room,54.26,1,2021-03-10 23:31:53,2021-03-10 23:31:53
RM-HTL0002-135,HTL0002,135,DLX,Deluxe Room,116.98,1,2021-03-04 02:12:51,2022-11-23 13:04:20
RM-HTL0002-136,HTL0002,136,SUP,Superior Room,74.71,1,2021-03-12 19:28:38,2024-11-05 03:38:00
RM-HTL0002-137,HTL0002,137,DLX,Deluxe Room,105.67,1,2021-03-08 20:21:42,2021-11-16 17:38:40
RM-HTL0002-138,HTL0002,138,STD,Standard Room,48.43,1,2021-02-28 07:21:10,2021-02-28 07:21:10
RM-HTL0002-139,HTL0002,139,STD,Standard Room,60.67,1,2021-03-25 07:09:07,2021-09-05 20:51:44
RM-HTL0002-140,HTL0002,140,EXE,Executive Suite,407.34,1,2021-03-12 05:05:41,2021-03-12 05:05:41
RM-HTL0002-141,HTL0002,141,SUT,Suite Room,255.38,1,2021-03-18 16:07:29,2022-08-19 00:19:30
RM-HTL0002-142,HTL0002,142,SUT,Suite Room,260.01,1,2021-03-24 22:36:40,2023-11-28 02:25:15
RM-HTL0002-143,HTL0002,143,EXE,Executive Suite,412.37,1,2021-03-23 18:27:09,2021-03-23 18:27:09
RM-HTL0002-144,HTL0002,144,SUP,Superior Room,80.47,1,2021-03-23 10:58:21,2021-12-04 13:19:19
RM-HTL0002-145,HTL0002,145,DLX,Deluxe Room,112.23,1,2021-03-04 14:25:46,2024-12-07 23:32:28
RM-HTL0002-146,HTL0002,146,STD,Standard Room,50.04,1,2021-03-01 08:08:13,2025-05-08 16:17:31
RM-HTL0002-147,HTL0002,147,SUP,Superior Room,79.26,1,2021-03-10 09:24:12,2025-12-18 08:37:28
RM-HTL0002-148,HTL0002,148,DLX,Deluxe Room,109.44,1,2021-03-01 22:44:55,2022-09-21 14:13:09
RM-HTL0002-149,HTL0002,149,STD,Standard Room,54.52,1,2021-03-10 04:09:56,2021-11-21 23:52:52
RM-HTL0002-150,HTL0002,150,SUT,Suite Room,263.5,1,2021-03-23 05:57:18,2021-03-23 05:57:18
RM-HTL0002-151,HTL0002,151,STD,Standard Room,52.29,1,2021-03-03 21:50:57,2021-03-03 21:50:57
RM-HTL0002-152,HTL0002,152,SUT,Suite Room,246.8,1,2021-03-14 02:26:09,2024-05-06 12:39:18
RM-HTL0002-153,HTL0002,153,EXE,Executive Suite,402.44,1,2021-03-14 13:16:32,2021-03-14 13:16:32
RM-HTL0002-154,HTL0002,154,STD,Standard Room,62.6,1,2021-02-26 23:49:20,2024-07-21 23:18:52
RM-HTL0002-155,HTL0002,155,EXE,Executive Suite,405.39,1,2021-03-07 06:49:54,2026-02-05 12:22:26
RM-HTL0002-156,HTL0002,156,STD,Standard Room,56.93,1,2021-03-09 08:28:56,2024-06-24 10:37:07
RM-HTL0002-157,HTL0002,157,DLX,Deluxe Room,124.03,1,2021-03-16 20:59:32,2021-03-16 20:59:32
RM-HTL0002-158,HTL0002,158,SUP,Superior Room,74.58,1,2021-03-23 08:52:47,2025-09-10 16:29:17
RM-HTL0002-159,HTL0002,159,STD,Standard Room,61.78,1,2021-03-07 19:12:27,2023-10-09 18:01:52
RM-HTL0002-160,HTL0002,160,STD,Standard Room,52.63,1,2021-03-13 02:32:10,2021-03-13 02:32:10
RM-HTL0002-161,HTL0002,161,EXE,Executive Suite,411.19,1,2021-03-13 15:53:22,2022-11-13 00:32:51
RM-HTL0002-162,HTL0002,162,STD,Standard Room,61.54,1,2021-03-20 08:41:18,2022-07-08 08:18:31
RM-HTL0002-163,HTL0002,163,STD,Standard Room,48.98,1,2021-03-11 04:49:41,2021-03-11 04:49:41
RM-HTL0002-164,HTL0002,164,DLX,Deluxe Room,119.65,1,2021-03-23 11:58:14,2023-01-19 16:13:04
RM-HTL0002-165,HTL0002,165,SUP,Superior Room,77.48,1,2021-03-09 12:13:15,2026-02-17 22:40:27
RM-HTL0002-166,HTL0002,166,STD,Standard Room,55.4,1,2021-02-24 20:25:36,2021-02-24 20:25:36
RM-HTL0002-167,HTL0002,167,SUT,Suite Room,249.37,1,2021-03-08 22:50:26,2024-12-18 05:05:28
RM-HTL0002-168,HTL0002,168,EXE,Executive Suite,399.5,1,2021-03-08 19:36:48,2022-03-27 22:57:19
RM-HTL0002-169,HTL0002,169,SUT,Suite Room,252.66,1,2021-03-15 15:10:45,2021-03-15 15:10:45
RM-HTL0002-170,HTL0002,170,DLX,Deluxe Room,114.58,1,2021-03-13 10:04:24,2024-09-29 22:09:35
RM-HTL0002-171,HTL0002,171,SUT,Suite Room,247.68,1,2021-03-23 00:12:05,2025-05-29 21:07:04
RM-HTL0002-172,HTL0002,172,EXE,Executive Suite,404.45,1,2021-03-03 22:07:19,2022-07-20 23:02:17
RM-HTL0002-173,HTL0002,173,EXE,Executive Suite,398.15,1,2021-03-24 14:56:52,2025-05-19 19:50:58
RM-HTL0002-174,HTL0002,174,STD,Standard Room,55.46,1,2021-03-25 23:11:26,2021-06-23 11:44:54
RM-HTL0002-175,HTL0002,175,DLX,Deluxe Room,121.15,1,2021-03-04 19:21:00,2025-12-14 13:40:12
RM-HTL0002-176,HTL0002,176,SUP,Superior Room,76.57,1,2021-03-04 14:52:26,2023-04-14 04:22:37
RM-HTL0002-177,HTL0002,177,DLX,Deluxe Room,112.93,1,2021-03-13 13:59:49,2025-04-16 02:12:01
RM-HTL0002-178,HTL0002,178,STD,Standard Room,59.31,1,2021-02-27 01:02:24,2021-02-27 01:02:24
RM-HTL0002-179,HTL0002,179,STD,Standard Room,57.01,1,2021-02-26 21:22:32,2025-02-23 06:12:32
RM-HTL0002-180,HTL0002,180,EXE,Executive Suite,402.85,1,2021-02-24 12:21:54,2022-01-06 03:41:20
RM-HTL0002-181,HTL0002,181,DLX,Deluxe Room,107.86,1,2021-03-18 03:13:04,2021-03-18 03:13:04
RM-HTL0002-182,HTL0002,182,DLX,Deluxe Room,122.2,1,2021-03-01 15:30:37,2024-05-04 21:33:57
RM-HTL0002-183,HTL0002,183,EXE,Executive Suite,396.05,1,2021-03-15 22:37:44,2025-09-29 22:20:20
RM-HTL0002-184,HTL0002,184,SUP,Superior Room,78.64,0,2021-02-23 03:21:23,2021-11-21 02:03:55
RM-HTL0002-185,HTL0002,185,EXE,Executive Suite,409.38,1,2021-03-22 22:17:03,2023-05-07 21:57:53
RM-HTL0002-186,HTL0002,186,SUP,Superior Room,73.28,1,2021-02-25 09:53:53,2025-02-19 03:50:57
RM-HTL0002-187,HTL0002,187,STD,Standard Room,51.54,1,2021-03-12 21:51:42,2021-05-26 12:09:20
RM-HTL0002-188,HTL0002,188,DLX,Deluxe Room,106.08,1,2021-02-25 13:07:21,2021-02-25 13:07:21
RM-HTL0002-189,HTL0002,189,STD,Standard Room,55.09,1,2021-03-08 13:27:00,2022-11-14 02:04:34
RM-HTL0002-190,HTL0002,190,SUT,Suite Room,264.3,1,2021-03-18 08:54:53,2021-03-18 08:54:53
RM-HTL0002-191,HTL0002,191,DLX,Deluxe Room,106.43,1,2021-03-03 07:57:50,2023-07-31 00:30:41
RM-HTL0002-192,HTL0002,192,EXE,Executive Suite,407.85,1,2021-03-17 07:20:05,2021-03-17 07:20:05
RM-HTL0002-193,HTL0002,193,DLX,Deluxe Room,107.42,0,2021-03-19 23:46:24,2024-09-27 03:26:07
RM-HTL0002-194,HTL0002,194,EXE,Executive Suite,405.23,1,2021-03-23 07:53:23,2021-03-23 07:53:23
RM-HTL0002-195,HTL0002,195,EXE,Executive Suite,398.52,1,2021-03-21 14:00:51,2023-09-19 04:55:36
RM-HTL0002-196,HTL0002,196,DLX,Deluxe Room,105.02,1,2021-03-20 12:37:06,2021-11-26 13:36:40
RM-HTL0002-197,HTL0002,197,DLX,Deluxe Room,111.09,1,2021-03-23 22:54:46,2021-03-23 22:54:46
RM-HTL0002-198,HTL0002,198,SUP,Superior Room,81.43,1,2021-02-25 10:03:30,2026-05-05 08:01:20
RM-HTL0002-199,HTL0002,199,SUP,Superior Room,74.19,1,2021-03-17 16:10:21,2022-03-04 11:56:43
RM-HTL0002-200,HTL0002,200,STD,Standard Room,59.2,1,2021-03-25 10:01:53,2022-09-05 17:50:21
RM-HTL0002-201,HTL0002,201,SUP,Superior Room,75.48,1,2021-03-02 04:34:08,2024-06-02 15:17:20
RM-HTL0002-202,HTL0002,202,STD,Standard Room,46.64,1,2021-02-24 05:02:15,2021-02-24 05:02:15
RM-HTL0002-203,HTL0002,203,EXE,Executive Suite,399.47,1,2021-03-21 07:53:19,2022-03-29 00:42:38
RM-HTL0002-204,HTL0002,204,STD,Standard Room,53.83,1,2021-03-17 12:23:46,2023-03-02 08:43:59
RM-HTL0002-205,HTL0002,205,SUP,Superior Room,79.14,1,2021-03-01 19:11:10,2023-04-24 07:37:39
RM-HTL0002-206,HTL0002,206,DLX,Deluxe Room,115.4,1,2021-03-25 21:37:09,2024-08-22 10:37:43
RM-HTL0002-207,HTL0002,207,EXE,Executive Suite,406.18,1,2021-03-01 06:43:26,2026-05-08 08:53:47
RM-HTL0002-208,HTL0002,208,DLX,Deluxe Room,112.16,1,2021-03-04 00:44:06,2022-11-18 20:19:26
RM-HTL0002-209,HTL0002,209,DLX,Deluxe Room,113.56,1,2021-02-24 19:36:44,2021-02-24 19:36:44
RM-HTL0002-210,HTL0002,210,SUT,Suite Room,248.52,1,2021-03-22 19:46:04,2021-03-22 19:46:04
RM-HTL0002-211,HTL0002,211,SUT,Suite Room,256.24,1,2021-03-02 10:12:25,2021-03-02 10:12:25
RM-HTL0002-212,HTL0002,212,EXE,Executive Suite,404.84,1,2021-02-26 23:12:03,2021-02-26 23:12:03
RM-HTL0002-213,HTL0002,213,DLX,Deluxe Room,116.63,1,2021-03-03 07:35:02,2023-01-11 18:34:33
RM-HTL0002-214,HTL0002,214,STD,Standard Room,56.09,1,2021-02-28 21:41:37,2022-04-21 15:42:40
RM-HTL0002-215,HTL0002,215,STD,Standard Room,49.31,1,2021-03-12 16:03:54,2024-01-15 16:58:18
RM-HTL0002-216,HTL0002,216,SUP,Superior Room,77.34,1,2021-03-21 06:56:19,2021-05-12 07:04:18
RM-HTL0002-217,HTL0002,217,STD,Standard Room,63.26,1,2021-03-06 23:48:29,2023-06-14 04:21:52
RM-HTL0002-218,HTL0002,218,SUP,Superior Room,80.64,1,2021-03-07 01:55:35,2021-03-07 01:55:35
RM-HTL0002-219,HTL0002,219,STD,Standard Room,62.55,1,2021-02-23 04:20:37,2024-04-11 07:31:39
RM-HTL0002-220,HTL0002,220,SUP,Superior Room,71.32,1,2021-03-25 14:40:34,2023-03-08 01:12:09
RM-HTL0002-221,HTL0002,221,SUT,Suite Room,262.97,1,2021-03-09 15:12:10,2026-05-24 04:32:52
RM-HTL0002-222,HTL0002,222,SUT,Suite Room,258.21,1,2021-03-22 23:12:46,2021-03-22 23:12:46
RM-HTL0002-223,HTL0002,223,DLX,Deluxe Room,107.35,1,2021-03-23 10:42:15,2023-05-24 16:59:13
RM-HTL0002-224,HTL0002,224,DLX,Deluxe Room,113.51,1,2021-02-25 16:38:05,2021-06-11 08:50:13
RM-HTL0002-225,HTL0002,225,EXE,Executive Suite,407.65,1,2021-03-07 12:15:03,2021-03-07 12:15:03
RM-HTL0002-226,HTL0002,226,STD,Standard Room,46.2,1,2021-03-01 12:11:11,2024-12-02 16:05:57
RM-HTL0002-227,HTL0002,227,DLX,Deluxe Room,108.5,1,2021-02-25 15:36:17,2021-02-25 15:36:17
RM-HTL0002-228,HTL0002,228,STD,Standard Room,52.12,1,2021-03-17 09:08:14,2024-10-20 00:42:50
RM-HTL0002-229,HTL0002,229,DLX,Deluxe Room,105.34,1,2021-02-26 08:43:53,2025-02-19 15:18:38
RM-HTL0002-230,HTL0002,230,SUP,Superior Room,78.94,1,2021-03-14 10:50:15,2021-03-28 10:40:31
RM-HTL0002-231,HTL0002,231,EXE,Executive Suite,402.85,1,2021-02-26 00:03:39,2021-02-26 00:03:39
RM-HTL0002-232,HTL0002,232,STD,Standard Room,52.83,1,2021-03-23 05:37:34,2023-10-20 12:32:02
RM-HTL0002-233,HTL0002,233,DLX,Deluxe Room,109.97,1,2021-02-23 02:13:42,2021-02-23 02:13:42
RM-HTL0002-234,HTL0002,234,STD,Standard Room,56.05,1,2021-03-20 08:53:37,2025-10-25 05:05:17
RM-HTL0002-235,HTL0002,235,EXE,Executive Suite,413.54,1,2021-03-15 07:06:58,2021-04-04 21:52:20
RM-HTL0002-236,HTL0002,236,DLX,Deluxe Room,107.71,1,2021-03-19 00:02:20,2021-10-11 09:15:46
RM-HTL0002-237,HTL0002,237,DLX,Deluxe Room,110.59,1,2021-03-16 12:34:34,2026-05-14 10:43:12
RM-HTL0002-238,HTL0002,238,EXE,Executive Suite,401.06,1,2021-02-27 14:54:14,2023-06-25 21:07:34
RM-HTL0002-239,HTL0002,239,SUT,Suite Room,252.53,1,2021-03-24 07:57:05,2021-03-24 07:57:05
RM-HTL0002-240,HTL0002,240,STD,Standard Room,56.44,1,2021-03-08 05:34:36,2024-02-01 02:21:03
RM-HTL0002-241,HTL0002,241,DLX,Deluxe Room,109.56,1,2021-02-23 02:40:42,2021-02-23 02:40:42
RM-HTL0002-242,HTL0002,242,SUP,Superior Room,80.15,1,2021-03-14 16:52:37,2026-05-19 06:01:50
RM-HTL0002-243,HTL0002,243,STD,Standard Room,59.05,1,2021-03-11 18:11:20,2022-05-11 14:26:57
RM-HTL0002-244,HTL0002,244,SUP,Superior Room,88.15,1,2021-03-05 22:13:32,2021-03-05 22:13:32
RM-HTL0002-245,HTL0002,245,DLX,Deluxe Room,120.46,1,2021-03-09 21:31:07,2021-03-09 21:31:07
RM-HTL0002-246,HTL0002,246,SUT,Suite Room,254.71,1,2021-03-25 12:27:09,2022-04-13 02:31:13
