date_key,full_date,day_of_week,day_num,week_num,month_num,month_name,quarter,year,is_weekend,is_holiday,season
85,2022-03-26,Saturday,6,12,3,March,1,2022,True,False,Fall
86,2022-03-27,Sunday,7,12,3,March,1,2022,True,False,Fall
87,2022-03-28,Monday,1,13,3,March,1,2022,False,False,Fall
88,2022-03-29,Tuesday,2,13,3,March,1,2022,False,False,Fall
89,2022-03-30,Wednesday,3,13,3,March,1,2022,False,False,Fall
90,2022-03-31,Thursday,4,13,3,March,1,2022,False,False,Fall
91,2022-04-01,Friday,5,13,4,April,2,2022,False,False,Fall
92,2022-04-02,Saturday,6,13,4,April,2,2022,True,False,Fall
93,2022-04-03,Sunday,7,13,4,April,2,2022,True,False,Fall
94,2022-04-04,Monday,1,14,4,April,2,2022,False,False,Fall
95,2022-04-05,Tuesday,2,14,4,April,2,2022,False,False,Fall
96,2022-04-06,Wednesday,3,14,4,April,2,2022,False,False,Fall
97,2022-04-07,Thursday,4,14,4,April,2,2022,False,False,Fall
98,2022-04-08,Friday,5,14,4,April,2,2022,False,False,Fall
99,2022-04-09,Saturday,6,14,4,April,2,2022,True,False,Fall
100,2022-04-10,Sunday,7,14,4,April,2,2022,True,False,Fall
101,2022-04-11,Monday,1,15,4,April,2,2022,False,False,Fall
102,2022-04-12,Tuesday,2,15,4,April,2,2022,False,False,Fall
103,2022-04-13,Wednesday,3,15,4,April,2,2022,False,False,Fall
104,2022-04-14,Thursday,4,15,4,April,2,2022,False,False,Fall
105,2022-04-15,Friday,5,15,4,April,2,2022,False,False,Fall
106,2022-04-16,Saturday,6,15,4,April,2,2022,True,False,Fall
107,2022-04-17,Sunday,7,15,4,April,2,2022,True,False,Fall
108,2022-04-18,Monday,1,16,4,April,2,2022,False,False,Fall
109,2022-04-19,Tuesday,2,16,4,April,2,2022,False,False,Fall
110,2022-04-20,Wednesday,3,16,4,April,2,2022,False,False,Fall
111,2022-04-21,Thursday,4,16,4,April,2,2022,False,False,Fall
112,2022-04-22,Friday,5,16,4,April,2,2022,False,False,Fall
113,2022-04-23,Saturday,6,16,4,April,2,2022,True,False,Fall
114,2022-04-24,Sunday,7,16,4,April,2,2022,True,False,Fall
115,2022-04-25,Monday,1,17,4,April,2,2022,False,False,Fall
116,2022-04-26,Tuesday,2,17,4,April,2,2022,False,False,Fall
117,2022-04-27,Wednesday,3,17,4,April,2,2022,False,False,Fall
118,2022-04-28,Thursday,4,17,4,April,2,2022,False,False,Fall
119,2022-04-29,Friday,5,17,4,April,2,2022,False,False,Fall
120,2022-04-30,Saturday,6,17,4,April,2,2022,True,False,Fall
121,2022-05-01,Sunday,7,17,5,May,2,2022,True,False,Fall
122,2022-05-02,Monday,1,18,5,May,2,2022,False,False,Fall
123,2022-05-03,Tuesday,2,18,5,May,2,2022,False,False,Fall
124,2022-05-04,Wednesday,3,18,5,May,2,2022,False,False,Fall
125,2022-05-05,Thursday,4,18,5,May,2,2022,False,False,Fall
126,2022-05-06,Friday,5,18,5,May,2,2022,False,False,Fall
127,2022-05-07,Saturday,6,18,5,May,2,2022,True,False,Fall
128,2022-05-08,Sunday,7,18,5,May,2,2022,True,False,Fall
129,2022-05-09,Monday,1,19,5,May,2,2022,False,False,Fall
130,2022-05-10,Tuesday,2,19,5,May,2,2022,False,False,Fall
131,2022-05-11,Wednesday,3,19,5,May,2,2022,False,False,Fall
132,2022-05-12,Thursday,4,19,5,May,2,2022,False,False,Fall
133,2022-05-13,Friday,5,19,5,May,2,2022,False,False,Fall
134,2022-05-14,Saturday,6,19,5,May,2,2022,True,False,Fall
135,2022-05-15,Sunday,7,19,5,May,2,2022,True,False,Fall
136,2022-05-16,Monday,1,20,5,May,2,2022,False,False,Fall
137,2022-05-17,Tuesday,2,20,5,May,2,2022,False,False,Fall
138,2022-05-18,Wednesday,3,20,5,May,2,2022,False,False,Fall
139,2022-05-19,Thursday,4,20,5,May,2,2022,False,False,Fall
140,2022-05-20,Friday,5,20,5,May,2,2022,False,False,Fall
141,2022-05-21,Saturday,6,20,5,May,2,2022,True,False,Fall
142,2022-05-22,Sunday,7,20,5,May,2,2022,True,False,Fall
143,2022-05-23,Monday,1,21,5,May,2,2022,False,False,Fall
144,2022-05-24,Tuesday,2,21,5,May,2,2022,False,False,Fall
145,2022-05-25,Wednesday,3,21,5,May,2,2022,False,False,Fall
146,2022-05-26,Thursday,4,21,5,May,2,2022,False,False,Fall
147,2022-05-27,Friday,5,21,5,May,2,2022,False,False,Fall
148,2022-05-28,Saturday,6,21,5,May,2,2022,True,False,Fall
149,2022-05-29,Sunday,7,21,5,May,2,2022,True,False,Fall
150,2022-05-30,Monday,1,22,5,May,2,2022,False,False,Fall
151,2022-05-31,Tuesday,2,22,5,May,2,2022,False,False,Fall
152,2022-06-01,Wednesday,3,22,6,June,2,2022,False,False,Winter
153,2022-06-02,Thursday,4,22,6,June,2,2022,False,False,Winter
154,2022-06-03,Friday,5,22,6,June,2,2022,False,False,Winter
155,2022-06-04,Saturday,6,22,6,June,2,2022,True,False,Winter
156,2022-06-05,Sunday,7,22,6,June,2,2022,True,False,Winter
157,2022-06-06,Monday,1,23,6,June,2,2022,False,False,Winter
158,2022-06-07,Tuesday,2,23,6,June,2,2022,False,False,Winter
159,2022-06-08,Wednesday,3,23,6,June,2,2022,False,False,Winter
160,2022-06-09,Thursday,4,23,6,June,2,2022,False,False,Winter
161,2022-06-10,Friday,5,23,6,June,2,2022,False,False,Winter
162,2022-06-11,Saturday,6,23,6,June,2,2022,True,False,Winter
163,2022-06-12,Sunday,7,23,6,June,2,2022,True,False,Winter
164,2022-06-13,Monday,1,24,6,June,2,2022,False,False,Winter
165,2022-06-14,Tuesday,2,24,6,June,2,2022,False,False,Winter
166,2022-06-15,Wednesday,3,24,6,June,2,2022,False,False,Winter
167,2022-06-16,Thursday,4,24,6,June,2,2022,False,False,Winter
168,2022-06-17,Friday,5,24,6,June,2,2022,False,False,Winter
169,2022-06-18,Saturday,6,24,6,June,2,2022,True,False,Winter
170,2022-06-19,Sunday,7,24,6,June,2,2022,True,False,Winter
171,2022-06-20,Monday,1,25,6,June,2,2022,False,False,Winter
172,2022-06-21,Tuesday,2,25,6,June,2,2022,False,False,Winter
173,2022-06-22,Wednesday,3,25,6,June,2,2022,False,False,Winter
174,2022-06-23,Thursday,4,25,6,June,2,2022,False,False,Winter
175,2022-06-24,Friday,5,25,6,June,2,2022,False,False,Winter
176,2022-06-25,Saturday,6,25,6,June,2,2022,True,False,Winter
177,2022-06-26,Sunday,7,25,6,June,2,2022,True,False,Winter
178,2022-06-27,Monday,1,26,6,June,2,2022,False,False,Winter
179,2022-06-28,Tuesday,2,26,6,June,2,2022,False,False,Winter
180,2022-06-29,Wednesday,3,26,6,June,2,2022,False,False,Winter
181,2022-06-30,Thursday,4,26,6,June,2,2022,False,False,Winter
182,2022-07-01,Friday,5,26,7,July,3,2022,False,False,Winter
183,2022-07-02,Saturday,6,26,7,July,3,2022,True,False,Winter
184,2022-07-03,Sunday,7,26,7,July,3,2022,True,False,Winter
185,2022-07-04,Monday,1,27,7,July,3,2022,False,False,Winter
186,2022-07-05,Tuesday,2,27,7,July,3,2022,False,False,Winter
187,2022-07-06,Wednesday,3,27,7,July,3,2022,False,False,Winter
188,2022-07-07,Thursday,4,27,7,July,3,2022,False,False,Winter
189,2022-07-08,Friday,5,27,7,July,3,2022,False,False,Winter
190,2022-07-09,Saturday,6,27,7,July,3,2022,True,False,Winter
191,2022-07-10,Sunday,7,27,7,July,3,2022,True,False,Winter
192,2022-07-11,Monday,1,28,7,July,3,2022,False,False,Winter
193,2022-07-12,Tuesday,2,28,7,July,3,2022,False,False,Winter
194,2022-07-13,Wednesday,3,28,7,July,3,2022,False,False,Winter
195,2022-07-14,Thursday,4,28,7,July,3,2022,False,False,Winter
196,2022-07-15,Friday,5,28,7,July,3,2022,False,False,Winter
197,2022-07-16,Saturday,6,28,7,July,3,2022,True,False,Winter
198,2022-07-17,Sunday,7,28,7,July,3,2022,True,False,Winter
199,2022-07-18,Monday,1,29,7,July,3,2022,False,False,Winter
200,2022-07-19,Tuesday,2,29,7,July,3,2022,False,False,Winter
201,2022-07-20,Wednesday,3,29,7,July,3,2022,False,False,Winter
202,2022-07-21,Thursday,4,29,7,July,3,2022,False,False,Winter
203,2022-07-22,Friday,5,29,7,July,3,2022,False,False,Winter
204,2022-07-23,Saturday,6,29,7,July,3,2022,True,False,Winter
205,2022-07-24,Sunday,7,29,7,July,3,2022,True,False,Winter
206,2022-07-25,Monday,1,30,7,July,3,2022,False,False,Winter
207,2022-07-26,Tuesday,2,30,7,July,3,2022,False,False,Winter
208,2022-07-27,Wednesday,3,30,7,July,3,2022,False,False,Winter
209,2022-07-28,Thursday,4,30,7,July,3,2022,False,False,Winter
210,2022-07-29,Friday,5,30,7,July,3,2022,False,False,Winter
211,2022-07-30,Saturday,6,30,7,July,3,2022,True,False,Winter
212,2022-07-31,Sunday,7,30,7,July,3,2022,True,False,Winter
213,2022-08-01,Monday,1,31,8,August,3,2022,False,False,Winter
214,2022-08-02,Tuesday,2,31,8,August,3,2022,False,False,Winter
215,2022-08-03,Wednesday,3,31,8,August,3,2022,False,False,Winter
216,2022-08-04,Thursday,4,31,8,August,3,2022,False,False,Winter
217,2022-08-05,Friday,5,31,8,August,3,2022,False,False,Winter
218,2022-08-06,Saturday,6,31,8,August,3,2022,True,False,Winter
219,2022-08-07,Sunday,7,31,8,August,3,2022,True,False,Winter
220,2022-08-08,Monday,1,32,8,August,3,2022,False,False,Winter
221,2022-08-09,Tuesday,2,32,8,August,3,2022,False,False,Winter
222,2022-08-10,Wednesday,3,32,8,August,3,2022,False,False,Winter
223,2022-08-11,Thursday,4,32,8,August,3,2022,False,False,Winter
224,2022-08-12,Friday,5,32,8,August,3,2022,False,False,Winter
225,2022-08-13,Saturday,6,32,8,August,3,2022,True,False,Winter
226,2022-08-14,Sunday,7,32,8,August,3,2022,True,False,Winter
227,2022-08-15,Monday,1,33,8,August,3,2022,False,False,Winter
228,2022-08-16,Tuesday,2,33,8,August,3,2022,False,False,Winter
229,2022-08-17,Wednesday,3,33,8,August,3,2022,False,False,Winter
230,2022-08-18,Thursday,4,33,8,August,3,2022,False,False,Winter
231,2022-08-19,Friday,5,33,8,August,3,2022,False,False,Winter
232,2022-08-20,Saturday,6,33,8,August,3,2022,True,False,Winter
233,2022-08-21,Sunday,7,33,8,August,3,2022,True,False,Winter
234,2022-08-22,Monday,1,34,8,August,3,2022,False,False,Winter
235,2022-08-23,Tuesday,2,34,8,August,3,2022,False,False,Winter
236,2022-08-24,Wednesday,3,34,8,August,3,2022,False,False,Winter
237,2022-08-25,Thursday,4,34,8,August,3,2022,False,False,Winter
238,2022-08-26,Friday,5,34,8,August,3,2022,False,False,Winter
239,2022-08-27,Saturday,6,34,8,August,3,2022,True,False,Winter
240,2022-08-28,Sunday,7,34,8,August,3,2022,True,False,Winter
241,2022-08-29,Monday,1,35,8,August,3,2022,False,False,Winter
242,2022-08-30,Tuesday,2,35,8,August,3,2022,False,False,Winter
243,2022-08-31,Wednesday,3,35,8,August,3,2022,False,False,Winter
244,2022-09-01,Thursday,4,35,9,September,3,2022,False,False,Spring
245,2022-09-02,Friday,5,35,9,September,3,2022,False,False,Spring
246,2022-09-03,Saturday,6,35,9,September,3,2022,True,False,Spring
247,2022-09-04,Sunday,7,35,9,September,3,2022,True,False,Spring
248,2022-09-05,Monday,1,36,9,September,3,2022,False,False,Spring
249,2022-09-06,Tuesday,2,36,9,September,3,2022,False,False,Spring
250,2022-09-07,Wednesday,3,36,9,September,3,2022,False,False,Spring
251,2022-09-08,Thursday,4,36,9,September,3,2022,False,False,Spring
252,2022-09-09,Friday,5,36,9,September,3,2022,False,False,Spring
253,2022-09-10,Saturday,6,36,9,September,3,2022,True,False,Spring
254,2022-09-11,Sunday,7,36,9,September,3,2022,True,False,Spring
255,2022-09-12,Monday,1,37,9,September,3,2022,False,False,Spring
256,2022-09-13,Tuesday,2,37,9,September,3,2022,False,False,Spring
257,2022-09-14,Wednesday,3,37,9,September,3,2022,False,False,Spring
258,2022-09-15,Thursday,4,37,9,September,3,2022,False,False,Spring
259,2022-09-16,Friday,5,37,9,September,3,2022,False,False,Spring
260,2022-09-17,Saturday,6,37,9,September,3,2022,True,False,Spring
261,2022-09-18,Sunday,7,37,9,September,3,2022,True,False,Spring
262,2022-09-19,Monday,1,38,9,September,3,2022,False,False,Spring
263,2022-09-20,Tuesday,2,38,9,September,3,2022,False,False,Spring
264,2022-09-21,Wednesday,3,38,9,September,3,2022,False,False,Spring
265,2022-09-22,Thursday,4,38,9,September,3,2022,False,False,Spring
266,2022-09-23,Friday,5,38,9,September,3,2022,False,False,Spring
267,2022-09-24,Saturday,6,38,9,September,3,2022,True,False,Spring
268,2022-09-25,Sunday,7,38,9,September,3,2022,True,False,Spring
269,2022-09-26,Monday,1,39,9,September,3,2022,False,False,Spring
270,2022-09-27,Tuesday,2,39,9,September,3,2022,False,False,Spring
271,2022-09-28,Wednesday,3,39,9,September,3,2022,False,False,Spring
272,2022-09-29,Thursday,4,39,9,September,3,2022,False,False,Spring
273,2022-09-30,Friday,5,39,9,September,3,2022,False,False,Spring
274,2022-10-01,Saturday,6,39,10,October,4,2022,True,False,Spring
275,2022-10-02,Sunday,7,39,10,October,4,2022,True,False,Spring
276,2022-10-03,Monday,1,40,10,October,4,2022,False,False,Spring
277,2022-10-04,Tuesday,2,40,10,October,4,2022,False,False,Spring
278,2022-10-05,Wednesday,3,40,10,October,4,2022,False,False,Spring
279,2022-10-06,Thursday,4,40,10,October,4,2022,False,False,Spring
280,2022-10-07,Friday,5,40,10,October,4,2022,False,False,Spring
281,2022-10-08,Saturday,6,40,10,October,4,2022,True,False,Spring
282,2022-10-09,Sunday,7,40,10,October,4,2022,True,False,Spring
283,2022-10-10,Monday,1,41,10,October,4,2022,False,False,Spring
284,2022-10-11,Tuesday,2,41,10,October,4,2022,False,False,Spring
285,2022-10-12,Wednesday,3,41,10,October,4,2022,False,False,Spring
286,2022-10-13,Thursday,4,41,10,October,4,2022,False,False,Spring
287,2022-10-14,Friday,5,41,10,October,4,2022,False,False,Spring
288,2022-10-15,Saturday,6,41,10,October,4,2022,True,False,Spring
289,2022-10-16,Sunday,7,41,10,October,4,2022,True,False,Spring
290,2022-10-17,Monday,1,42,10,October,4,2022,False,False,Spring
291,2022-10-18,Tuesday,2,42,10,October,4,2022,False,False,Spring
292,2022-10-19,Wednesday,3,42,10,October,4,2022,False,False,Spring
293,2022-10-20,Thursday,4,42,10,October,4,2022,False,False,Spring
294,2022-10-21,Friday,5,42,10,October,4,2022,False,False,Spring
295,2022-10-22,Saturday,6,42,10,October,4,2022,True,False,Spring
296,2022-10-23,Sunday,7,42,10,October,4,2022,True,False,Spring
297,2022-10-24,Monday,1,43,10,October,4,2022,False,False,Spring
298,2022-10-25,Tuesday,2,43,10,October,4,2022,False,False,Spring
299,2022-10-26,Wednesday,3,43,10,October,4,2022,False,False,Spring
300,2022-10-27,Thursday,4,43,10,October,4,2022,False,False,Spring
301,2022-10-28,Friday,5,43,10,October,4,2022,False,False,Spring
302,2022-10-29,Saturday,6,43,10,October,4,2022,True,False,Spring
303,2022-10-30,Sunday,7,43,10,October,4,2022,True,False,Spring
304,2022-10-31,Monday,1,44,10,October,4,2022,False,False,Spring
305,2022-11-01,Tuesday,2,44,11,November,4,2022,False,False,Spring
306,2022-11-02,Wednesday,3,44,11,November,4,2022,False,False,Spring
307,2022-11-03,Thursday,4,44,11,November,4,2022,False,False,Spring
308,2022-11-04,Friday,5,44,11,November,4,2022,False,False,Spring
309,2022-11-05,Saturday,6,44,11,November,4,2022,True,False,Spring
310,2022-11-06,Sunday,7,44,11,November,4,2022,True,False,Spring
311,2022-11-07,Monday,1,45,11,November,4,2022,False,False,Spring
312,2022-11-08,Tuesday,2,45,11,November,4,2022,False,False,Spring
313,2022-11-09,Wednesday,3,45,11,November,4,2022,False,False,Spring
314,2022-11-10,Thursday,4,45,11,November,4,2022,False,False,Spring
315,2022-11-11,Friday,5,45,11,November,4,2022,False,False,Spring
316,2022-11-12,Saturday,6,45,11,November,4,2022,True,False,Spring
317,2022-11-13,Sunday,7,45,11,November,4,2022,True,False,Spring
318,2022-11-14,Monday,1,46,11,November,4,2022,False,False,Spring
319,2022-11-15,Tuesday,2,46,11,November,4,2022,False,False,Spring
320,2022-11-16,Wednesday,3,46,11,November,4,2022,False,False,Spring
321,2022-11-17,Thursday,4,46,11,November,4,2022,False,False,Spring
322,2022-11-18,Friday,5,46,11,November,4,2022,False,False,Spring
323,2022-11-19,Saturday,6,46,11,November,4,2022,True,False,Spring
324,2022-11-20,Sunday,7,46,11,November,4,2022,True,False,Spring
325,2022-11-21,Monday,1,47,11,November,4,2022,False,False,Spring
326,2022-11-22,Tuesday,2,47,11,November,4,2022,False,False,Spring
327,2022-11-23,Wednesday,3,47,11,November,4,2022,False,False,Spring
328,2022-11-24,Thursday,4,47,11,November,4,2022,False,False,Spring
329,2022-11-25,Friday,5,47,11,November,4,2022,False,False,Spring
330,2022-11-26,Saturday,6,47,11,November,4,2022,True,False,Spring
331,2022-11-27,Sunday,7,47,11,November,4,2022,True,False,Spring
332,2022-11-28,Monday,1,48,11,November,4,2022,False,False,Spring
333,2022-11-29,Tuesday,2,48,11,November,4,2022,False,False,Spring
334,2022-11-30,Wednesday,3,48,11,November,4,2022,False,False,Spring
335,2022-12-01,Thursday,4,48,12,December,4,2022,False,False,Summer
336,2022-12-02,Friday,5,48,12,December,4,2022,False,False,Summer
337,2022-12-03,Saturday,6,48,12,December,4,2022,True,False,Summer
338,2022-12-04,Sunday,7,48,12,December,4,2022,True,False,Summer
339,2022-12-05,Monday,1,49,12,December,4,2022,False,False,Summer
340,2022-12-06,Tuesday,2,49,12,December,4,2022,False,False,Summer
341,2022-12-07,Wednesday,3,49,12,December,4,2022,False,False,Summer
342,2022-12-08,Thursday,4,49,12,December,4,2022,False,False,Summer
343,2022-12-09,Friday,5,49,12,December,4,2022,False,False,Summer
344,2022-12-10,Saturday,6,49,12,December,4,2022,True,False,Summer
345,2022-12-11,Sunday,7,49,12,December,4,2022,True,False,Summer
346,2022-12-12,Monday,1,50,12,December,4,2022,False,False,Summer
347,2022-12-13,Tuesday,2,50,12,December,4,2022,False,False,Summer
348,2022-12-14,Wednesday,3,50,12,December,4,2022,False,False,Summer
349,2022-12-15,Thursday,4,50,12,December,4,2022,False,False,Summer
350,2022-12-16,Friday,5,50,12,December,4,2022,False,False,Summer
351,2022-12-17,Saturday,6,50,12,December,4,2022,True,False,Summer
352,2022-12-18,Sunday,7,50,12,December,4,2022,True,False,Summer
353,2022-12-19,Monday,1,51,12,December,4,2022,False,False,Summer
354,2022-12-20,Tuesday,2,51,12,December,4,2022,False,False,Summer
355,2022-12-21,Wednesday,3,51,12,December,4,2022,False,False,Summer
356,2022-12-22,Thursday,4,51,12,December,4,2022,False,False,Summer
357,2022-12-23,Friday,5,51,12,December,4,2022,False,False,Summer
358,2022-12-24,Saturday,6,51,12,December,4,2022,True,False,Summer
359,2022-12-25,Sunday,7,51,12,December,4,2022,True,True,Summer
360,2022-12-26,Monday,1,52,12,December,4,2022,False,False,Summer
361,2022-12-27,Tuesday,2,52,12,December,4,2022,False,False,Summer
362,2022-12-28,Wednesday,3,52,12,December,4,2022,False,False,Summer
363,2022-12-29,Thursday,4,52,12,December,4,2022,False,False,Summer
364,2022-12-30,Friday,5,52,12,December,4,2022,False,False,Summer
365,2022-12-31,Saturday,6,52,12,December,4,2022,True,True,Summer
366,2023-01-01,Sunday,7,52,1,January,1,2023,True,True,Summer
367,2023-01-02,Monday,1,1,1,January,1,2023,False,False,Summer
368,2023-01-03,Tuesday,2,1,1,January,1,2023,False,False,Summer
369,2023-01-04,Wednesday,3,1,1,January,1,2023,False,False,Summer
370,2023-01-05,Thursday,4,1,1,January,1,2023,False,False,Summer
371,2023-01-06,Friday,5,1,1,January,1,2023,False,False,Summer
372,2023-01-07,Saturday,6,1,1,January,1,2023,True,False,Summer
373,2023-01-08,Sunday,7,1,1,January,1,2023,True,False,Summer
374,2023-01-09,Monday,1,2,1,January,1,2023,False,False,Summer
375,2023-01-10,Tuesday,2,2,1,January,1,2023,False,False,Summer
376,2023-01-11,Wednesday,3,2,1,January,1,2023,False,False,Summer
377,2023-01-12,Thursday,4,2,1,January,1,2023,False,False,Summer
378,2023-01-13,Friday,5,2,1,January,1,2023,False,False,Summer
379,2023-01-14,Saturday,6,2,1,January,1,2023,True,False,Summer
380,2023-01-15,Sunday,7,2,1,January,1,2023,True,False,Summer
381,2023-01-16,Monday,1,3,1,January,1,2023,False,False,Summer
382,2023-01-17,Tuesday,2,3,1,January,1,2023,False,False,Summer
383,2023-01-18,Wednesday,3,3,1,January,1,2023,False,False,Summer
384,2023-01-19,Thursday,4,3,1,January,1,2023,False,False,Summer
385,2023-01-20,Friday,5,3,1,January,1,2023,False,False,Summer
386,2023-01-21,Saturday,6,3,1,January,1,2023,True,False,Summer
387,2023-01-22,Sunday,7,3,1,January,1,2023,True,False,Summer
388,2023-01-23,Monday,1,4,1,January,1,2023,False,False,Summer
389,2023-01-24,Tuesday,2,4,1,January,1,2023,False,False,Summer
390,2023-01-25,Wednesday,3,4,1,January,1,2023,False,False,Summer
391,2023-01-26,Thursday,4,4,1,January,1,2023,False,False,Summer
392,2023-01-27,Friday,5,4,1,January,1,2023,False,False,Summer
393,2023-01-28,Saturday,6,4,1,January,1,2023,True,False,Summer
394,2023-01-29,Sunday,7,4,1,January,1,2023,True,False,Summer
395,2023-01-30,Monday,1,5,1,January,1,2023,False,False,Summer
396,2023-01-31,Tuesday,2,5,1,January,1,2023,False,False,Summer
397,2023-02-01,Wednesday,3,5,2,February,1,2023,False,False,Summer
