payment_key,payment_date_key,payment_time_key,customer_key,payment_method_key,currency_key,flight_segment_key,hotel_stay_key,payment_reference,invoice_number,payment_status,payment_gateway,installment_months,gross_amount_usd,discount_amount_usd,tax_amount_usd,net_amount_usd,refund_amount_usd,gateway_fee_usd,loyalty_points_used,loyalty_points_earned,transaction_amount_local,source_reference_num,transaction_source
50,1012,1545,864,6,1,10045.0,,PAY24152749548,INV-UP696-154215,Refunded,Xendit,0,93.91,9.39,10.03,94.55,94.55,1.7,0,0,94.55,CNF42771165,AIRLINE
51,69,345,2345,6,2,1028.0,,PAY18876749817,INV-VS187-917016,Completed,Stripe,0,1737.39,0.0,221.43,1958.82,0.0,56.81,0,5876,31047297.0,CNF99050240,AGENT
52,410,2215,265,6,2,6931.0,,PAY26926134623,INV-WJ250-170995,Completed,Midtrans,0,1126.26,0.0,130.38,1256.64,0.0,25.13,5421,2513,19917744.0,CNF39440127,AIRLINE
53,534,1100,2304,6,2,9152.0,,PAY32817431449,INV-BR080-598047,Pending,Midtrans,0,10032.3,0.0,1100.84,11133.14,0.0,222.66,0,0,176460269.0,CNF62087268,AGENT
54,498,2000,679,2,2,13685.0,,PAY10984568870,INV-EL443-904936,Completed,Midtrans,3,6433.05,0.0,563.44,6996.49,0.0,139.93,1174,6996,110894366.5,CNF42128944,AGENT
55,243,1530,2668,9,3,8677.0,,PAY53086574933,INV-JM630-243934,Completed,DOKU,0,993.09,0.0,104.7,1097.79,0.0,24.15,0,1097,1482.02,CNF34018849,AIRLINE
56,1021,730,686,1,9,10006.0,,PAY85301387992,INV-WW274-279483,Completed,Stripe,0,1559.82,233.97,108.51,1434.36,0.0,41.6,0,1434,1133.14,CNF25950688,AIRLINE
57,428,2030,1760,14,1,1687.0,,PAY33289009475,INV-FS278-854800,Completed,PayPal,12,992.01,0.0,116.83,1108.84,0.0,37.7,0,1108,1108.84,CNF40886096,PARTNER
58,567,2115,215,6,2,4206.0,,PAY98725465877,INV-HP421-309669,Completed,Midtrans,0,491.79,0.0,45.97,537.76,0.0,10.76,2076,537,8523496.0,CNF34737257,HOTEL
59,587,1600,669,4,3,2368.0,,PAY44769772762,INV-PQ358-853205,Completed,Xendit,0,4842.44,0.0,595.39,5437.83,0.0,97.88,66,5437,7341.07,CNF46066493,AGENT
60,550,615,2488,5,1,8399.0,,PAY99603124175,INV-DK006-973710,Expired,Adyen,0,533.9,53.39,57.73,538.24,0.0,8.07,0,0,538.24,CNF53720596,PARTNER
61,430,2330,79,14,2,4973.0,,PAY87684734904,INV-IV773-634569,Completed,Midtrans,0,137.56,0.0,17.33,154.89,0.0,3.1,1905,774,2455006.5,CNF22830486,AGENT
62,234,245,1642,1,2,614.0,,PAY55480887332,INV-IJ997-834210,Pending,Midtrans,0,3024.11,0.0,259.63,3283.74,0.0,65.67,0,0,52047279.0,CNF35007883,AGENT
63,459,1500,1762,14,2,10203.0,,PAY06171735961,INV-AT600-645966,Completed,Midtrans,24,7414.64,370.73,782.68,7826.59,0.0,156.53,8636,7826,124051451.5,CNF91641451,PARTNER
64,940,145,197,5,2,7570.0,,PAY07617844392,INV-UJ983-541792,Completed,Adyen,0,540.01,0.0,64.0,604.01,0.0,9.06,0,604,9573558.5,CNF87710228,AGENT
65,783,815,68,12,2,8675.0,,PAY78269154676,INV-QY369-447834,Completed,Midtrans,0,218.51,10.93,18.78,226.36,0.0,4.53,0,452,3587806.0,CNF87316776,AGENT
66,492,1715,1680,1,2,10906.0,,PAY97024522683,INV-NS864-020762,Completed,Xendit,0,601.57,60.16,57.49,598.9,0.0,10.78,0,598,9492565.0,CNF66847778,HOTEL
67,715,2200,1444,2,2,5317.0,,PAY13481280210,INV-NI099-072324,Completed,Midtrans,0,590.69,29.53,57.6,618.76,0.0,12.38,273,618,9807346.0,CNF96176443,AGENT
68,1092,2200,2552,7,2,4077.0,,PAY58271774760,INV-ZT184-965640,Completed,Stripe,0,188.58,0.0,18.79,207.37,0.0,6.01,537,1036,3286814.5,CNF14253360,AGENT
69,50,2215,1846,4,2,13476.0,,PAY55032906463,INV-MH210-296574,Completed,DOKU,0,144.21,0.0,17.68,161.89,0.0,3.56,0,485,2565956.5,CNF21283849,AIRLINE
70,890,1630,2235,6,9,1354.0,,PAY31938276210,INV-HM546-183147,Completed,Stripe,0,207.35,41.47,15.19,181.07,0.0,5.25,5059,181,143.05,CNF18016959,PARTNER
71,692,545,2682,2,2,1817.0,,PAY52345292686,INV-YN855-273621,Completed,Xendit,0,6294.26,629.43,577.7,6242.53,0.0,112.37,0,12485,98944100.5,CNF22364499,AIRLINE
72,250,930,1223,1,2,14739.0,,PAY20365130994,INV-UZ535-020026,Completed,Adyen,0,78.08,7.81,8.71,78.98,0.0,1.18,117,78,1251833.0,CNF93143038,PARTNER
73,814,1230,1405,1,6,2351.0,,PAY71092230788,INV-SI247-949141,Completed,Midtrans,12,3753.08,0.0,475.75,4228.83,0.0,84.58,0,8457,632210.08,CNF41967991,PARTNER
74,85,2245,2127,1,2,13217.0,,PAY47972518511,INV-FQ028-470067,Completed,Midtrans,0,114.86,0.0,14.29,129.15,0.0,2.58,0,129,2047027.5,CNF05101698,HOTEL
75,302,2245,1178,6,2,441.0,,PAY48127912962,INV-OT090-050506,Completed,Xendit,0,138.8,6.94,14.38,146.24,0.0,2.63,497,292,2317904.0,CNF79471990,AGENT
76,607,2000,2961,1,2,8072.0,,PAY52865046786,INV-IL791-482112,Completed,Stripe,0,2450.11,0.0,206.11,2656.22,0.0,77.03,0,5312,42101087.0,CNF11162887,AGENT
77,381,700,2143,5,3,3128.0,,PAY40438421380,INV-OD189-658457,Completed,Xendit,0,98.77,0.0,12.38,111.15,0.0,2.0,3029,111,150.05,CNF43604898,PARTNER
78,501,230,2061,1,7,4310.0,,PAY25092690907,INV-MC238-937960,Completed,Xendit,0,390.03,78.01,36.81,348.83,0.0,6.28,0,697,533.71,CNF74704657,AGENT
79,265,230,1363,2,3,3259.0,,PAY70728622690,INV-NX703-555974,Completed,Xendit,0,3289.79,493.47,307.49,3103.81,0.0,55.87,0,9311,4190.14,CNF98742233,AGENT
80,991,530,1409,12,2,8980.0,,PAY65067001441,INV-UJ721-962656,Failed,Midtrans,0,336.76,0.0,32.69,369.45,0.0,7.39,0,0,5855782.5,CNF56493094,HOTEL
81,651,445,1623,4,2,7477.0,,PAY35123942122,INV-MO999-325932,Completed,Xendit,0,2228.51,0.0,264.84,2493.35,0.0,44.88,0,2493,39519597.5,CNF56736013,HOTEL
82,43,2030,742,1,1,11756.0,,PAY55656463827,INV-OG713-795327,Completed,Xendit,12,169.45,0.0,16.78,186.23,0.0,3.35,0,372,186.23,CNF90307713,AGENT
83,303,600,2348,6,2,14620.0,,PAY82211719634,INV-DU719-139885,Refunded,Midtrans,0,3871.76,0.0,424.15,4295.91,4295.91,85.92,0,0,68090173.5,CNF72147917,HOTEL
84,4,1830,2494,5,2,7747.0,,PAY73765237775,INV-CR331-018209,Failed,Stripe,0,4547.03,0.0,391.33,4938.36,0.0,143.21,0,0,78273006.0,CNF81589809,AIRLINE
85,563,730,737,2,4,12999.0,,PAY96271642909,INV-LG447-127267,Partial Refund,Midtrans,0,1425.43,0.0,159.53,1584.96,308.18,31.7,213,0,7417.61,CNF98399370,AGENT
86,914,900,1596,13,6,13391.0,,PAY56644470592,INV-UJ927-472292,Pending,PayPal,0,395.18,0.0,40.93,436.11,0.0,14.83,0,0,65198.44,CNF59981278,PARTNER
87,689,2130,796,5,2,8008.0,,PAY01840522267,INV-XB077-519943,Completed,Adyen,0,353.88,0.0,28.6,382.48,0.0,5.74,9330,764,6062308.0,CNF34477840,AGENT
88,590,1200,1722,9,3,2631.0,,PAY42376876429,INV-HQ847-346073,Completed,Stripe,0,6005.31,0.0,590.05,6595.36,0.0,191.27,0,19786,8903.74,CNF95154143,AIRLINE
89,949,1400,339,1,9,12579.0,,PAY78096671075,INV-HY505-624320,Completed,Xendit,0,78.5,0.0,6.82,85.32,0.0,1.54,1445,85,67.4,CNF22915553,AGENT
90,884,245,2416,9,2,11566.0,,PAY68458507931,INV-LY454-607336,Completed,Xendit,0,104.67,5.23,9.49,108.93,0.0,1.96,3721,544,1726540.5,CNF84922932,AIRLINE
91,1015,1500,2091,5,6,4144.0,,PAY75558602687,INV-SR146-730708,Completed,Xendit,0,151.59,0.0,14.4,165.99,0.0,2.99,2615,331,24815.5,CNF94554697,AIRLINE
92,995,815,2993,14,2,11295.0,,PAY52594574390,INV-RX327-129788,Completed,DOKU,0,178.17,0.0,19.35,197.52,0.0,4.35,2765,197,3130692.0,CNF36257868,AIRLINE
93,761,500,2776,2,1,9452.0,,PAY10492731604,INV-LL289-650105,Completed,DOKU,0,547.73,0.0,64.23,611.96,0.0,13.46,755,611,611.96,CNF06031564,HOTEL
94,563,1400,2342,2,3,12543.0,,PAY34044845217,INV-LV375-074146,Completed,Stripe,0,1962.24,0.0,242.54,2204.78,0.0,63.94,167,2204,2976.45,CNF15291327,AGENT
95,149,2215,2868,1,2,11804.0,,PAY96123289926,INV-YU881-565343,Completed,Stripe,0,279.63,41.94,23.39,261.08,0.0,7.57,5596,522,4138118.0,CNF22964347,HOTEL
96,426,615,868,6,3,1411.0,,PAY59358955802,INV-GN584-426683,Completed,Xendit,0,387.88,0.0,49.19,437.07,0.0,7.87,0,1311,590.04,CNF14217562,PARTNER
97,468,1500,2254,5,7,12312.0,,PAY79094043184,INV-ZU729-388337,Failed,Midtrans,0,802.09,0.0,100.67,902.76,0.0,18.06,0,0,1381.22,CNF44040393,AIRLINE
98,550,2045,448,9,2,10688.0,,PAY46456917551,INV-LD272-711320,Completed,Stripe,0,3286.38,0.0,269.89,3556.27,0.0,103.13,0,3556,56366879.5,CNF56327448,AGENT
99,1083,2145,1862,2,1,6271.0,,PAY12076566255,INV-BF649-151258,Completed,Xendit,6,668.39,0.0,56.93,725.32,0.0,13.06,0,725,725.32,CNF91715679,HOTEL
100,5,215,1883,5,2,9398.0,,PAY73463684248,INV-JZ090-366962,Failed,DOKU,0,242.06,0.0,23.97,266.03,0.0,5.85,0,0,4216575.5,CNF80078064,AIRLINE
101,673,1915,1538,7,2,12576.0,,PAY03936015493,INV-EC898-612694,Completed,Xendit,0,127.21,0.0,10.58,137.79,0.0,2.48,0,275,2183971.5,CNF96045317,AGENT
102,44,30,2035,2,1,6841.0,,PAY89781122688,INV-OJ860-836955,Completed,Midtrans,0,1017.06,0.0,99.84,1116.9,0.0,22.34,0,1116,1116.9,CNF28081600,AGENT
103,499,1130,1759,6,3,6882.0,,PAY75164603065,INV-KU161-337002,Completed,Xendit,0,2744.93,0.0,279.54,3024.47,0.0,54.44,0,3024,4083.03,CNF77473791,HOTEL
104,898,230,616,6,6,3266.0,,PAY90008438174,INV-KT104-430415,Completed,PayPal,0,396.81,0.0,36.33,433.14,0.0,14.73,0,1299,64754.43,CNF18716946,PARTNER
105,894,2000,1732,6,2,13411.0,,PAY31023187596,INV-HB296-151285,Completed,Midtrans,0,1578.19,0.0,133.95,1712.14,0.0,34.24,0,8560,27137419.0,CNF72993471,HOTEL
106,441,1015,2552,2,2,8752.0,,PAY47143592077,INV-FG678-647747,Chargeback,Midtrans,0,1971.29,295.69,181.21,1856.81,1856.81,37.14,0,0,29430438.5,CNF24505907,HOTEL
107,676,1415,2056,1,1,14695.0,,PAY53360668493,INV-JZ924-913515,Completed,Internal,0,1797.06,0.0,145.49,1942.55,0.0,0.0,0,5827,1942.55,CNF87925189,AGENT
108,544,1400,810,1,3,246.0,,PAY21303912136,INV-NA312-510420,Completed,PayPal,0,274.57,0.0,27.29,301.86,0.0,10.26,373,1509,407.51,CNF44376734,AGENT
109,518,530,496,4,2,10748.0,,PAY74026254815,INV-BP774-534595,Completed,Xendit,0,184.56,0.0,14.81,199.37,0.0,3.59,0,398,3160014.5,CNF52574278,AGENT
110,881,500,2914,7,2,5146.0,,PAY76319974036,INV-BX032-696072,Completed,Xendit,0,356.34,0.0,42.23,398.57,0.0,7.17,0,1992,6317334.5,CNF90618872,AGENT
111,880,2245,1668,12,2,1461.0,,PAY28941014837,INV-SU475-651929,Completed,Adyen,0,231.87,46.37,16.7,202.2,0.0,3.03,0,404,3204870.0,CNF93942789,AIRLINE
112,873,1630,629,12,2,8077.0,,PAY36131149351,INV-HR274-446709,Completed,Xendit,0,137.93,6.9,16.12,147.15,0.0,2.65,0,147,2332327.5,CNF23363587,PARTNER
113,218,1645,2845,13,3,622.0,,PAY96380899445,INV-IV422-644587,Completed,PayPal,0,3147.96,0.0,317.47,3465.43,0.0,117.82,79,3465,4678.33,CNF39904600,PARTNER
114,826,115,2360,6,2,11724.0,,PAY13522443309,INV-DO064-895862,Completed,Xendit,0,96.97,0.0,9.33,106.3,0.0,1.91,0,212,1684855.0,CNF88683518,AGENT
115,44,530,1858,7,2,13113.0,,PAY31179386784,INV-GH611-742548,Failed,Midtrans,0,261.84,39.28,24.55,247.11,0.0,4.94,0,0,3916693.5,CNF41499408,PARTNER
116,118,345,1547,1,6,8321.0,,PAY79516722985,INV-XJ533-566320,Completed,Xendit,6,4495.43,224.77,468.11,4738.77,0.0,85.3,0,14216,708446.12,CNF67279658,PARTNER
117,849,800,1767,1,10,643.0,,PAY03374105679,INV-UK901-683538,Completed,Xendit,0,2001.59,0.0,215.4,2216.99,0.0,39.91,0,11084,17336.86,CNF90803586,AIRLINE
118,586,1215,1987,1,2,3911.0,,PAY89082904382,INV-CS833-910997,Completed,Xendit,0,1060.0,106.0,100.6,1054.6,0.0,18.98,497,1054,16715410.0,CNF26437979,AGENT
119,301,2300,1243,7,2,13271.0,,PAY81848692499,INV-HD425-989542,Completed,Xendit,0,443.9,22.2,43.17,464.87,0.0,8.37,0,929,7368189.5,CNF03079177,AGENT
120,294,845,2808,7,2,6292.0,,PAY44302623026,INV-YF995-534901,Completed,Xendit,0,4252.96,0.0,401.39,4654.35,0.0,83.78,666,23271,73771447.5,CNF32143555,HOTEL
121,687,1045,2823,4,2,4925.0,,PAY39371871320,INV-WI795-185919,Completed,Xendit,0,129.15,0.0,15.26,144.41,0.0,2.6,0,433,2288898.5,CNF03422256,AGENT
122,579,1215,2533,10,2,4853.0,,PAY33793585634,INV-NH593-173237,Completed,Midtrans,0,1731.13,0.0,184.84,1915.97,0.0,38.32,0,1915,30368124.5,CNF21725401,AIRLINE
123,1041,200,1412,9,4,5701.0,,PAY84553626792,INV-DS053-685139,Completed,Xendit,0,113.73,0.0,12.84,126.57,0.0,2.28,45,126,592.35,CNF18971251,AGENT
124,606,1415,2286,5,3,10088.0,,PAY48000138041,INV-HU468-550531,Completed,Stripe,0,186.56,37.31,12.5,161.75,0.0,4.69,183,323,218.36,CNF20134083,PARTNER
125,894,2045,859,5,8,8935.0,,PAY64027733904,INV-CM349-272566,Completed,PayPal,0,274.86,0.0,26.65,301.51,0.0,10.25,222,301,1107.3,CNF52529140,AIRLINE
126,980,515,2134,12,2,12967.0,,PAY52090463983,INV-FN892-168539,Completed,Midtrans,0,738.29,0.0,82.69,820.98,0.0,16.42,0,4104,13012533.0,CNF57530284,HOTEL
127,513,2000,776,7,6,6311.0,,PAY72912792907,INV-JJ648-716570,Completed,Xendit,0,4074.5,0.0,375.09,4449.59,0.0,80.09,0,8899,665213.71,CNF24942096,AGENT
128,137,1515,2112,1,2,4204.0,,PAY14501513166,INV-GA482-578358,Completed,PayPal,0,919.35,91.94,89.01,916.42,0.0,31.16,0,916,14525257.0,CNF88024274,AGENT
129,716,2115,1197,9,2,4041.0,,PAY36763006721,INV-OA676-700621,Completed,Stripe,0,154.37,0.0,18.21,172.58,0.0,5.0,7217,172,2735393.0,CNF97525470,AIRLINE
130,459,1500,2303,13,1,6699.0,,PAY20046574086,INV-SL398-503397,Completed,DOKU,0,120.24,6.01,11.44,125.67,0.0,2.76,0,251,125.67,CNF06766270,AGENT
131,140,1145,2705,1,2,10717.0,,PAY63848756009,INV-MY275-225813,Refunded,Xendit,0,1014.72,0.0,129.3,1144.02,1144.02,20.59,0,0,18132717.0,CNF64522071,AIRLINE
132,229,700,707,6,7,12421.0,,PAY54180732228,INV-OU198-362637,Completed,Midtrans,0,1933.11,0.0,199.68,2132.79,0.0,42.66,1589,6398,3263.17,CNF19598713,HOTEL
133,183,830,1365,5,8,13779.0,,PAY94865151000,INV-NS107-428256,Completed,Midtrans,0,293.53,0.0,25.8,319.33,0.0,6.39,244,319,1172.74,CNF79107475,PARTNER
134,189,2215,2,2,2,9425.0,,PAY08235693846,INV-TE834-715938,Completed,Midtrans,3,171.56,25.73,14.97,160.8,0.0,3.22,0,160,2548680.0,CNF28154431,HOTEL
135,270,1615,2182,6,1,412.0,,PAY46300944286,INV-YP505-316401,Completed,Xendit,0,1513.66,0.0,169.18,1682.84,0.0,30.29,0,1682,1682.84,CNF43485295,HOTEL
136,177,1415,1088,1,8,3034.0,,PAY99635050776,INV-TS303-724929,Completed,Xendit,12,89.88,0.0,7.58,97.46,0.0,1.75,25,97,357.92,CNF38651767,PARTNER
137,952,0,2579,2,2,10280.0,,PAY73386129493,INV-LA370-448114,Completed,DOKU,0,404.55,0.0,49.14,453.69,0.0,9.98,0,2268,7190986.5,CNF52049924,AIRLINE
138,759,2030,382,6,2,213.0,,PAY57073582197,INV-DH517-927657,Completed,Xendit,0,165.97,16.6,12.9,162.27,0.0,2.92,0,324,2571979.5,CNF16981413,HOTEL
139,845,1100,189,1,2,7064.0,,PAY79851382919,INV-LG948-729450,Completed,Adyen,0,101.54,0.0,12.75,114.29,0.0,1.71,0,114,1811496.5,CNF82991762,PARTNER
140,1064,1930,1257,7,10,11839.0,,PAY29516956595,INV-MX159-973503,Completed,Xendit,0,467.16,23.36,55.64,499.44,0.0,8.99,2,499,3905.62,CNF27877232,HOTEL
141,239,1730,245,6,2,14821.0,,PAY67857289504,INV-DH021-893448,Completed,Stripe,0,2879.5,575.9,255.27,2558.87,0.0,74.21,0,5117,40558089.5,CNF32234807,PARTNER
