segment_key,scheduled_departure_date_key,scheduled_departure_time_key,actual_departure_date_key,actual_departure_time_key,passenger_key,passenger_profile_key,segment_origin_airport_key,segment_destination_airport_key,aircraft_key,class_of_service_key,fare_basis_key,booking_channel_key,confirmation_number,ticket_number,segment_sequence_number,flight_number,base_fare_revenue_usd,passenger_facility_charges_usd,airport_tax_usd,government_tax_usd,baggage_charges_usd,upgrade_fees_usd,transaction_fees_usd,total_revenue_usd,segment_miles_flown,segment_miles_earned,delay_minutes,seat_capacity,flight_status,load_factor_pct
31,502,115,502,115,2426,2709,11,21,62,20,3,1,CNF65344604,TKT2276346019,1,GA858,88.69,22.9,7.43,13.08,50.0,0,0.0,182.1,6345,1744,16,177,Flown,55.4
32,264,930,264,930,1643,1217,7,18,34,22,6,4,CNF15305734,TKT7243586176,3,GA606,5079.84,5.97,88.16,119.8,532.5,0,101.6,5927.87,757,2013,0,157,Flown,94.7
33,955,1645,955,1645,1867,1623,21,4,67,18,6,4,CNF82251272,TKT6708666562,4,GA208,600.54,24.0,26.47,37.52,0.0,0,60.05,748.58,6375,16957,13,169,Flown,67.4
34,468,830,468,830,2124,494,7,12,48,6,5,1,CNF24197687,TKT8494771290,3,GA197,1808.88,22.2,112.19,179.4,50.0,100,0.0,2272.67,2309,8081,0,164,Flown,57.7
35,72,1045,72,1045,454,3595,5,6,26,7,4,2,CNF35006184,TKT8974223543,4,GA518,89.67,28.57,3.71,10.71,75.0,0,0.0,207.66,4157,4053,0,181,Flown,73.6
36,604,2215,604,2215,1626,4944,5,2,35,6,5,2,CNF40466821,TKT2156495254,4,GA229,474.06,17.09,33.8,35.89,50.0,0,0.0,610.84,1093,3825,0,292,Flown,81.2
37,996,315,996,315,664,573,20,14,18,24,1,1,CNF92064411,TKT1973881827,3,GA676,114.44,24.24,6.64,16.56,0.0,0,0.0,161.88,3936,2361,109,69,Flown,72.7
38,158,1815,158,1815,1624,1000,14,18,57,16,8,2,CNF30634359,TKT4882188496,4,GA897,0.59,18.72,4.01,3.62,1253.12,0,0.0,1280.06,6741,2359,0,225,Flown,41.6
39,855,915,855,915,832,182,7,15,71,16,2,4,CNF80664051,TKT1021254341,3,GA775,168.22,5.34,9.17,13.9,0.0,0,16.82,213.45,4686,1991,0,163,Diverted,77.5
40,1027,1430,1027,1430,2379,2528,21,4,6,9,7,3,CNF23016049,TKT8603721860,3,GA960,7211.69,12.34,628.5,381.61,0.0,0,576.93,8811.07,5514,60654,23,77,Flown,87.9
41,54,445,54,445,800,1793,7,17,17,19,4,1,CNF03203197,TKT8999011400,4,GA773,322.2,14.41,21.07,33.19,0.0,0,0.0,390.87,4007,3906,13,399,Flown,76.4
42,1064,1915,1064,1915,2756,1522,11,12,43,24,8,1,CNF34713171,TKT9786016259,2,GA754,172.18,27.3,13.09,22.57,25.0,0,0.0,260.14,4113,1439,25,393,Flown,64.0
43,1090,700,1090,700,2946,1080,13,2,28,24,2,1,CNF08419478,TKT5501137535,1,GA922,186.11,24.39,10.36,27.18,0.0,0,0.0,248.04,7142,3035,0,393,Flown,75.3
44,321,1530,321,1530,1779,3697,13,11,71,20,2,4,CNF82107288,TKT7807279037,2,GA367,212.97,16.6,16.5,29.35,75.0,50,21.3,421.72,3969,1686,12,163,Flown,95.8
45,730,2215,730,2215,397,2344,11,20,58,24,3,2,CNF16160881,TKT9722399647,1,GA207,56.7,15.1,4.22,4.44,0.0,0,0.0,80.46,893,245,0,166,Flown,92.3
46,616,2115,616,2115,1055,884,18,14,39,17,7,1,CNF71837530,TKT7681024808,3,GA350,5297.34,28.23,428.05,296.22,25.0,200,0.0,6274.84,4671,51381,5,73,Flown,87.9
47,462,1400,462,1400,1080,791,20,6,17,12,8,1,CNF55780024,TKT4323622169,4,GA935,253.37,8.4,11.41,19.36,0.0,0,0.0,292.54,2258,790,0,399,No-Show,84.8
48,27,1400,27,1400,2975,1644,2,14,33,8,8,1,CNF06968574,TKT6706751691,1,GA936,123.05,14.29,8.69,7.69,0.0,50,0.0,203.72,6043,2115,26,77,Cancelled,84.2
49,293,645,293,645,852,2922,5,15,61,16,1,4,CNF39521501,TKT6426107033,4,GA377,148.05,16.87,6.11,11.42,100.0,0,14.8,297.25,6205,3723,31,392,Flown,62.1
50,370,1815,370,1815,2247,1378,13,7,35,10,6,2,CNF50842431,TKT9839248481,4,GA403,1633.16,9.95,147.92,139.49,0.0,50,0.0,1980.52,6989,18590,88,292,Flown,64.5
51,528,700,528,700,2873,1509,13,4,61,13,7,1,CNF30041691,TKT0530215167,2,GA489,7227.4,5.71,641.44,1060.62,0.0,50,0.0,8985.17,6058,66638,0,392,Cancelled,82.2
52,849,515,849,515,2847,2443,4,17,56,22,5,1,CNF58646339,TKT5348110501,1,GA174,905.85,8.45,41.2,104.12,0.0,50,0.0,1109.62,264,923,0,295,Flown,52.7
53,1079,1545,1079,1545,1748,2056,7,2,38,3,4,5,CNF47642789,TKT6157385512,1,GA755,280.41,25.54,15.55,31.88,0.0,0,14.02,367.4,6159,6005,0,340,Flown,56.1
54,577,815,577,815,183,1845,7,14,50,17,7,1,CNF81775123,TKT9597815542,4,GA765,7206.2,8.44,452.2,712.55,25.0,0,0.0,8404.39,7173,78903,83,220,Cancelled,72.8
55,222,630,222,630,1852,975,14,13,24,22,6,2,CNF60972360,TKT2446546772,2,GA177,1898.27,19.58,81.94,101.19,0.0,0,0.0,2100.98,1970,5240,294,178,Flown,69.6
56,430,1815,430,1815,1352,407,6,12,57,23,4,1,CNF05171073,TKT0871564783,4,GA769,297.92,29.44,17.45,19.78,0.0,0,0.0,364.59,5466,5329,0,225,Flown,97.4
57,683,1615,683,1615,1500,1051,7,13,2,21,7,1,CNF70317543,TKT8027414857,3,GA785,3387.79,29.66,185.18,424.87,50.0,0,0.0,4077.5,6804,74844,47,175,Flown,87.1
58,19,715,19,715,986,1869,12,11,54,14,5,4,CNF26029254,TKT6862728840,1,GA801,3430.1,8.4,296.69,212.64,0.0,0,343.01,4290.84,7174,25108,0,300,Cancelled,76.4
59,534,1145,534,1145,2960,2595,17,9,17,16,3,1,CNF76642076,TKT3271353867,3,GA852,122.8,12.82,10.54,13.15,0.0,0,0.0,159.31,462,127,0,399,Flown,66.5
60,28,1800,28,1800,1551,690,5,9,71,24,8,2,CNF62592386,TKT8790604886,3,GA422,59.27,8.54,5.19,3.47,25.0,0,0.0,101.47,3869,1354,0,163,Flown,95.4
61,958,2330,958,2330,754,1544,2,7,48,19,4,2,CNF93205534,TKT0508927396,2,GA511,243.67,10.24,20.9,36.47,0.0,0,0.0,311.28,6838,6667,0,164,Flown,54.6
62,534,1245,534,1245,2270,1101,11,4,62,18,6,3,CNF15976405,TKT3567078977,1,GA376,816.65,18.25,67.94,91.86,0.0,0,65.33,1060.03,911,2423,23,177,Flown,83.3
63,284,1245,284,1245,2492,2476,15,5,18,12,1,2,CNF55426190,TKT3842273627,1,GA287,117.19,26.29,8.77,15.85,0.0,0,0.0,168.1,5864,3518,66,69,Flown,76.6
64,1018,2100,1018,2100,2434,2807,17,13,56,10,6,4,CNF32022271,TKT1175769171,2,GA945,1080.34,24.98,51.87,91.54,0.0,0,108.03,1356.76,2573,6844,0,295,Flown,77.5
65,1007,2215,1007,2215,851,1989,15,14,58,16,3,1,CNF62042985,TKT1448698305,3,GA996,283.62,13.7,12.3,20.03,50.0,0,0.0,379.65,3557,978,26,166,Flown,86.4
66,168,230,168,230,565,4271,9,4,36,23,4,2,CNF21690392,TKT2026980142,4,GA423,164.67,21.12,11.61,8.73,0.0,0,0.0,206.13,6487,6324,0,179,Flown,74.9
67,61,2330,61,2330,1584,2609,13,2,53,8,3,3,CNF64710680,TKT1770316370,4,GA927,69.25,6.14,4.84,8.07,25.0,0,5.54,118.84,6444,1772,355,396,Flown,71.7
68,670,300,670,300,2098,1158,17,13,30,24,2,2,CNF50049332,TKT6724469317,2,GA466,67.72,10.3,3.76,8.74,75.0,0,0.0,165.52,6670,2834,0,393,No-Show,68.0
69,583,1600,583,1600,2885,1126,13,18,26,14,6,3,CNF29476380,TKT8390654025,3,GA392,1271.01,9.52,104.51,123.72,0.0,0,101.68,1610.44,3188,8480,23,181,Flown,95.4
70,150,115,150,115,526,2242,21,5,29,16,3,1,CNF99851939,TKT3272728129,2,GA134,57.12,24.47,3.22,5.09,0.0,50,0.0,139.9,5333,1466,227,67,Flown,71.5
71,266,1800,266,1800,2634,169,6,4,24,4,8,2,CNF16350496,TKT0266765272,4,GA681,65.25,12.65,3.72,3.61,0.0,0,0.0,85.23,3284,1149,0,178,Flown,77.5
72,91,1645,91,1645,2767,932,14,11,6,10,6,1,CNF84539749,TKT9507088640,4,GA228,1567.66,18.3,110.77,99.66,0.0,0,0.0,1796.39,6291,16734,24,77,Flown,87.9
73,176,1100,176,1100,1934,4467,4,11,39,19,4,2,CNF67560208,TKT0192902215,2,GA608,267.81,29.01,21.5,23.14,50.0,200,0.0,591.46,2279,2222,0,73,Flown,85.3
74,810,2130,810,2130,1518,1357,14,4,54,20,1,2,CNF43904489,TKT0932253332,3,GA767,537.51,16.57,28.85,74.5,0.0,0,0.0,657.43,4296,2577,0,300,No-Show,93.9
75,576,1215,576,1215,1334,1370,20,5,28,16,8,2,CNF02351025,TKT5501935450,2,GA224,190.02,26.63,15.05,16.72,0.0,0,0.0,248.42,842,294,15,393,Flown,78.1
76,166,1230,166,1230,2895,1530,20,15,45,9,7,2,CNF36988843,TKT9333243629,3,GA359,10952.03,5.55,994.3,574.28,25.0,0,0.0,12551.16,714,7854,0,168,Flown,77.0
77,274,600,274,600,1249,4601,21,11,69,23,4,2,CNF62080598,TKT3124412907,1,GA873,525.79,25.25,32.21,36.71,0.0,0,0.0,619.96,7013,6837,26,400,Flown,78.4
78,973,2100,973,2100,180,797,21,4,60,12,1,1,CNF59659992,TKT0123763177,2,GA244,421.08,15.85,31.33,62.81,75.0,0,0.0,606.07,6592,3955,6,335,Flown,85.8
79,549,2030,549,2030,475,1447,20,11,27,16,1,3,CNF49542106,TKT2941937591,2,GA506,94.04,26.06,7.95,9.11,0.0,0,7.52,144.68,7539,4523,0,175,Flown,49.5
80,339,745,339,745,2532,1813,4,13,56,16,8,4,CNF92267131,TKT7536264752,4,GA403,248.05,28.8,15.29,35.67,50.0,0,24.81,402.62,6625,2318,0,295,Flown,73.5
81,353,2000,353,2000,2310,580,11,21,51,4,2,2,CNF86461209,TKT6173009928,3,GA160,129.78,10.03,10.53,16.53,0.0,0,0.0,166.87,5505,2339,21,332,Flown,91.6
82,469,2330,469,2330,943,4599,11,20,19,18,5,1,CNF45240321,TKT1535505143,3,GA352,748.08,21.23,40.3,88.3,0.0,0,0.0,897.91,7446,26061,0,77,Flown,78.7
83,672,1945,672,1945,1910,2624,9,11,12,18,6,2,CNF21914308,TKT7797247925,3,GA258,737.31,21.85,55.92,105.76,50.0,0,0.0,970.84,7470,19870,20,339,Flown,71.7
84,278,645,278,645,2885,4019,5,14,34,4,2,2,CNF42218834,TKT5819204877,4,GA192,89.82,16.5,6.68,5.89,0.0,0,0.0,118.89,7489,3182,111,157,Flown,26.6
85,63,1915,63,1915,2166,3009,14,12,23,12,1,2,CNF06769333,TKT2998651590,3,GA444,188.03,24.66,13.16,26.52,0.0,0,0.0,252.37,3609,2165,0,178,Flown,76.9
86,391,2115,391,2115,2673,1453,20,12,18,23,4,1,CNF25784640,TKT8585883825,3,GA962,453.87,28.16,26.5,54.4,0.0,0,0.0,562.93,1952,1903,0,69,Flown,77.3
87,358,1200,358,1200,178,1434,9,4,56,2,6,1,CNF67262084,TKT6729254355,2,GA843,653.88,16.41,46.05,40.28,0.0,0,0.0,756.62,7124,18949,0,295,Flown,79.5
88,694,200,694,200,2905,1971,15,4,13,16,3,3,CNF19628222,TKT5018256247,2,GA549,37.68,7.73,3.11,2.97,0.0,0,3.01,54.5,1490,409,16,393,Flown,94.4
89,960,1000,960,1000,1693,464,14,6,65,20,2,3,CNF28639420,TKT1223414992,3,GA124,153.28,23.23,11.0,9.7,0.0,0,12.26,209.47,7489,3182,21,68,No-Show,74.6
90,142,1715,142,1715,805,799,9,7,48,17,7,1,CNF90096627,TKT0266045095,2,GA587,1394.22,9.04,105.94,98.8,25.0,0,0.0,1633.0,1779,19569,178,164,No-Show,82.6
91,105,1115,105,1115,1353,1597,9,20,64,4,3,4,CNF63217400,TKT3910193353,1,GA884,79.79,14.69,5.4,11.32,0.0,0,7.98,119.18,6156,1692,9,178,Flown,72.5
92,864,1615,864,1615,1814,3933,5,6,55,20,3,2,CNF89222471,TKT1936006082,3,GA779,40.44,21.66,3.99,3.15,25.0,0,0.0,94.24,5398,1484,20,218,Flown,72.9
93,561,1000,561,1000,399,2563,5,21,37,22,6,1,CNF77056461,TKT6076264385,1,GA225,1000.89,14.16,44.89,105.34,0.0,0,0.0,1165.28,499,1327,0,393,Flown,35.2
94,158,130,158,130,1550,389,4,20,5,20,3,1,CNF00953723,TKT4617623133,2,GA644,173.23,29.12,10.57,24.91,25.0,0,0.0,262.83,6549,1800,0,172,Flown,70.3
95,106,2015,106,2015,2106,1554,12,4,7,20,2,1,CNF61094416,TKT4231654413,3,GA701,124.54,22.96,6.19,12.17,0.0,0,0.0,165.86,7470,3174,19,184,Flown,34.8
96,768,430,768,430,189,3158,20,14,30,16,8,4,CNF72776857,TKT6063494290,2,GA552,60.76,13.91,5.32,8.7,0.0,0,6.08,94.77,1884,659,24,393,Flown,96.8
97,719,45,719,45,2487,1678,7,9,60,21,7,1,CNF46175518,TKT8701799932,2,GA311,1970.9,24.5,185.25,195.19,0.0,0,0.0,2375.84,5791,63701,5,335,Flown,59.5
98,629,1500,629,1500,2567,1282,15,20,6,16,2,1,CNF42024837,TKT4441723456,2,GA939,271.68,20.62,16.06,20.78,0.0,0,0.0,329.14,5361,2278,0,77,Flown,87.0
99,1015,330,1015,330,1236,92,17,13,25,3,4,4,CNF53869479,TKT0254853626,4,GA632,731.79,20.97,67.92,50.75,0.0,50,73.18,994.61,2657,2590,0,159,Flown,58.0
100,173,915,173,915,1963,467,2,11,36,8,8,3,CNF89047238,TKT6410095385,1,GA944,55.97,29.08,4.28,7.11,75.0,0,4.48,175.92,3771,1319,0,179,Flown,61.5
101,328,945,328,945,2886,1797,13,14,8,3,4,4,CNF57421643,TKT5990093781,4,GA551,303.02,28.96,14.3,15.51,75.0,0,30.3,467.09,2205,2149,0,400,Flown,79.9
102,68,1930,68,1930,619,1684,4,14,58,4,2,3,CNF46047614,TKT3788443706,3,GA813,96.16,23.91,4.24,6.67,0.0,50,7.69,188.67,7407,3147,10,166,Flown,66.2
103,55,1630,55,1630,2145,3198,21,13,7,1,7,1,CNF61875646,TKT7263681541,3,GA321,5841.7,18.05,568.89,624.62,75.0,0,0.0,7128.26,2186,24046,21,184,Cancelled,59.1
104,791,815,791,815,2383,2312,2,11,18,4,8,3,CNF85899002,TKT7729108450,1,GA126,82.17,26.86,3.62,11.52,50.0,0,6.57,180.74,4844,1695,0,69,Flown,71.0
105,272,2245,272,2245,1177,3053,4,5,21,12,2,1,CNF78604356,TKT6050337469,4,GA327,33.68,13.9,1.36,3.6,75.0,200,0.0,327.54,3660,1555,0,294,Flown,61.3
106,78,830,78,830,373,4512,18,11,3,3,4,2,CNF83306773,TKT0671822266,2,GA961,408.78,5.76,36.22,60.83,75.0,0,0.0,586.59,512,499,0,218,Flown,62.6
107,812,1530,812,1530,1542,483,9,12,29,16,3,3,CNF79419087,TKT8865385906,2,GA726,154.36,10.82,10.34,20.52,0.0,0,12.35,208.39,437,120,107,67,Flown,39.4
108,829,1845,829,1845,2293,1926,15,21,65,22,6,4,CNF73963428,TKT9876055049,3,GA629,2354.05,16.91,121.39,340.51,0.0,50,235.41,3118.27,5990,15933,0,68,No-Show,67.5
109,724,2345,724,2345,2176,2469,2,21,55,4,2,3,CNF22170486,TKT1867066320,4,GA785,231.19,13.5,21.64,29.3,50.0,0,18.5,364.13,4954,2105,116,218,Flown,81.6
110,201,1100,201,1100,2912,1226,20,17,40,2,6,2,CNF16290739,TKT9289198271,1,GA638,3362.03,27.81,209.75,382.9,0.0,0,0.0,3982.49,870,2314,0,178,Flown,77.4
111,604,2330,604,2330,1439,5532,20,5,53,12,2,2,CNF82653371,TKT7086494269,4,GA254,173.61,8.73,12.61,9.0,0.0,0,0.0,203.95,4939,2099,0,396,Flown,85.5
112,921,1830,921,1830,1997,286,6,18,1,18,6,3,CNF42039831,TKT3549014599,2,GA871,1107.8,9.32,81.59,124.99,50.0,0,88.62,1462.32,1980,5266,79,166,Flown,73.7
113,58,530,58,530,936,382,7,4,3,8,2,1,CNF67069219,TKT5873054982,2,GA351,83.15,8.03,6.24,10.42,0.0,0,0.0,107.84,5680,2414,0,218,No-Show,58.8
114,134,1430,134,1430,214,1618,21,15,6,2,5,1,CNF43884302,TKT1781678066,1,GA234,2453.19,19.91,192.8,201.98,0.0,0,0.0,2867.88,1659,5806,0,77,Flown,61.0
115,603,2000,603,2000,217,2976,7,2,8,4,3,1,CNF43158901,TKT6492815037,4,GA459,22.17,10.86,0.99,1.84,0.0,0,0.0,35.86,1822,501,68,400,Flown,80.0
116,849,1730,849,1730,2019,2567,5,18,62,12,2,1,CNF01709264,TKT0703088081,2,GA301,244.82,7.87,15.09,31.57,0.0,50,0.0,349.35,5143,2185,0,177,Flown,85.1
117,243,1300,243,1300,1741,1344,4,12,9,24,1,1,CNF72628296,TKT8244850072,4,GA984,187.21,5.34,18.0,19.2,0.0,0,0.0,229.75,1105,663,0,177,Flown,70.2
118,562,345,562,345,2356,1935,5,2,63,8,1,2,CNF88959274,TKT1168069196,1,GA273,115.93,5.08,8.85,16.68,50.0,0,0.0,196.54,5538,3322,8,337,Flown,65.9
119,86,915,86,915,1169,2716,18,2,50,12,2,2,CNF12766208,TKT0820391702,1,GA148,305.27,28.87,25.66,18.98,50.0,50,0.0,478.78,4178,1775,30,220,Flown,91.5
120,928,1500,928,1500,2139,456,6,5,60,24,3,1,CNF63444359,TKT6245870120,4,GA432,49.17,16.09,3.81,4.54,0.0,0,0.0,73.61,336,92,0,335,Flown,88.2
121,237,1945,237,1945,2516,2097,17,18,14,14,5,3,CNF42425369,TKT0912375302,1,GA410,10058.57,13.52,145.79,291.6,1362.56,0,160.94,12032.98,4919,17216,0,158,Flown,81.2
122,1085,1615,1085,1615,150,1047,18,20,15,13,7,3,CNF84976039,TKT6702436524,2,GA500,8766.41,13.38,506.7,1164.92,0.0,50,701.31,11202.72,7770,85470,0,391,Flown,66.3
123,931,215,931,215,401,2157,13,2,24,12,1,3,CNF05536481,TKT8754036488,4,GA447,105.5,15.31,6.06,9.42,0.0,0,8.44,144.73,2203,1321,0,178,Flown,80.0
124,754,700,754,700,1261,1649,13,11,65,5,7,2,CNF21597738,TKT5466232360,1,GA415,2842.3,7.61,269.1,223.98,0.0,50,0.0,3392.99,971,10681,0,68,Flown,56.8
125,843,1930,843,1930,2441,1256,11,12,14,15,4,1,CNF66799864,TKT9125949722,3,GA147,461.89,24.83,43.94,53.18,50.0,0,0.0,633.84,833,812,0,158,Flown,76.5
126,757,1945,757,1945,1277,847,5,18,60,19,4,3,CNF04298622,TKT6992066617,4,GA997,359.51,22.05,29.24,50.57,100.0,0,28.76,590.13,4685,4567,0,335,Flown,71.8
127,971,1245,971,1245,151,1721,18,14,50,8,3,3,CNF99623569,TKT9929983358,2,GA978,112.96,14.65,9.01,16.14,0.0,0,9.04,161.8,3777,1038,27,220,Flown,74.3
128,394,1415,394,1415,2327,3683,15,11,55,10,6,2,CNF76887779,TKT2560413482,4,GA559,386.22,19.35,22.09,35.75,0.0,0,0.0,463.41,3149,8376,0,218,Flown,92.2
129,791,2015,791,2015,721,2732,12,2,10,20,8,1,CNF08493153,TKT9839122600,4,GA677,112.07,11.41,4.71,11.83,50.0,50,0.0,240.02,4149,1452,0,399,Flown,70.1
130,477,1945,477,1945,1207,2471,2,12,9,2,6,4,CNF01440762,TKT9143049134,3,GA645,1792.33,17.77,161.38,257.38,0.0,50,179.23,2458.09,6608,17577,0,177,Flown,58.5
131,486,45,486,45,1710,991,11,7,71,16,3,3,CNF10389752,TKT8720998656,1,GA504,40.28,12.87,2.27,2.32,0.0,50,3.22,110.96,5502,1513,0,163,Flown,74.4
132,700,1245,700,1245,2869,1389,12,20,22,20,1,1,CNF42240592,TKT0823530976,4,GA396,191.73,21.14,18.45,18.36,50.0,0,0.0,299.68,4216,2529,0,168,Flown,92.7
133,1039,815,1039,815,598,799,7,5,3,24,3,1,CNF69194896,TKT2980568201,4,GA650,54.31,28.74,3.82,6.11,25.0,0,0.0,117.98,1896,521,27,218,Cancelled,57.2
134,907,600,907,600,650,1490,20,18,32,7,4,2,CNF75307966,TKT1869572404,2,GA385,523.86,20.28,30.92,50.0,0.0,0,0.0,625.06,1331,1297,4,74,Flown,75.0
135,910,945,910,945,2919,586,14,11,36,12,2,3,CNF34741253,TKT1379561007,3,GA792,114.06,19.37,10.58,6.95,0.0,100,9.12,260.08,6144,2611,92,179,Flown,66.9
136,427,730,427,730,2842,614,18,17,51,12,1,3,CNF77321750,TKT3619202599,2,GA549,258.17,21.75,18.41,16.71,0.0,0,20.65,335.69,7096,4257,21,332,Flown,71.4
