hotel_stay_key,reservation_date_key,arrival_date_key,departure_date_key,customer_key,hotel_property_key,booking_channel_key,confirmation_number,ticket_number,number_of_nights,room_type_code,room_type_name,nightly_rate_usd,extended_room_charge_usd,tax_charge_usd,extra_charges_usd,commission_paid_usd,net_revenue_usd,total_bill_usd,reservation_status,lead_time_days,linked_flight_segment
20,625,629,633,2804,51,2,HCF57984321,HTK2113059692,4,EXC,Executive Room,618.53,2474.12,235.04,0.0,0.0,2474.12,2709.16,No-Show,4,True
21,609,636,640,325,28,1,HCF51198284,HTK5228494716,4,STD,Standard Room,780.55,3122.2,149.87,184.47,0.0,3122.2,3456.54,Checked-Out,27,False
22,440,469,470,277,16,1,HCF40827404,HTK0871442750,1,STD,Standard Room,124.68,124.68,8.73,0.0,0.0,124.68,133.41,Checked-Out,29,True
23,24,32,33,1290,24,1,HCF80620903,HTK4531451421,1,STD,Standard Room,592.12,592.12,29.61,0.0,0.0,592.12,621.73,Checked-Out,8,True
24,972,1002,1007,1335,14,1,HCF98852299,HTK7641883959,5,SUP,Superior Room,291.69,1458.45,102.09,0.0,0.0,1458.45,1560.54,In-House,30,True
25,569,571,572,2524,41,1,HCF29669456,HTK8319559100,1,SUP,Superior Room,78.46,78.46,5.49,0.0,0.0,78.46,83.95,Checked-Out,2,False
26,754,782,784,950,27,3,HCF68290520,HTK4068705856,2,DLX,Deluxe Room,124.08,248.16,11.91,0.0,19.85,228.31,260.07,Checked-Out,28,False
27,295,321,323,121,24,5,HCF78556271,HTK1900772495,2,STD,Standard Room,738.69,1477.38,73.87,0.0,73.87,1403.51,1551.25,Checked-Out,26,True
28,967,968,973,1467,10,2,HCF01333098,HTK5757349645,5,SUT,Suite,2094.81,10474.05,576.07,43.27,0.0,10474.05,11093.39,Checked-Out,1,True
29,568,596,599,868,23,2,HCF73863871,HTK2765043473,3,STD,Standard Room,804.15,2412.45,120.62,0.0,0.0,2412.45,2533.07,Checked-Out,28,False
30,851,857,863,2222,45,4,HCF86036001,HTK3366867547,6,DLX,Deluxe Room,234.4,1406.4,98.45,86.74,140.64,1265.76,1591.59,Checked-Out,6,True
31,1053,1056,1061,229,30,5,HCF06077028,HTK5905930366,5,STD,Standard Room,210.67,1053.35,50.56,0.0,52.67,1000.68,1103.91,Checked-Out,3,True
32,118,119,123,1813,48,4,HCF33942043,HTK1127549814,4,FAM,Family Room,319.19,1276.76,127.68,0.0,127.68,1149.08,1404.44,Cancelled,1,True
33,569,574,576,2958,10,2,HCF16811130,HTK4683314178,2,DLX,Deluxe Room,1070.44,2140.88,117.75,0.0,0.0,2140.88,2258.63,Checked-Out,5,False
34,452,466,467,633,53,4,HCF71190434,HTK5918989055,1,EXC,Executive Room,344.56,344.56,29.29,60.56,34.46,310.1,434.41,Checked-Out,14,False
35,5,5,7,1029,51,1,HCF60507765,HTK4941299486,2,SUT,Suite,1497.74,2995.48,284.57,0.0,0.0,2995.48,3280.05,Checked-Out,53,False
36,416,417,420,1205,9,1,HCF45711792,HTK2728581283,3,STD,Standard Room,107.96,323.88,17.81,0.0,0.0,323.88,341.69,Checked-Out,1,True
37,791,809,811,2556,10,3,HCF14669759,HTK0872627392,2,EXC,Executive Room,999.22,1998.44,109.91,177.14,159.88,1838.56,2285.49,Checked-Out,18,True
38,858,895,898,786,60,1,HCF27094374,HTK8136981983,3,SUT,Suite,850.22,2550.66,267.82,0.0,0.0,2550.66,2818.48,Checked-Out,37,True
39,778,784,785,2370,22,4,HCF56232052,HTK5442978465,1,DLX,Deluxe Room,84.58,84.58,4.23,34.43,8.46,76.12,123.24,Checked-Out,6,False
40,567,570,571,578,62,3,HCF93674190,HTK3160585854,1,SUP,Superior Room,832.59,832.59,87.42,0.0,66.61,765.98,920.01,Checked-Out,3,False
41,743,744,745,1010,43,1,HCF47151312,HTK4499597344,1,STD,Standard Room,210.96,210.96,14.77,121.19,0.0,210.96,346.92,Cancelled,1,True
42,194,198,202,578,51,2,HCF85595735,HTK9644414736,4,EXC,Executive Room,1273.76,5095.04,484.03,0.0,0.0,5095.04,5579.07,Checked-Out,4,True
43,731,748,750,2894,17,1,HCF07597364,HTK4270933708,2,STD,Standard Room,173.47,346.94,17.35,0.0,0.0,346.94,364.29,Checked-Out,17,False
44,167,170,172,1305,57,2,HCF65086925,HTK1462272080,2,STD,Standard Room,202.89,405.78,48.69,0.0,0.0,405.78,454.47,Checked-Out,3,False
45,951,962,965,2215,12,2,HCF71105788,HTK7647379716,3,STD,Standard Room,282.66,847.98,59.36,0.0,0.0,847.98,907.34,Checked-Out,11,False
46,919,928,931,2060,23,4,HCF01648979,HTK6270640304,3,STD,Standard Room,667.75,2003.25,100.16,22.48,200.32,1802.93,2125.89,Checked-Out,9,False
47,598,600,603,1489,38,1,HCF53263899,HTK0741833844,3,DLX,Deluxe Room,135.29,405.87,30.44,0.0,0.0,405.87,436.31,Checked-Out,2,True
48,345,347,349,2296,45,2,HCF24252029,HTK8856440819,2,SUT,Suite,619.32,1238.64,86.7,22.18,0.0,1238.64,1347.52,Checked-Out,2,False
49,1030,1042,1044,2098,52,1,HCF26681039,HTK9382374085,2,STD,Standard Room,51.68,103.36,9.82,0.0,0.0,103.36,113.18,Checked-Out,12,False
50,365,366,368,2246,48,2,HCF55426635,HTK3304508583,2,DLX,Deluxe Room,280.55,561.1,56.11,150.73,0.0,561.1,767.94,Checked-Out,1,False
51,75,103,104,867,11,6,HCF77544395,HTK1927777278,1,STD,Standard Room,105.39,105.39,5.8,0.0,12.65,92.74,111.19,Checked-Out,28,False
52,482,516,518,206,52,2,HCF28562090,HTK3998644291,2,STD,Standard Room,50.05,570.34,54.18,0.0,0.0,100.1,624.52,Checked-Out,34,True
53,587,594,595,119,4,2,HCF79797250,HTK2867229254,1,STD,Standard Room,36.9,36.9,2.4,27.0,0.0,36.9,66.3,In-House,7,False
54,81,86,87,1736,21,2,HCF43092874,HTK8548286001,1,DLX,Deluxe Room,52.23,52.23,2.61,0.0,0.0,52.23,54.84,In-House,5,True
55,189,232,233,1513,20,2,HCF65053423,HTK9972714645,1,SUP,Superior Room,501.55,501.55,25.08,112.2,0.0,501.55,638.83,Cancelled,43,False
56,285,311,312,2347,38,3,HCF67131578,HTK0091460333,1,SUP,Superior Room,69.63,69.63,5.22,0.0,5.57,64.06,74.85,Checked-Out,26,False
57,69,75,76,970,58,1,HCF01711108,HTK1365515344,1,STD,Standard Room,234.18,234.18,28.1,0.0,0.0,234.18,262.28,Checked-Out,6,False
58,923,932,933,2023,33,1,HCF89356700,HTK3221595886,1,DLX,Deluxe Room,88.05,88.05,7.92,0.0,0.0,88.05,95.97,Cancelled,9,True
59,732,735,738,1864,56,1,HCF83743706,HTK4204707244,3,DLX,Deluxe Room,1051.89,3155.67,268.23,43.13,0.0,3155.67,3467.03,Checked-Out,3,False
60,336,349,351,2016,10,3,HCF69180894,HTK5701197747,2,EXC,Executive Room,1469.44,2938.88,161.64,20.93,235.11,2703.77,3121.45,In-House,13,False
61,611,614,617,187,49,4,HCF36127294,HTK1092368731,3,SUP,Superior Room,278.94,836.82,83.68,0.0,83.68,753.14,920.5,Checked-Out,3,True
62,162,175,178,1086,25,2,HCF05401324,HTK6559472871,3,STD,Standard Room,270.71,812.13,40.61,0.0,0.0,812.13,852.74,Checked-Out,13,False
63,188,193,195,945,11,1,HCF64229065,HTK0685363472,2,DLX,Deluxe Room,139.27,278.54,15.32,0.0,0.0,278.54,293.86,No-Show,5,True
64,259,265,266,1812,38,5,HCF20022793,HTK6123022523,1,STD,Standard Room,105.17,105.17,7.89,0.0,5.26,99.91,113.06,Checked-Out,6,True
65,472,490,494,1094,56,2,HCF87258371,HTK9884583345,4,SUP,Superior Room,921.63,3686.52,313.35,79.89,0.0,3686.52,4079.76,Checked-Out,18,False
66,915,925,927,1648,61,1,HCF21384446,HTK7265672973,2,SUP,Superior Room,91.12,182.24,19.14,0.0,0.0,182.24,201.38,Checked-Out,10,True
67,976,981,983,1097,37,2,HCF06234260,HTK3144179927,2,SUP,Superior Room,208.25,416.5,37.48,0.0,0.0,416.5,453.98,Checked-Out,5,False
68,854,882,886,2584,27,6,HCF77218342,HTK8639787845,4,STD,Standard Room,58.15,232.6,11.16,49.59,27.91,204.69,293.35,Cancelled,28,False
69,774,775,777,2407,22,1,HCF54692486,HTK2451146770,2,DLX,Deluxe Room,85.29,170.58,8.53,199.39,0.0,170.58,378.5,Checked-Out,1,False
70,976,998,999,702,25,2,HCF63023079,HTK5623305037,1,SUP,Superior Room,232.85,232.85,11.64,0.0,0.0,232.85,244.49,Checked-Out,22,True
71,839,842,843,1350,14,5,HCF51502455,HTK7584161859,1,DLX,Deluxe Room,325.51,325.51,22.79,0.0,16.28,309.23,348.3,In-House,3,False
72,653,684,689,1650,30,1,HCF56727307,HTK7844874757,5,SUP,Superior Room,279.06,1395.3,66.97,0.0,0.0,1395.3,1462.27,Checked-Out,31,False
73,118,123,124,2211,57,1,HCF55326337,HTK6423994642,1,STD,Standard Room,202.41,0.0,0.0,0.0,0.0,202.41,0.0,Checked-Out,5,True
74,965,996,999,586,12,1,HCF01514139,HTK7182300236,3,SUP,Superior Room,330.6,0.0,0.0,0.0,0.0,991.8,0.0,In-House,31,True
75,531,563,564,167,43,1,HCF11615978,HTK5133650204,1,STD,Standard Room,296.04,296.04,20.72,0.0,0.0,296.04,316.76,Checked-Out,32,True
76,573,583,586,368,51,1,HCF34767891,HTK7692773524,3,DLX,Deluxe Room,800.47,2401.41,228.13,0.0,0.0,2401.41,2629.54,Cancelled,10,False
77,757,760,761,2560,28,2,HCF94453896,HTK6214904435,1,DLX,Deluxe Room,592.24,592.24,28.43,0.0,0.0,592.24,620.67,Checked-Out,3,False
78,348,350,352,1277,58,2,HCF73983352,HTK1658340233,2,STD,Standard Room,332.33,664.66,79.76,0.0,0.0,664.66,744.42,No-Show,2,True
79,142,171,172,226,17,4,HCF62953242,HTK4883549355,1,STD,Standard Room,279.7,279.7,13.98,34.64,27.97,251.73,328.32,Checked-Out,29,False
80,142,151,154,2235,9,2,HCF76861416,HTK6352169153,3,DLX,Deluxe Room,92.91,278.73,15.33,183.27,0.0,278.73,477.33,Cancelled,9,True
81,869,888,892,971,30,5,HCF15443725,HTK6892720439,4,SUP,Superior Room,319.78,1279.12,61.4,0.0,63.96,1215.16,1340.52,In-House,19,False
82,945,953,955,2598,3,3,HCF49239032,HTK3418864607,2,STD,Standard Room,73.32,146.64,9.53,0.0,11.73,134.91,156.17,Checked-Out,8,True
83,238,241,244,1117,48,3,HCF79604714,HTK3231597053,3,STD,Standard Room,359.85,1079.55,107.95,0.0,86.36,993.19,1187.5,Checked-Out,3,False
84,883,905,906,2751,3,4,HCF28422213,HTK1452855314,1,DLX,Deluxe Room,114.66,114.66,7.45,0.0,11.47,103.19,122.11,Checked-Out,22,True
85,90,99,101,1799,11,2,HCF42012634,HTK1555155503,2,STD,Standard Room,55.21,110.42,6.07,30.99,0.0,110.42,147.48,No-Show,9,True
86,1014,1040,1041,2060,30,3,HCF26401332,HTK4703285385,1,STD,Standard Room,255.12,255.12,12.25,0.0,20.41,234.71,267.37,Checked-Out,26,False
87,725,731,732,62,17,1,HCF38512889,HTK7489372558,1,STD,Standard Room,208.78,208.78,10.44,23.16,0.0,208.78,242.38,Checked-Out,6,False
88,77,98,99,2008,31,4,HCF45606856,HTK7800427441,1,DLX,Deluxe Room,1085.98,1085.98,52.13,0.0,108.6,977.38,1138.11,Checked-Out,21,True
89,541,542,544,1446,22,1,HCF25035573,HTK8582314902,2,SUT,Suite,159.13,318.26,15.91,0.0,0.0,318.26,334.17,Checked-Out,1,True
90,718,758,763,2677,51,5,HCF28679729,HTK9229449303,5,STD,Standard Room,688.89,3444.45,327.22,44.73,172.22,3272.23,3816.4,Checked-Out,40,True
91,663,677,680,2600,48,2,HCF48878441,HTK7709959307,3,DLX,Deluxe Room,477.17,1431.51,143.15,0.0,0.0,1431.51,1574.66,Checked-Out,14,True
92,314,344,346,1622,61,1,HCF78336815,HTK6862212441,2,DLX,Deluxe Room,87.06,174.12,18.28,0.0,0.0,174.12,192.4,Checked-Out,30,True
93,219,231,235,2775,51,2,HCF49621261,HTK6820172559,4,SUP,Superior Room,378.2,1512.8,143.72,26.52,0.0,1512.8,1683.04,Checked-Out,12,False
94,961,974,976,2424,56,2,HCF22965964,HTK8641405954,2,SUP,Superior Room,713.62,1427.24,121.32,0.0,0.0,1427.24,1548.56,Checked-Out,13,True
95,448,460,461,976,5,6,HCF83583451,HTK6505586183,1,STD,Standard Room,114.88,114.88,7.47,0.0,13.79,101.09,122.35,Checked-Out,12,False
96,450,477,479,2928,10,3,HCF05945307,HTK4756864981,2,STD,Standard Room,690.84,1381.68,75.99,0.0,110.53,1271.15,1457.67,Checked-Out,27,False
97,946,965,970,1495,45,2,HCF40426942,HTK3246636175,5,STD,Standard Room,242.89,1214.45,85.01,0.0,0.0,1214.45,1299.46,Checked-Out,19,False
98,877,892,898,1843,62,5,HCF87912434,HTK5887830725,6,SUP,Superior Room,748.41,4490.46,471.5,0.0,224.52,4265.94,4961.96,Cancelled,15,False
99,207,241,243,1006,12,4,HCF40935020,HTK0149655372,2,SUP,Superior Room,173.5,347.0,24.29,0.0,34.7,312.3,371.29,Checked-Out,34,True
100,409,412,413,1831,61,1,HCF70852114,HTK4659321215,1,SUP,Superior Room,93.27,93.27,9.79,0.0,0.0,93.27,103.06,Checked-Out,3,False
101,862,863,864,2020,58,1,HCF27745227,HTK1983579404,1,SUP,Superior Room,363.34,363.34,43.6,0.0,0.0,363.34,406.94,Checked-Out,1,True
102,201,207,209,1150,56,2,HCF39803662,HTK0153929434,2,STD,Standard Room,644.27,1288.54,109.53,0.0,0.0,1288.54,1398.07,Checked-Out,6,True
103,611,617,618,889,30,1,HCF23694109,HTK7724338111,1,FAM,Family Room,513.67,0.0,0.0,0.0,0.0,513.67,0.0,Cancelled,6,False
104,633,634,635,2474,40,1,HCF57411686,HTK6024190552,1,STD,Standard Room,144.97,144.97,10.87,0.0,0.0,144.97,155.84,Cancelled,1,True
105,309,324,325,1165,45,1,HCF22241958,HTK1908153535,1,SUP,Superior Room,173.23,173.23,12.13,0.0,0.0,173.23,185.36,Checked-Out,15,False
106,261,264,266,1501,14,4,HCF10262719,HTK1783846345,2,STD,Standard Room,247.08,494.16,34.59,0.0,49.42,444.74,528.75,Checked-Out,3,False
107,872,894,899,2594,30,1,HCF36320029,HTK0481904084,5,STD,Standard Room,329.99,1649.95,79.2,0.0,0.0,1649.95,1729.15,Checked-Out,22,False
108,766,777,779,238,40,5,HCF28819893,HTK5042699890,2,STD,Standard Room,73.28,146.56,10.99,48.49,7.33,139.23,206.04,Cancelled,11,True
109,516,530,533,1101,21,1,HCF89597487,HTK5265174538,3,EXC,Executive Room,78.44,235.32,11.77,0.0,0.0,235.32,247.09,Checked-Out,14,False
110,506,553,555,1663,16,2,HCF35832304,HTK5307813838,2,STD,Standard Room,130.64,261.28,18.29,0.0,0.0,261.28,279.57,Cancelled,47,False
111,315,316,318,356,53,1,HCF75329847,HTK6938445522,2,STD,Standard Room,155.06,310.12,26.36,0.0,0.0,310.12,336.48,Checked-Out,1,False
112,961,1034,1039,2525,27,3,HCF94822772,HTK2136356572,5,SUP,Superior Room,103.59,517.95,24.86,0.0,41.44,476.51,542.81,Checked-Out,73,False
113,603,604,605,979,4,4,HCF15103336,HTK1404243625,1,SUT,Suite,114.35,114.35,7.43,0.0,11.44,102.91,121.78,Checked-Out,1,False
114,829,842,843,279,51,1,HCF31954188,HTK1515886241,1,DLX,Deluxe Room,644.61,644.61,61.24,0.0,0.0,644.61,705.85,Checked-Out,13,False
115,999,1002,1008,2504,19,3,HCF35919839,HTK7566753960,6,STD,Standard Room,248.91,1493.46,74.67,0.0,119.48,1373.98,1568.13,Cancelled,3,False
116,1055,1080,1083,2428,43,2,HCF37175253,HTK8735615858,3,STD,Standard Room,232.75,698.25,48.88,12.28,0.0,698.25,759.41,Checked-Out,25,False
117,594,604,607,2431,19,3,HCF34063655,HTK6257542275,3,STD,Standard Room,154.48,463.44,23.17,0.0,37.08,426.36,486.61,Checked-Out,10,True
118,155,165,167,355,10,2,HCF87250135,HTK9489993468,2,DLX,Deluxe Room,572.02,1144.04,62.92,0.0,0.0,1144.04,1206.96,Checked-Out,10,False
119,424,440,444,1547,43,1,HCF17497181,HTK4568165154,4,EXC,Executive Room,347.9,1391.6,97.41,0.0,0.0,1391.6,1489.01,Checked-Out,16,False
120,270,278,280,1089,1,1,HCF25758539,HTK0802453177,2,STD,Standard Room,97.94,195.88,12.73,46.49,0.0,195.88,255.1,Checked-Out,8,False
121,785,796,798,2170,45,6,HCF22993743,HTK8502540558,2,DLX,Deluxe Room,298.36,596.72,41.77,0.0,71.61,525.11,638.49,Checked-Out,11,True
122,589,596,601,261,40,1,HCF51452925,HTK0580141428,5,STD,Standard Room,114.71,573.55,43.02,0.0,0.0,573.55,616.57,Checked-Out,7,True
123,844,886,889,1344,61,3,HCF57775543,HTK7488616945,3,STD,Standard Room,83.01,249.03,26.15,90.05,19.92,229.11,365.23,Checked-Out,42,True
124,240,244,245,667,33,2,HCF00196024,HTK4131276554,1,STD,Standard Room,76.98,76.98,6.93,0.0,0.0,76.98,83.91,Checked-Out,4,False
125,590,597,599,2277,6,4,HCF64465174,HTK3688134441,2,DLX,Deluxe Room,671.76,1343.52,73.89,0.0,134.35,1209.17,1417.41,Cancelled,7,True
126,1014,1029,1030,429,38,1,HCF91400285,HTK7644353806,1,STD,Standard Room,68.4,68.4,5.13,0.0,0.0,68.4,73.53,Cancelled,15,True
127,63,73,75,690,4,2,HCF72696633,HTK2525918534,2,DLX,Deluxe Room,48.22,96.44,6.27,184.66,0.0,96.44,287.37,Checked-Out,10,True
128,84,103,105,1966,45,4,HCF28064044,HTK6027580565,2,DLX,Deluxe Room,241.97,483.94,33.88,0.0,48.39,435.55,517.82,Checked-Out,19,False
129,838,856,858,1643,64,1,HCF79902147,HTK9508970583,2,DLX,Deluxe Room,985.98,1971.96,207.06,83.32,0.0,1971.96,2262.34,Checked-Out,18,True
130,91,93,95,2958,56,2,HCF13923268,HTK3915772266,2,STD,Standard Room,455.1,910.2,77.37,0.0,0.0,910.2,987.57,Checked-Out,2,True
131,169,175,178,1056,44,2,HCF22493355,HTK7611039246,3,DLX,Deluxe Room,396.08,1188.24,83.18,0.0,0.0,1188.24,1271.42,Checked-Out,6,False
132,389,439,440,1202,1,1,HCF31582530,HTK7641051833,1,DLX,Deluxe Room,107.87,107.87,7.01,0.0,0.0,107.87,114.88,Cancelled,50,True
133,468,469,474,1185,19,4,HCF90631202,HTK9487579448,5,STD,Standard Room,268.86,1344.3,67.22,36.06,134.43,1209.87,1447.58,Checked-Out,1,False
134,270,271,274,2196,44,5,HCF77437844,HTK3471584543,3,DLX,Deluxe Room,325.16,975.48,68.28,0.0,48.77,926.71,1043.76,In-House,1,False
135,935,939,943,475,64,2,HCF51022214,HTK8233975226,4,DLX,Deluxe Room,857.78,3431.12,360.27,35.7,0.0,3431.12,3827.09,Checked-Out,4,True
136,822,838,840,2563,52,1,HCF06409650,HTK5591609185,2,DLX,Deluxe Room,35.2,70.4,6.69,0.0,0.0,70.4,77.09,Checked-Out,16,True
137,305,328,329,2046,54,4,HCF20663463,HTK6372881100,1,SUT,Suite,395.07,395.07,33.58,0.0,39.51,355.56,428.65,Cancelled,23,True
138,95,97,99,306,8,2,HCF90788514,HTK6947532015,2,DLX,Deluxe Room,191.77,383.54,21.09,0.0,0.0,383.54,404.63,Checked-Out,2,False
139,729,731,736,2121,53,1,HCF16427391,HTK1555612624,5,EXC,Executive Room,360.76,1803.8,153.32,0.0,0.0,1803.8,1957.12,In-House,2,True
140,3,22,26,451,43,1,HCF59779262,HTK5871889238,4,STD,Standard Room,182.59,730.36,51.13,0.0,0.0,730.36,781.49,Checked-Out,19,True
141,827,835,837,1621,14,2,HCF73628608,HTK4631573994,2,SUT,Suite,854.81,1709.62,119.67,0.0,0.0,1709.62,1829.29,Checked-Out,8,False
142,531,534,537,2520,12,1,HCF99342278,HTK9364343804,3,SUT,Suite,644.02,1932.06,135.24,0.0,0.0,1932.06,2067.3,Checked-Out,3,False
143,598,617,622,2067,14,4,HCF10784272,HTK0481468190,5,SUT,Suite,879.32,39343.41,2754.04,0.0,439.66,3956.94,42097.45,Checked-Out,19,True
144,341,346,350,2287,60,1,HCF30969369,HTK9961432105,4,STD,Standard Room,301.44,1205.76,126.6,0.0,0.0,1205.76,1332.36,Checked-Out,5,False
145,802,804,807,1799,58,1,HCF59825075,HTK8901980558,3,SUT,Suite,677.19,2031.57,243.79,0.0,0.0,2031.57,2275.36,Checked-Out,2,True
146,305,340,346,1960,43,1,HCF97370902,HTK1349499505,6,SUT,Suite,539.38,3236.28,226.54,0.0,0.0,3236.28,3462.82,Checked-Out,35,True
147,622,666,669,2910,28,2,HCF31198997,HTK4359472972,3,SUT,Suite,1216.84,33613.61,1613.45,0.0,0.0,3650.52,35227.06,Checked-Out,44,False
148,689,690,691,1530,64,2,HCF92500612,HTK2646009622,1,STD,Standard Room,727.61,727.61,76.4,112.17,0.0,727.61,916.18,Cancelled,1,True
149,198,204,209,2051,8,3,HCF21706484,HTK5033635315,5,STD,Standard Room,251.49,1257.45,69.16,0.0,100.6,1156.85,1326.61,Cancelled,6,True
150,681,688,693,2339,3,2,HCF53105604,HTK5732710774,5,STD,Standard Room,40.15,200.75,13.05,48.38,0.0,200.75,262.18,No-Show,7,False
151,856,861,864,224,17,5,HCF40439432,HTK2146713259,3,DLX,Deluxe Room,227.13,681.39,34.07,0.0,34.07,647.32,715.46,Checked-Out,5,True
152,364,366,367,2707,51,3,HCF84932405,HTK7536902548,1,DLX,Deluxe Room,845.03,845.03,80.28,0.0,67.6,777.43,925.31,Checked-Out,2,False
153,327,354,355,1101,17,1,HCF53028639,HTK8599765560,1,EXC,Executive Room,350.27,350.27,17.51,0.0,0.0,350.27,367.78,Checked-Out,27,True
154,218,230,231,2607,37,2,HCF57555289,HTK8633360046,1,DLX,Deluxe Room,122.29,122.29,11.01,0.0,0.0,122.29,133.3,Checked-Out,12,False
155,142,149,153,1881,35,2,HCF89839453,HTK5206324798,4,DLX,Deluxe Room,825.83,3303.32,297.3,0.0,0.0,3303.32,3600.62,Checked-Out,7,False
156,561,581,582,1332,48,2,HCF73260942,HTK6671800086,1,DLX,Deluxe Room,246.82,246.82,24.68,0.0,0.0,246.82,271.5,Checked-Out,20,False
157,268,277,279,2858,64,2,HCF91632477,HTK5000510756,2,SUP,Superior Room,754.84,1509.68,158.52,0.0,0.0,1509.68,1668.2,Checked-Out,9,False
158,974,984,986,297,25,2,HCF73759815,HTK7372432604,2,FAM,Family Room,304.22,608.44,30.42,0.0,0.0,608.44,638.86,Checked-Out,10,False
159,848,869,870,818,6,3,HCF86510905,HTK2200272386,1,STD,Standard Room,559.57,559.57,30.78,0.0,44.77,514.8,590.35,Checked-Out,21,False
160,508,542,543,2259,46,3,HCF66541797,HTK7784630681,1,DLX,Deluxe Room,773.51,773.51,54.15,0.0,61.88,711.63,827.66,Checked-Out,34,True
161,73,78,83,2939,30,6,HCF53735119,HTK9126120418,5,STD,Standard Room,249.66,1248.3,59.92,0.0,149.8,1098.5,1308.22,No-Show,5,True
162,656,658,662,1470,14,1,HCF94914227,HTK4599675714,4,STD,Standard Room,285.39,1141.56,79.91,0.0,0.0,1141.56,1221.47,Cancelled,2,False
163,72,78,80,1358,12,1,HCF18680740,HTK1447547796,2,STD,Standard Room,242.1,484.2,33.89,91.08,0.0,484.2,609.17,Checked-Out,6,False
164,1057,1065,1069,2638,60,1,HCF73907510,HTK4823135836,4,STD,Standard Room,274.31,1097.24,115.21,19.95,0.0,1097.24,1232.4,Checked-Out,8,True
165,483,487,488,722,22,1,HCF79759638,HTK2734440894,1,EXC,Executive Room,151.33,151.33,7.57,0.0,0.0,151.33,158.9,Checked-Out,4,False
166,72,81,83,626,38,1,HCF91632608,HTK6238688297,2,EXC,Executive Room,131.04,262.08,19.66,0.0,0.0,262.08,281.74,Checked-Out,9,False
167,220,235,237,2358,5,5,HCF19794152,HTK1946854149,2,SUT,Suite,200.28,400.56,26.04,164.85,20.03,380.53,591.45,Checked-Out,15,False
