profile_key,passenger_id,frequent_flyer_num,preferred_seat,preferred_meal,special_assistance,marketing_consent,lifetime_segments_flown,lifetime_miles_earned,customer_segment,scd_effective_date,scd_expiry_date,scd_current_flag,scd_version
27,PAX0000027,FF00000027,Window,Child,None,False,3,10167,Business Traveler,2022-01-01,2023-03-31,False,1
3027,PAX0000027,FF00000027,Window,Child,None,False,8,15243,Family,2023-04-01,9999-12-31,True,2
28,PAX0000028,FF00000028,Aisle,Standard,Wheelchair,False,12,103768,Business Traveler,2022-01-01,9999-12-31,True,1
29,PAX0000029,FF00000029,No Preference,Vegan,None,True,11,2403,Student,2022-01-01,2023-03-31,False,1
3029,PAX0000029,FF00000029,No Preference,Vegan,None,True,27,16807,Leisure,2023-04-01,9999-12-31,True,2
30,PAX0000030,FF00000030,Aisle,None,Wheelchair,True,0,90738,Family,2022-01-01,2023-03-31,False,1
3030,PAX0000030,FF00000030,Aisle,None,Wheelchair,True,5,105930,Senior,2023-04-01,9999-12-31,True,2
31,PAX0000031,FF00000031,No Preference,Standard,Wheelchair,False,4,2897,Student,2022-01-01,2023-03-31,False,1
3031,PAX0000031,FF00000031,No Preference,Standard,Wheelchair,False,14,22646,Leisure,2023-04-01,9999-12-31,True,2
32,PAX0000032,FF00000032,Window,Child,None,False,10,29316,Senior,2022-01-01,9999-12-31,True,1
33,PAX0000033,FF00000033,Aisle,Vegan,WCHR,True,12,9334,Student,2022-01-01,9999-12-31,True,1
34,PAX0000034,FF00000034,Aisle,Vegetarian,None,True,0,100585,Student,2022-01-01,2023-03-31,False,1
3034,PAX0000034,FF00000034,Aisle,Vegetarian,None,True,8,119474,Senior,2023-04-01,9999-12-31,True,2
35,PAX0000035,FF00000035,No Preference,None,None,False,3,33812,Family,2022-01-01,9999-12-31,True,1
36,PAX0000036,FF00000036,Window,Vegan,None,False,14,28248,Senior,2022-01-01,9999-12-31,True,1
37,PAX0000037,FF00000037,Aisle,Standard,None,False,4,9486,Family,2022-01-01,9999-12-31,True,1
38,PAX0000038,FF00000038,Aisle,Halal,None,True,10,60318,Family,2022-01-01,9999-12-31,True,1
39,PAX0000039,FF00000039,Window,Halal,Wheelchair,True,35,3358,Student,2022-01-01,9999-12-31,True,1
40,PAX0000040,FF00000040,Window,Halal,None,False,2,86869,Family,2022-01-01,2023-03-31,False,1
3040,PAX0000040,FF00000040,Window,Halal,None,False,12,100204,Senior,2023-04-01,9999-12-31,True,2
41,PAX0000041,FF00000041,No Preference,Standard,WCHR,True,16,64365,Senior,2022-01-01,9999-12-31,True,1
42,PAX0000042,FF00000042,No Preference,Halal,None,True,2,26571,Senior,2022-01-01,9999-12-31,True,1
43,PAX0000043,FF00000043,Window,Standard,WCHR,True,14,34193,Business Traveler,2022-01-01,9999-12-31,True,1
44,PAX0000044,FF00000044,Window,None,Wheelchair,False,6,465,Leisure,2022-01-01,9999-12-31,True,1
45,PAX0000045,FF00000045,Aisle,Vegan,None,True,10,8754,Family,2022-01-01,9999-12-31,True,1
46,PAX0000046,FF00000046,Aisle,None,None,False,7,94804,Leisure,2022-01-01,9999-12-31,True,1
47,PAX0000047,FF00000047,Aisle,Vegan,None,False,6,54940,Senior,2022-01-01,9999-12-31,True,1
48,PAX0000048,FF00000048,Window,Vegan,None,True,2,33484,Senior,2022-01-01,2023-03-31,False,1
3048,PAX0000048,FF00000048,Window,Vegan,None,True,11,49345,Senior,2023-04-01,9999-12-31,True,2
49,PAX0000049,FF00000049,Window,None,None,True,45,3223,Senior,2022-01-01,2023-03-31,False,1
3049,PAX0000049,FF00000049,Window,None,None,True,60,10965,Family,2023-04-01,9999-12-31,True,2
50,PAX0000050,FF00000050,Aisle,None,None,False,0,17052,Student,2022-01-01,9999-12-31,True,1
51,PAX0000051,FF00000051,No Preference,Halal,None,True,1,41395,Senior,2022-01-01,9999-12-31,True,1
52,PAX0000052,FF00000052,Window,Child,Wheelchair,True,29,17075,Leisure,2022-01-01,9999-12-31,True,1
53,PAX0000053,FF00000053,Aisle,Standard,None,True,3,17096,Senior,2022-01-01,2023-03-31,False,1
3053,PAX0000053,FF00000053,Aisle,Standard,None,True,15,29238,Business Traveler,2023-04-01,9999-12-31,True,2
54,PAX0000054,FF00000054,Aisle,None,None,True,15,272,Family,2022-01-01,9999-12-31,True,1
55,PAX0000055,FF00000055,Window,None,None,True,10,28502,Leisure,2022-01-01,9999-12-31,True,1
56,PAX0000056,FF00000056,Window,Halal,None,True,12,8313,Senior,2022-01-01,9999-12-31,True,1
57,PAX0000057,FF00000057,No Preference,Standard,None,True,15,2875,Student,2022-01-01,9999-12-31,True,1
58,PAX0000058,FF00000058,Aisle,Standard,Wheelchair,False,2,62981,Family,2022-01-01,2023-03-31,False,1
3058,PAX0000058,FF00000058,Aisle,Standard,Wheelchair,False,17,68910,Family,2023-04-01,9999-12-31,True,2
59,PAX0000059,FF00000059,Window,Vegan,None,True,16,415,Family,2022-01-01,9999-12-31,True,1
60,PAX0000060,FF00000060,Aisle,Halal,None,True,3,7239,Leisure,2022-01-01,2023-03-31,False,1
3060,PAX0000060,FF00000060,Aisle,Halal,None,True,9,25570,Business Traveler,2023-04-01,9999-12-31,True,2
61,PAX0000061,FF00000061,No Preference,Standard,Wheelchair,True,3,8533,Family,2022-01-01,9999-12-31,True,1
62,PAX0000062,FF00000062,Aisle,Child,None,False,0,18426,Family,2022-01-01,9999-12-31,True,1
63,PAX0000063,FF00000063,Window,None,None,False,15,27997,Student,2022-01-01,9999-12-31,True,1
64,PAX0000064,FF00000064,Aisle,Vegetarian,None,False,13,2538,Leisure,2022-01-01,2023-03-31,False,1
3064,PAX0000064,FF00000064,Aisle,Vegetarian,None,False,30,11752,Leisure,2023-04-01,9999-12-31,True,2
65,PAX0000065,FF00000065,Aisle,None,None,False,36,54695,Leisure,2022-01-01,2023-03-31,False,1
3065,PAX0000065,FF00000065,Aisle,None,None,False,48,66285,Senior,2023-04-01,9999-12-31,True,2
66,PAX0000066,FF00000066,No Preference,Halal,None,False,19,51945,Senior,2022-01-01,9999-12-31,True,1
67,PAX0000067,FF00000067,Aisle,Vegan,WCHR,False,32,23574,Student,2022-01-01,9999-12-31,True,1
68,PAX0000068,FF00000068,Window,None,None,True,2,28774,Leisure,2022-01-01,9999-12-31,True,1
69,PAX0000069,FF00000069,No Preference,None,None,False,16,40172,Senior,2022-01-01,9999-12-31,True,1
70,PAX0000070,FF00000070,Aisle,Halal,None,True,8,2127,Senior,2022-01-01,2023-03-31,False,1
3070,PAX0000070,FF00000070,Aisle,Halal,None,True,27,12047,Business Traveler,2023-04-01,9999-12-31,True,2
71,PAX0000071,FF00000071,No Preference,Vegan,None,True,5,76060,Student,2022-01-01,9999-12-31,True,1
72,PAX0000072,FF00000072,Aisle,Child,None,False,10,23187,Business Traveler,2022-01-01,9999-12-31,True,1
73,PAX0000073,FF00000073,No Preference,Vegetarian,None,True,3,13787,Senior,2022-01-01,9999-12-31,True,1
74,PAX0000074,FF00000074,Window,Vegan,None,True,27,32940,Leisure,2022-01-01,9999-12-31,True,1
75,PAX0000075,FF00000075,No Preference,Child,None,True,18,18173,Business Traveler,2022-01-01,9999-12-31,True,1
76,PAX0000076,FF00000076,Window,Standard,None,True,11,8565,Student,2022-01-01,9999-12-31,True,1
77,PAX0000077,FF00000077,No Preference,Vegetarian,WCHR,False,14,16737,Business Traveler,2022-01-01,9999-12-31,True,1
78,PAX0000078,FF00000078,No Preference,Vegan,None,True,7,31436,Student,2022-01-01,9999-12-31,True,1
79,PAX0000079,FF00000079,Window,Vegetarian,None,True,33,1984,Family,2022-01-01,9999-12-31,True,1
80,PAX0000080,FF00000080,No Preference,Child,None,False,20,10375,Leisure,2022-01-01,9999-12-31,True,1
81,PAX0000081,FF00000081,Window,Vegan,None,True,7,664,Leisure,2022-01-01,9999-12-31,True,1
82,PAX0000082,FF00000082,Aisle,Vegetarian,None,False,4,20952,Senior,2022-01-01,9999-12-31,True,1
83,PAX0000083,FF00000083,Window,Vegan,WCHR,False,0,20264,Student,2022-01-01,9999-12-31,True,1
84,PAX0000084,FF00000084,Window,Vegetarian,None,False,31,3341,Senior,2022-01-01,9999-12-31,True,1
85,PAX0000085,FF00000085,No Preference,Vegetarian,WCHC,False,17,15812,Student,2022-01-01,9999-12-31,True,1
86,PAX0000086,FF00000086,Window,Halal,None,False,12,9042,Business Traveler,2022-01-01,9999-12-31,True,1
87,PAX0000087,FF00000087,Window,Halal,Wheelchair,True,2,5247,Family,2022-01-01,9999-12-31,True,1
88,PAX0000088,FF00000088,Window,Vegan,None,True,0,6160,Business Traveler,2022-01-01,9999-12-31,True,1
89,PAX0000089,FF00000089,Aisle,Vegan,WCHC,False,13,64033,Business Traveler,2022-01-01,9999-12-31,True,1
90,PAX0000090,FF00000090,No Preference,Vegan,None,False,20,34668,Family,2022-01-01,2023-03-31,False,1
3090,PAX0000090,FF00000090,No Preference,Vegan,None,False,25,51704,Family,2023-04-01,9999-12-31,True,2
91,PAX0000091,FF00000091,Aisle,Vegan,None,False,1,10240,Senior,2022-01-01,9999-12-31,True,1
92,PAX0000092,FF00000092,Aisle,None,None,False,4,8628,Family,2022-01-01,9999-12-31,True,1
93,PAX0000093,FF00000093,Aisle,None,None,False,8,23007,Student,2022-01-01,9999-12-31,True,1
94,PAX0000094,FF00000094,Aisle,Standard,WCHR,True,5,13098,Student,2022-01-01,9999-12-31,True,1
95,PAX0000095,FF00000095,Window,Vegetarian,Wheelchair,True,21,46718,Leisure,2022-01-01,2023-03-31,False,1
3095,PAX0000095,FF00000095,Window,Vegetarian,Wheelchair,True,28,54241,Student,2023-04-01,9999-12-31,True,2
96,PAX0000096,FF00000096,Window,Standard,Wheelchair,True,4,73528,Business Traveler,2022-01-01,9999-12-31,True,1
97,PAX0000097,FF00000097,No Preference,Standard,None,False,36,11868,Student,2022-01-01,9999-12-31,True,1
98,PAX0000098,FF00000098,Window,Standard,None,True,5,21134,Business Traveler,2022-01-01,2023-03-31,False,1
3098,PAX0000098,FF00000098,Window,Standard,None,True,10,33227,Business Traveler,2023-04-01,9999-12-31,True,2
99,PAX0000099,FF00000099,Window,Vegetarian,None,True,33,62701,Senior,2022-01-01,9999-12-31,True,1
100,PAX0000100,FF00000100,Aisle,Vegetarian,None,False,1,14963,Family,2022-01-01,9999-12-31,True,1
101,PAX0000101,FF00000101,No Preference,None,None,True,9,20982,Senior,2022-01-01,2023-03-31,False,1
3101,PAX0000101,FF00000101,No Preference,None,None,True,16,28863,Business Traveler,2023-04-01,9999-12-31,True,2
102,PAX0000102,FF00000102,Aisle,Vegetarian,Wheelchair,True,2,58730,Business Traveler,2022-01-01,9999-12-31,True,1
103,PAX0000103,FF00000103,Window,Halal,None,True,13,54587,Leisure,2022-01-01,9999-12-31,True,1
104,PAX0000104,FF00000104,Aisle,Child,None,False,23,41392,Leisure,2022-01-01,9999-12-31,True,1
105,PAX0000105,FF00000105,No Preference,Vegetarian,None,False,6,28290,Student,2022-01-01,9999-12-31,True,1
106,PAX0000106,FF00000106,Window,Vegan,None,True,2,33593,Family,2022-01-01,9999-12-31,True,1
107,PAX0000107,FF00000107,No Preference,None,None,True,2,35520,Student,2022-01-01,9999-12-31,True,1
108,PAX0000108,FF00000108,Aisle,None,None,True,3,3751,Family,2022-01-01,9999-12-31,True,1
109,PAX0000109,FF00000109,Aisle,Halal,None,False,2,59,Student,2022-01-01,9999-12-31,True,1
110,PAX0000110,FF00000110,Aisle,Child,WCHC,True,15,39547,Leisure,2022-01-01,9999-12-31,True,1
111,PAX0000111,FF00000111,Aisle,Vegan,None,False,8,5279,Student,2022-01-01,9999-12-31,True,1
112,PAX0000112,FF00000112,Aisle,Vegan,Wheelchair,False,1,579,Senior,2022-01-01,2023-03-31,False,1
3112,PAX0000112,FF00000112,Aisle,Vegan,Wheelchair,False,19,5980,Senior,2023-04-01,9999-12-31,True,2
113,PAX0000113,FF00000113,Aisle,Vegan,WCHC,True,2,66452,Senior,2022-01-01,9999-12-31,True,1
114,PAX0000114,FF00000114,No Preference,Vegetarian,None,True,3,13121,Leisure,2022-01-01,2023-03-31,False,1
3114,PAX0000114,FF00000114,No Preference,Vegetarian,None,True,23,20576,Senior,2023-04-01,9999-12-31,True,2
115,PAX0000115,FF00000115,Window,Standard,None,True,1,7544,Student,2022-01-01,9999-12-31,True,1
116,PAX0000116,FF00000116,Aisle,Vegetarian,None,False,8,28075,Senior,2022-01-01,9999-12-31,True,1
117,PAX0000117,FF00000117,Aisle,None,None,True,3,1783,Business Traveler,2022-01-01,9999-12-31,True,1
118,PAX0000118,FF00000118,No Preference,Halal,None,False,5,8005,Leisure,2022-01-01,9999-12-31,True,1
119,PAX0000119,FF00000119,Aisle,None,None,False,2,96463,Family,2022-01-01,9999-12-31,True,1
120,PAX0000120,FF00000120,Window,Child,None,False,11,24417,Leisure,2022-01-01,9999-12-31,True,1
121,PAX0000121,FF00000121,Window,Standard,None,False,6,16808,Leisure,2022-01-01,9999-12-31,True,1
122,PAX0000122,FF00000122,Window,Halal,None,False,9,35764,Student,2022-01-01,9999-12-31,True,1
123,PAX0000123,FF00000123,Aisle,None,None,True,14,5651,Student,2022-01-01,9999-12-31,True,1
124,PAX0000124,FF00000124,Window,None,None,True,8,15928,Leisure,2022-01-01,9999-12-31,True,1
125,PAX0000125,FF00000125,Window,Halal,None,True,24,29942,Senior,2022-01-01,9999-12-31,True,1
126,PAX0000126,FF00000126,Window,Child,None,False,9,3678,Business Traveler,2022-01-01,9999-12-31,True,1
127,PAX0000127,FF00000127,Aisle,None,None,True,11,3739,Senior,2022-01-01,9999-12-31,True,1
128,PAX0000128,FF00000128,Aisle,Halal,Wheelchair,False,4,4623,Family,2022-01-01,2023-03-31,False,1
3128,PAX0000128,FF00000128,Aisle,Halal,Wheelchair,False,19,17564,Student,2023-04-01,9999-12-31,True,2
129,PAX0000129,FF00000129,No Preference,Child,None,True,14,6929,Family,2022-01-01,9999-12-31,True,1
130,PAX0000130,FF00000130,Window,None,Wheelchair,False,5,67807,Leisure,2022-01-01,9999-12-31,True,1
131,PAX0000131,FF00000131,Window,Halal,None,True,2,21266,Student,2022-01-01,2023-03-31,False,1
3131,PAX0000131,FF00000131,Window,Halal,None,True,9,32305,Senior,2023-04-01,9999-12-31,True,2
132,PAX0000132,FF00000132,Window,Vegan,None,True,6,548,Family,2022-01-01,9999-12-31,True,1
133,PAX0000133,FF00000133,Aisle,Vegan,None,False,18,2146,Student,2022-01-01,2023-03-31,False,1
3133,PAX0000133,FF00000133,Aisle,Vegan,None,False,33,7423,Leisure,2023-04-01,9999-12-31,True,2
134,PAX0000134,FF00000134,Aisle,Child,None,True,7,24675,Student,2022-01-01,9999-12-31,True,1
135,PAX0000135,FF00000135,Window,None,None,False,11,35003,Senior,2022-01-01,2023-03-31,False,1
3135,PAX0000135,FF00000135,Window,None,None,False,17,50548,Family,2023-04-01,9999-12-31,True,2
136,PAX0000136,FF00000136,No Preference,Child,None,True,3,300,Leisure,2022-01-01,9999-12-31,True,1
137,PAX0000137,FF00000137,Window,Vegetarian,None,True,15,23013,Leisure,2022-01-01,2023-03-31,False,1
3137,PAX0000137,FF00000137,Window,Vegetarian,None,True,31,33553,Student,2023-04-01,9999-12-31,True,2
138,PAX0000138,FF00000138,Aisle,Standard,None,True,21,51676,Family,2022-01-01,9999-12-31,True,1
139,PAX0000139,FF00000139,No Preference,Vegetarian,None,True,22,19913,Leisure,2022-01-01,9999-12-31,True,1
140,PAX0000140,FF00000140,Aisle,Vegetarian,None,True,4,47042,Business Traveler,2022-01-01,9999-12-31,True,1
141,PAX0000141,FF00000141,Aisle,Standard,None,True,7,6079,Leisure,2022-01-01,9999-12-31,True,1
142,PAX0000142,FF00000142,Aisle,Halal,None,False,23,64254,Business Traveler,2022-01-01,9999-12-31,True,1
143,PAX0000143,FF00000143,Window,None,None,False,7,2361,Family,2022-01-01,2023-03-31,False,1
3143,PAX0000143,FF00000143,Window,None,None,False,13,10782,Leisure,2023-04-01,9999-12-31,True,2
144,PAX0000144,FF00000144,Aisle,Standard,None,True,5,48818,Family,2022-01-01,9999-12-31,True,1
145,PAX0000145,FF00000145,Window,Vegan,None,True,27,6824,Family,2022-01-01,9999-12-31,True,1
146,PAX0000146,FF00000146,No Preference,Vegan,None,True,0,62952,Family,2022-01-01,9999-12-31,True,1
147,PAX0000147,FF00000147,Aisle,Vegan,None,False,5,23410,Senior,2022-01-01,2023-03-31,False,1
3147,PAX0000147,FF00000147,Aisle,Vegan,None,False,22,31762,Family,2023-04-01,9999-12-31,True,2
148,PAX0000148,FF00000148,Window,Vegan,Wheelchair,True,41,2066,Leisure,2022-01-01,9999-12-31,True,1
149,PAX0000149,FF00000149,Aisle,None,None,False,12,2309,Student,2022-01-01,9999-12-31,True,1
150,PAX0000150,FF00000150,Window,Child,Wheelchair,False,5,48860,Leisure,2022-01-01,9999-12-31,True,1
151,PAX0000151,FF00000151,Window,Vegetarian,Wheelchair,True,6,176155,Senior,2022-01-01,9999-12-31,True,1
152,PAX0000152,FF00000152,Aisle,Vegan,WCHC,True,9,11621,Senior,2022-01-01,9999-12-31,True,1
153,PAX0000153,FF00000153,No Preference,Vegetarian,None,True,2,12947,Business Traveler,2022-01-01,9999-12-31,True,1
154,PAX0000154,FF00000154,Window,Halal,WCHR,False,5,2135,Senior,2022-01-01,9999-12-31,True,1
155,PAX0000155,FF00000155,Window,Standard,None,True,5,18721,Leisure,2022-01-01,9999-12-31,True,1
156,PAX0000156,FF00000156,Aisle,Standard,None,True,15,32077,Student,2022-01-01,9999-12-31,True,1
157,PAX0000157,FF00000157,Aisle,Vegetarian,None,True,14,251,Business Traveler,2022-01-01,9999-12-31,True,1
158,PAX0000158,FF00000158,No Preference,Standard,Wheelchair,False,2,32513,Leisure,2022-01-01,2023-03-31,False,1
3158,PAX0000158,FF00000158,No Preference,Standard,Wheelchair,False,14,44971,Business Traveler,2023-04-01,9999-12-31,True,2
159,PAX0000159,FF00000159,No Preference,None,None,False,7,159,Business Traveler,2022-01-01,9999-12-31,True,1
160,PAX0000160,FF00000160,No Preference,None,None,True,19,44459,Senior,2022-01-01,9999-12-31,True,1
161,PAX0000161,FF00000161,Aisle,Vegan,Wheelchair,False,9,2063,Leisure,2022-01-01,9999-12-31,True,1
162,PAX0000162,FF00000162,Window,None,None,False,17,26291,Student,2022-01-01,9999-12-31,True,1
163,PAX0000163,FF00000163,Aisle,Standard,None,True,18,41799,Leisure,2022-01-01,9999-12-31,True,1
164,PAX0000164,FF00000164,No Preference,Standard,Wheelchair,False,19,21894,Family,2022-01-01,9999-12-31,True,1
165,PAX0000165,FF00000165,Window,None,Wheelchair,True,1,33365,Student,2022-01-01,9999-12-31,True,1
166,PAX0000166,FF00000166,Aisle,Vegan,None,False,11,40673,Student,2022-01-01,9999-12-31,True,1
167,PAX0000167,FF00000167,Aisle,None,None,False,2,6506,Leisure,2022-01-01,9999-12-31,True,1
168,PAX0000168,FF00000168,Aisle,Halal,None,False,26,41586,Family,2022-01-01,9999-12-31,True,1
169,PAX0000169,FF00000169,Window,Child,None,True,28,42653,Student,2022-01-01,9999-12-31,True,1
170,PAX0000170,FF00000170,Aisle,Child,Wheelchair,True,10,31851,Business Traveler,2022-01-01,9999-12-31,True,1
171,PAX0000171,FF00000171,No Preference,Vegetarian,None,True,26,25939,Family,2022-01-01,2023-03-31,False,1
3171,PAX0000171,FF00000171,No Preference,Vegetarian,None,True,43,32278,Leisure,2023-04-01,9999-12-31,True,2
172,PAX0000172,FF00000172,Window,Child,None,True,12,5105,Family,2022-01-01,2023-03-31,False,1
3172,PAX0000172,FF00000172,Window,Child,None,True,22,22224,Family,2023-04-01,9999-12-31,True,2
173,PAX0000173,FF00000173,No Preference,Halal,None,False,7,37805,Student,2022-01-01,9999-12-31,True,1
174,PAX0000174,FF00000174,No Preference,Vegan,None,False,3,6778,Senior,2022-01-01,9999-12-31,True,1
175,PAX0000175,FF00000175,Window,None,None,True,4,8292,Leisure,2022-01-01,9999-12-31,True,1
176,PAX0000176,FF00000176,No Preference,Standard,None,True,2,16593,Student,2022-01-01,9999-12-31,True,1
177,PAX0000177,FF00000177,Window,Child,None,True,28,21221,Business Traveler,2022-01-01,2023-03-31,False,1
3177,PAX0000177,FF00000177,Window,Child,None,True,36,29613,Student,2023-04-01,9999-12-31,True,2
178,PAX0000178,FF00000178,No Preference,Standard,None,False,2,2402,Business Traveler,2022-01-01,9999-12-31,True,1
179,PAX0000179,FF00000179,Aisle,Standard,None,False,14,14476,Student,2022-01-01,9999-12-31,True,1
180,PAX0000180,FF00000180,Aisle,Child,None,False,20,32321,Family,2022-01-01,9999-12-31,True,1
181,PAX0000181,FF00000181,Window,Vegan,None,True,19,9521,Student,2022-01-01,9999-12-31,True,1
182,PAX0000182,FF00000182,Aisle,Child,None,False,14,9198,Family,2022-01-01,9999-12-31,True,1
183,PAX0000183,FF00000183,No Preference,Vegan,WCHC,False,33,30348,Business Traveler,2022-01-01,9999-12-31,True,1
184,PAX0000184,FF00000184,Window,Vegan,None,True,4,9421,Business Traveler,2022-01-01,9999-12-31,True,1
185,PAX0000185,FF00000185,No Preference,Standard,None,False,2,35588,Leisure,2022-01-01,9999-12-31,True,1
186,PAX0000186,FF00000186,Aisle,Halal,None,False,2,27138,Leisure,2022-01-01,9999-12-31,True,1
187,PAX0000187,FF00000187,No Preference,Vegetarian,None,True,3,32538,Family,2022-01-01,9999-12-31,True,1
188,PAX0000188,FF00000188,Aisle,Halal,None,False,20,45155,Family,2022-01-01,9999-12-31,True,1
189,PAX0000189,FF00000189,No Preference,Standard,None,False,17,6237,Leisure,2022-01-01,9999-12-31,True,1
190,PAX0000190,FF00000190,Window,Standard,None,False,1,36014,Senior,2022-01-01,2023-03-31,False,1
3190,PAX0000190,FF00000190,Window,Standard,None,False,8,44276,Leisure,2023-04-01,9999-12-31,True,2
191,PAX0000191,FF00000191,Window,Standard,None,True,5,16987,Senior,2022-01-01,2023-03-31,False,1
3191,PAX0000191,FF00000191,Window,Standard,None,True,17,27558,Leisure,2023-04-01,9999-12-31,True,2
192,PAX0000192,FF00000192,No Preference,Vegan,None,False,0,9015,Business Traveler,2022-01-01,2023-03-31,False,1
3192,PAX0000192,FF00000192,No Preference,Vegan,None,False,9,26144,Leisure,2023-04-01,9999-12-31,True,2
193,PAX0000193,FF00000193,No Preference,Child,None,False,0,63405,Student,2022-01-01,9999-12-31,True,1
194,PAX0000194,FF00000194,No Preference,Child,Wheelchair,False,3,24448,Family,2022-01-01,2023-03-31,False,1
3194,PAX0000194,FF00000194,No Preference,Child,Wheelchair,False,9,34017,Senior,2023-04-01,9999-12-31,True,2
195,PAX0000195,FF00000195,No Preference,Vegan,None,True,0,32974,Student,2022-01-01,9999-12-31,True,1
196,PAX0000196,FF00000196,Aisle,Vegan,None,True,4,68459,Leisure,2022-01-01,2023-03-31,False,1
3196,PAX0000196,FF00000196,Aisle,Vegan,None,True,11,82804,Leisure,2023-04-01,9999-12-31,True,2
197,PAX0000197,FF00000197,Window,Vegan,None,False,26,11804,Family,2022-01-01,9999-12-31,True,1
198,PAX0000198,FF00000198,No Preference,Vegetarian,None,True,27,166850,Family,2022-01-01,2023-03-31,False,1
3198,PAX0000198,FF00000198,No Preference,Vegetarian,None,True,36,176770,Leisure,2023-04-01,9999-12-31,True,2
199,PAX0000199,FF00000199,No Preference,Vegan,None,True,20,55905,Family,2022-01-01,9999-12-31,True,1
200,PAX0000200,FF00000200,No Preference,Halal,None,True,3,25790,Student,2022-01-01,9999-12-31,True,1
201,PAX0000201,FF00000201,Window,Vegan,Wheelchair,True,0,2991,Senior,2022-01-01,9999-12-31,True,1
202,PAX0000202,FF00000202,Window,Vegan,None,True,81,11864,Leisure,2022-01-01,9999-12-31,True,1
203,PAX0000203,FF00000203,Window,Standard,None,True,16,49299,Family,2022-01-01,2023-03-31,False,1
3203,PAX0000203,FF00000203,Window,Standard,None,True,32,57991,Senior,2023-04-01,9999-12-31,True,2
204,PAX0000204,FF00000204,Aisle,Standard,None,True,23,181324,Student,2022-01-01,9999-12-31,True,1
